family,Model,Scenario,project,amb,classification_state,cdr_all,cdr_cutoff,cdr_ratio_to_cutoff,cdr_percentile,renewables,re_cutoff,re_ratio_to_cutoff,re_percentile
REMIND,REMIND 2.1,CEMICS-GDPgrowth-1.5°C,CEMICS,1.5C,High-RE,332610.83935,565430.0377324205,0.5882440216368591,0.2813852813852814,4506587.78335,2704533.9788519694,1.6663084356081832,0.935064935064935
REMIND,REMIND 2.1,CEMICS-HotellingConst-1.5°C,CEMICS,1.5C,High-RE,409071.60935000004,565430.0377324205,0.7234698938007,0.43722943722943725,4910841.23325,2704533.9788519694,1.8157809336655373,0.9783549783549783
REMIND,REMIND 2.1,CEMICS-Linear-1.5°C,CEMICS,1.5C,High-RE,397164.81035000004,565430.0377324205,0.7024119410825342,0.41125541125541126,4617534.95665,2704533.9788519694,1.707331093917359,0.9567099567099567
REMIND,REMIND 2.1,CEMICS-Optimal-1.5°C,CEMICS,1.5C,High-RE,232684.78715,565430.0377324205,0.41151826330831376,0.23376623376623376,3501735.6327,2704533.9788519694,1.294764887437809,0.7662337662337663
REMIND,REMIND 2.1,CEMICS-GDPgrowth-2.0°C,CEMICS,2C,High-RE,198514.9873,550795.0699210565,0.36041533074806287,0.3177142857142857,3715806.74155,1914001.2595672116,1.9413815549892623,0.936
REMIND,REMIND 2.1,CEMICS-HotellingConst-2.0°C,CEMICS,2C,High-RE,235317.71039999998,550795.0699210565,0.4272327826640264,0.3497142857142857,3589722.9156,1914001.2595672116,1.875507081124752,0.9291428571428572
REMIND,REMIND 2.1,CEMICS-Linear-2.0°C,CEMICS,2C,High-RE,224236.50375,550795.0699210565,0.40711421723897967,0.3405714285714286,3536554.2009,1914001.2595672116,1.847728251599832,0.9245714285714286
REMIND,REMIND 2.1,CEMICS-NPI,CEMICS,2C,High-RE,30913.220100000002,550795.0699210565,0.05612472185786028,0.104,2245884.7572,1914001.2595672116,1.1733977425426736,0.7977142857142857
REMIND,REMIND 2.1,CEMICS-Optimal-2.0°C,CEMICS,2C,High-RE,189620.64599999998,550795.0699210565,0.34426714463362507,0.31085714285714283,3715496.2665,1914001.2595672116,1.9412193424262099,0.9348571428571428
REMIND,REMIND 2.1,LeastTotalCost-LTC-brkLR15-SSP1-P50,LeastTotalCost,1.5C,Low both - excluded,112073.9589,565430.0377324205,0.1982101257822404,0.12554112554112554,2191335.24255,2704533.9788519694,0.8102450402491103,0.48917748917748916
REMIND,REMIND 2.1,LeastTotalCost-LTC-brkSR15-SSP1-P50,LeastTotalCost,1.5C,Low both - excluded,118625.43625,565430.0377324205,0.20979684193243608,0.1341991341991342,2018151.9341,2704533.9788519694,0.7462106040748183,0.341991341991342
REMIND,REMIND 2.1,LeastTotalCost-CBA-brkLR15-SSP2-P50,LeastTotalCost,2C,High-RE,178480.64795,550795.0699210565,0.3240418400541984,0.2937142857142857,3215693.6299,1914001.2595672116,1.6800896100910212,0.9005714285714286
REMIND,REMIND 2.1,LeastTotalCost-CBA-brkSR15-SSP2-P50,LeastTotalCost,2C,High-RE,190269.19495,550795.0699210565,0.3454446224024311,0.31314285714285717,3035846.3488499997,1914001.2595672116,1.586125575244635,0.8662857142857143
REMIND,REMIND 2.1,LeastTotalCost-CEA-brkLR15-SSP2-P50,LeastTotalCost,2C,High-RE,149318.2529,550795.0699210565,0.2710958413651038,0.25142857142857145,3154694.5508,1914001.2595672116,1.6482196837808405,0.8868571428571429
REMIND,REMIND 2.1,LeastTotalCost-CEA-brkSR15-SSP2-P50,LeastTotalCost,2C,High-RE,155055.97955,550795.0699210565,0.28151301276575263,0.2582857142857143,3208315.9321,1914001.2595672116,1.6762350160759325,0.896
REMIND,REMIND 2.1,LeastTotalCost-LTC-brkLR15-SSP2-P50,LeastTotalCost,2C,High-RE,181515.2028,550795.0699210565,0.32955124820927667,0.29714285714285715,3222197.2279000003,1914001.2595672116,1.683487516945832,0.9028571428571428
REMIND,REMIND 2.1,LeastTotalCost-LTC-brkLR15-SSP5-P50,LeastTotalCost,2C,High-RE,543775.9697,550795.0699210565,0.9872564214816547,0.6571428571428571,3441933.48435,1914001.2595672116,1.7982921730826238,0.9177142857142857
REMIND,REMIND 2.1,LeastTotalCost-LTC-brkSR15-SSP2-P50,LeastTotalCost,2C,High-RE,168805.45185,550795.0699210565,0.30647596732155624,0.26971428571428574,3169170.3704,1914001.2595672116,1.6557828029416257,0.888
