database,ambition_view,Region,outcome,outcome_label,n_cdr,n_re,median_cdr,median_re,effect,favours
Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,58,67,227.59708437454236,691.5154359375239,463.9183515629815,High-RE
Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,67,67,18.431233091581415,11.622194378418357,6.8090387131630585,High-RE
Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,67,67,6.457961162503231,4.224537857571905,2.2334233049313266,High-RE
Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,48,39,423.01207999999997,415.121345,7.89073499999995,High-RE
Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,58,67,263.1030946685977,1043.6076952649112,780.5046005963135,High-RE
Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,67,67,67.27003313300908,42.513113421327866,24.756919711681213,High-RE
Full,1.5C,R10AFRICA,headcount_pct,Deprived headcount,67,67,25.527617782793836,16.84237372682275,8.685244055971086,High-RE
Full,1.5C,R10AFRICA,mort_per_1k,PM2.5 mortality,48,39,75.4642975,78.51001,-3.0457124999999934,High-CDR
Full,1.5C,R10CHINA+,net_re_jobs_per_1k,Employment,58,67,177.25348198029252,372.9904089685804,195.7369269882879,High-RE
Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,67,67,1.1987925448528645,0.7955354775274368,0.40325706732542765,High-RE
Full,1.5C,R10CHINA+,headcount_pct,Deprived headcount,67,67,0.6727885511736866,0.41021632732909236,0.2625722238445943,High-RE
Full,1.5C,R10CHINA+,mort_per_1k,PM2.5 mortality,48,39,76.09084999999999,77.312175,-1.2213250000000073,High-CDR
Full,1.5C,R10EUROPE,net_re_jobs_per_1k,Employment,58,67,65.90810317684557,171.09869577296908,105.19059259612351,High-RE
Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,67,67,6.211088341770108,2.653661278256194,3.5574270635139142,High-RE
Full,1.5C,R10EUROPE,headcount_pct,Deprived headcount,67,67,1.86277537273517,0.9608479150805639,0.901927457654606,High-RE
Full,1.5C,R10EUROPE,mort_per_1k,PM2.5 mortality,48,39,15.4415225,11.160875,4.280647499999999,High-RE
Full,1.5C,R10INDIA+,net_re_jobs_per_1k,Employment,58,67,264.43097654303944,1007.6433605093965,743.212383966357,High-RE
Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,67,67,1.3506976456960387,0.47412140643482076,0.876576239261218,High-RE
Full,1.5C,R10INDIA+,headcount_pct,Deprived headcount,67,67,1.3088577564523052,0.44697058341369056,0.8618871730386146,High-RE
Full,1.5C,R10INDIA+,mort_per_1k,PM2.5 mortality,48,39,110.0836525,104.832935,5.250717499999993,High-RE
Full,1.5C,R10LATIN_AM,net_re_jobs_per_1k,Employment,58,67,232.42899363446128,508.6803423021253,276.25134866766405,High-RE
Full,1.5C,R10LATIN_AM,gap_GJ_pc,DLE gap,67,67,61.800421416155935,37.37603636434134,24.424385051814596,High-RE
Full,1.5C,R10LATIN_AM,headcount_pct,Deprived headcount,67,67,16.553813779777197,9.674733757612415,6.879080022164782,High-RE
Full,1.5C,R10LATIN_AM,mort_per_1k,PM2.5 mortality,48,39,14.1536,15.661335,-1.5077349999999985,High-CDR
Full,1.5C,R10MIDDLE_EAST,net_re_jobs_per_1k,Employment,58,67,339.1175313379531,851.0265344926477,511.9090031546946,High-RE
Full,1.5C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,67,67,1.8322671058747844,2.428042999914786,-0.5957758940400018,High-CDR
Full,1.5C,R10MIDDLE_EAST,headcount_pct,Deprived headcount,67,67,0.7603488500371662,1.0104429911818564,-0.2500941411446902,High-CDR
Full,1.5C,R10MIDDLE_EAST,mort_per_1k,PM2.5 mortality,48,39,57.097162499999996,46.24088,10.856282499999999,High-RE
Full,1.5C,R10NORTH_AM,net_re_jobs_per_1k,Employment,58,67,140.2911060902402,328.2944640949316,188.0033580046914,High-RE
Full,1.5C,R10NORTH_AM,gap_GJ_pc,DLE gap,67,67,10.256226841716966,7.619561183663454,2.636665658053512,High-RE
Full,1.5C,R10NORTH_AM,headcount_pct,Deprived headcount,67,67,2.589823253004834,1.8357150577052592,0.7541081952995747,High-RE
Full,1.5C,R10NORTH_AM,mort_per_1k,PM2.5 mortality,48,39,7.3477999999999994,8.92411,-1.5763100000000012,High-CDR
Full,1.5C,R10PAC_OECD,net_re_jobs_per_1k,Employment,58,67,81.65698775964418,119.27623769355546,37.61924993391128,High-RE
Full,1.5C,R10PAC_OECD,gap_GJ_pc,DLE gap,67,67,5.530602275134443,5.930964842555021,-0.4003625674205775,High-CDR
Full,1.5C,R10PAC_OECD,headcount_pct,Deprived headcount,67,67,1.546426080406836,1.6689655405013941,-0.12253946009455818,High-CDR
Full,1.5C,R10PAC_OECD,mort_per_1k,PM2.5 mortality,48,39,5.2098125,3.591945,1.6178675,High-RE
Full,1.5C,R10REF_ECON,net_re_jobs_per_1k,Employment,58,67,503.3942695057042,764.0964034975968,260.70213399189265,High-RE
Full,1.5C,R10REF_ECON,gap_GJ_pc,DLE gap,67,67,2.0049177619300473,1.5519867463523151,0.4529310155777322,High-RE
Full,1.5C,R10REF_ECON,headcount_pct,Deprived headcount,67,67,0.7650705338615141,0.5761079055829006,0.18896262827861354,High-RE
Full,1.5C,R10REF_ECON,mort_per_1k,PM2.5 mortality,48,39,13.84942,13.090665,0.7587550000000007,High-RE
Full,1.5C,R10REST_ASIA,net_re_jobs_per_1k,Employment,58,67,155.2172103540911,874.2377865651293,719.0205762110382,High-RE
Full,1.5C,R10REST_ASIA,gap_GJ_pc,DLE gap,67,67,4.283171424273665,8.063213432325181,-3.780042008051516,High-CDR
Full,1.5C,R10REST_ASIA,headcount_pct,Deprived headcount,67,67,2.370360576764106,3.6515787640752384,-1.2812181873111324,High-CDR
Full,1.5C,R10REST_ASIA,mort_per_1k,PM2.5 mortality,48,39,55.509190000000004,56.093065,-0.583874999999999,High-CDR
Full,2C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,212,234,186.49549925078952,471.14891986702844,284.6534206162389,High-RE
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,223,226,15.45555178054982,11.367761499090152,4.087790281459668,High-RE
Full,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,223,226,5.772401368694007,4.172492779687552,1.5999085890064553,High-RE
Full,2C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,178,165,438.7368225,435.19535,3.5414724999999976,High-RE
Full,2C,R10AFRICA,net_re_jobs_per_1k,Employment,212,238,229.18158556080948,723.4797060669662,494.2981205061567,High-RE
Full,2C,R10AFRICA,gap_GJ_pc,DLE gap,223,230,64.8804270820265,41.84247754564941,23.03794953637709,High-RE
Full,2C,R10AFRICA,headcount_pct,Deprived headcount,223,230,25.531026674738165,16.812207575079093,8.718819099659072,High-RE
Full,2C,R10AFRICA,mort_per_1k,PM2.5 mortality,178,165,76.6407025,78.69661,-2.0559075000000036,High-CDR
Full,2C,R10CHINA+,net_re_jobs_per_1k,Employment,215,238,129.5145042991121,266.25479233945356,136.74028804034145,High-RE
Full,2C,R10CHINA+,gap_GJ_pc,DLE gap,226,230,0.827012599081548,0.6668584214790885,0.16015417760245954,High-RE
Full,2C,R10CHINA+,headcount_pct,Deprived headcount,226,230,0.42515398399436943,0.35309266072238576,0.07206132327198367,High-RE
Full,2C,R10CHINA+,mort_per_1k,PM2.5 mortality,178,165,79.45526000000001,78.78534,0.6699200000000047,High-RE
Full,2C,R10EUROPE,net_re_jobs_per_1k,Employment,215,238,60.0795197624756,116.3702503136204,56.290730551144804,High-RE
Full,2C,R10EUROPE,gap_GJ_pc,DLE gap,226,230,3.463950896354859,2.6440354738432017,0.8199154225116572,High-RE
Full,2C,R10EUROPE,headcount_pct,Deprived headcount,226,230,1.084797757488583,0.9457007890268985,0.1390969684616845,High-RE
Full,2C,R10EUROPE,mort_per_1k,PM2.5 mortality,178,165,15.080575,11.23065,3.849924999999999,High-RE
