database,ambition_view,outcome_label,cells,family_cell_comparisons,agree_pct,within_favours_re_pct
Full,1.5C,DLE gap,11,11,72.72727272727273,100
Full,1.5C,Deprived headcount,11,11,72.72727272727273,100
Full,1.5C,Employment,11,11,72.72727272727273,72.72727272727273
Full,1.5C,PM2.5 mortality,11,11,63.63636363636363,54.54545454545454
Full,2C,DLE gap,11,44,38.63636363636363,25
Full,2C,Deprived headcount,11,44,50,22.727272727272727
Full,2C,Employment,11,44,72.72727272727273,72.72727272727273
Full,2C,PM2.5 mortality,11,33,72.72727272727273,87.87878787878788
Full,All ambitions,DLE gap,11,55,38.18181818181819,34.54545454545455
Full,All ambitions,Deprived headcount,11,55,41.81818181818181,40
Full,All ambitions,Employment,11,55,63.63636363636363,63.63636363636363
Full,All ambitions,PM2.5 mortality,11,44,63.63636363636363,68.18181818181817
SCI-vetted,2C,DLE gap,11,11,45.45454545454545,45.45454545454545
SCI-vetted,2C,Deprived headcount,11,11,27.27272727272727,54.54545454545454
SCI-vetted,2C,Employment,11,11,90.9090909090909,100
SCI-vetted,2C,PM2.5 mortality,11,11,27.27272727272727,72.72727272727273
SCI-vetted,All ambitions,DLE gap,11,11,45.45454545454545,45.45454545454545
SCI-vetted,All ambitions,Deprived headcount,11,11,45.45454545454545,54.54545454545454
SCI-vetted,All ambitions,Employment,11,11,90.9090909090909,100
SCI-vetted,All ambitions,PM2.5 mortality,11,11,27.27272727272727,72.72727272727273
