fam,n_cdr,n_re,median_cdr,median_re,raw_difference,comparable,robust,delta,database,ambition_view,Region,outcome,outcome_label,direction_coded_difference,favours,pooled_effect,pooled_favours,agrees
AIM,1,3,335.32061966974067,247.85799665498982,-87.46262301475085,TRUE,FALSE,-1,Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,-87.46262301475085,High-CDR,463.9183515629815,High-RE,FALSE
GCAM,0,1,NA,574.3482376175335,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,NA,NA,463.9183515629815,High-RE,NA
IMAGE,21,0,281.292844422455,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,NA,NA,463.9183515629815,High-RE,NA
MESSAGEix,25,3,210.64772253527875,336.500462810918,125.85274027563926,TRUE,TRUE,1,Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,125.85274027563926,High-RE,463.9183515629815,High-RE,TRUE
POLES,4,1,260.9110656630323,261.3534556493046,0.4423899862723033,TRUE,FALSE,0,Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,0.4423899862723033,Tie,463.9183515629815,High-RE,FALSE
REMIND,1,59,327.31133976950747,708.0383569418041,380.7270171722966,TRUE,FALSE,1,Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,380.7270171722966,High-RE,463.9183515629815,High-RE,TRUE
WITCH,6,0,317.3290711396627,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,net_re_jobs_per_1k,Employment,NA,NA,463.9183515629815,High-RE,NA
AIM,1,3,30.46125926297994,29.652777975454832,-0.8084812875251082,TRUE,FALSE,0.3333333333333333,Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,0.8084812875251082,High-RE,6.8090387131630585,High-RE,TRUE
GCAM,7,1,12.755888521339124,17.690929538350456,4.935041017011333,TRUE,FALSE,-1,Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,-4.935041017011333,High-CDR,6.8090387131630585,High-RE,FALSE
IMAGE,23,0,20.761176291125505,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,NA,NA,6.8090387131630585,High-RE,NA
MESSAGEix,25,3,12.813207273442233,9.631371052868372,-3.18183622057386,TRUE,TRUE,0.52,Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,3.18183622057386,High-RE,6.8090387131630585,High-RE,TRUE
POLES,4,1,25.967983732174687,24.695170574330994,-1.272813157843693,TRUE,FALSE,0.5,Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,1.272813157843693,High-RE,6.8090387131630585,High-RE,TRUE
REMIND,1,59,24.749976836882926,11.591908332964513,-13.158068503918413,TRUE,FALSE,1,Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,13.158068503918413,High-RE,6.8090387131630585,High-RE,TRUE
WITCH,6,0,44.848189675386166,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,NA,NA,6.8090387131630585,High-RE,NA
AIM,1,3,12.343629200438835,11.904983994084956,-0.43864520635387905,TRUE,FALSE,0.3333333333333333,Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,0.43864520635387905,High-RE,2.2334233049313266,High-RE,TRUE
GCAM,7,1,4.648447272946457,6.862270385057928,2.213823112111471,TRUE,FALSE,-1,Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,-2.213823112111471,High-CDR,2.2334233049313266,High-RE,FALSE
IMAGE,23,0,7.606040606382368,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,NA,NA,2.2334233049313266,High-RE,NA
MESSAGEix,25,3,4.703072064874202,3.4642286620307634,-1.2388434028434383,TRUE,TRUE,0.52,Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,1.2388434028434383,High-RE,2.2334233049313266,High-RE,TRUE
POLES,4,1,9.671549937071788,8.288493082660711,-1.3830568544110768,TRUE,FALSE,1,Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,1.3830568544110768,High-RE,2.2334233049313266,High-RE,TRUE
REMIND,1,59,9.434314115587702,4.192756407236945,-5.241557708350757,TRUE,FALSE,1,Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,5.241557708350757,High-RE,2.2334233049313266,High-RE,TRUE
WITCH,6,0,16.869188822506963,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived headcount,NA,NA,2.2334233049313266,High-RE,NA
AIM,1,0,414.809565,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,NA,NA,7.89073499999995,High-RE,NA
GCAM,0,1,NA,443.68606,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,NA,NA,7.89073499999995,High-RE,NA
IMAGE,14,0,478.480195,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,NA,NA,7.89073499999995,High-RE,NA
MESSAGEix,23,3,420.83527,414.700365,-6.134905000000003,TRUE,TRUE,0.9420289855072463,Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,6.134905000000003,High-RE,7.89073499999995,High-RE,TRUE
POLES,4,0,390.3081075,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,NA,NA,7.89073499999995,High-RE,NA
REMIND,0,35,NA,415.121345,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,NA,NA,7.89073499999995,High-RE,NA
WITCH,6,0,421.55897000000004,NA,NA,FALSE,FALSE,NA,Full,1.5C,Aggregated R10 regions,mort_per_1k,PM2.5 mortality,NA,NA,7.89073499999995,High-RE,NA
AIM,1,3,211.93813852368015,187.46369595431196,-24.474442569368193,TRUE,FALSE,-1,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,-24.474442569368193,High-CDR,780.5046005963135,High-RE,FALSE
GCAM,0,1,NA,1057.5533615461056,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,NA,NA,780.5046005963135,High-RE,NA
IMAGE,21,0,502.4926555735295,NA,NA,FALSE,FALSE,NA,Full,1.5C,R10AFRICA,net_re_jobs_per_1k,Employment,NA,NA,780.5046005963135,High-RE,NA
