spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor
T0.75x_G-0.05_Ebase,FALSE,0.75,0.75x,-0.05,Gini -0.05,Baseline improvement,0.019,0.5
T0.75x_G-0.05_Efast,FALSE,0.75,0.75x,-0.05,Gini -0.05,Faster improvement,0.023,0.4
T0.75x_G-0.05_Eslow,FALSE,0.75,0.75x,-0.05,Gini -0.05,Slower improvement,0.015,0.6
T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5
T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4
T0.75x_G+0.00_Eslow,FALSE,0.75,0.75x,0,Baseline Gini,Slower improvement,0.015,0.6
T0.75x_G+0.05_Ebase,FALSE,0.75,0.75x,0.05,Gini +0.05,Baseline improvement,0.019,0.5
T0.75x_G+0.05_Efast,FALSE,0.75,0.75x,0.05,Gini +0.05,Faster improvement,0.023,0.4
T0.75x_G+0.05_Eslow,FALSE,0.75,0.75x,0.05,Gini +0.05,Slower improvement,0.015,0.6
T1.00x_G-0.05_Ebase,FALSE,1,1.00x,-0.05,Gini -0.05,Baseline improvement,0.019,0.5
T1.00x_G-0.05_Efast,FALSE,1,1.00x,-0.05,Gini -0.05,Faster improvement,0.023,0.4
T1.00x_G-0.05_Eslow,FALSE,1,1.00x,-0.05,Gini -0.05,Slower improvement,0.015,0.6
T1.00x_G+0.00_Ebase,TRUE,1,1.00x,0,Baseline Gini,Baseline improvement,0.019,0.5
T1.00x_G+0.00_Efast,FALSE,1,1.00x,0,Baseline Gini,Faster improvement,0.023,0.4
T1.00x_G+0.00_Eslow,FALSE,1,1.00x,0,Baseline Gini,Slower improvement,0.015,0.6
T1.00x_G+0.05_Ebase,FALSE,1,1.00x,0.05,Gini +0.05,Baseline improvement,0.019,0.5
T1.00x_G+0.05_Efast,FALSE,1,1.00x,0.05,Gini +0.05,Faster improvement,0.023,0.4
T1.00x_G+0.05_Eslow,FALSE,1,1.00x,0.05,Gini +0.05,Slower improvement,0.015,0.6
T1.25x_G-0.05_Ebase,FALSE,1.25,1.25x,-0.05,Gini -0.05,Baseline improvement,0.019,0.5
T1.25x_G-0.05_Efast,FALSE,1.25,1.25x,-0.05,Gini -0.05,Faster improvement,0.023,0.4
T1.25x_G-0.05_Eslow,FALSE,1.25,1.25x,-0.05,Gini -0.05,Slower improvement,0.015,0.6
T1.25x_G+0.00_Ebase,FALSE,1.25,1.25x,0,Baseline Gini,Baseline improvement,0.019,0.5
T1.25x_G+0.00_Efast,FALSE,1.25,1.25x,0,Baseline Gini,Faster improvement,0.023,0.4
T1.25x_G+0.00_Eslow,FALSE,1.25,1.25x,0,Baseline Gini,Slower improvement,0.015,0.6
T1.25x_G+0.05_Ebase,FALSE,1.25,1.25x,0.05,Gini +0.05,Baseline improvement,0.019,0.5
T1.25x_G+0.05_Efast,FALSE,1.25,1.25x,0.05,Gini +0.05,Faster improvement,0.023,0.4
T1.25x_G+0.05_Eslow,FALSE,1.25,1.25x,0.05,Gini +0.05,Slower improvement,0.015,0.6
