database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,Pathway,n_scenarios,median
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,Aggregated R10 regions,gap_GJ_pc,High-CMT,67,8.717490259372793
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,Aggregated R10 regions,gap_GJ_pc,High-RE,67,5.706166746422517
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,Aggregated R10 regions,headcount_pct,High-CMT,67,3.306615136327435
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,Aggregated R10 regions,headcount_pct,High-RE,67,2.0427903127335045
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10AFRICA,gap_GJ_pc,High-CMT,67,21.669151592945596
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10AFRICA,gap_GJ_pc,High-RE,67,13.124918310322181
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10AFRICA,headcount_pct,High-CMT,67,5.927021888860478
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10AFRICA,headcount_pct,High-RE,67,3.961843856077232
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10CHINA+,gap_GJ_pc,High-CMT,67,7.528993228909736
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10CHINA+,gap_GJ_pc,High-RE,67,5.211717234884617
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10CHINA+,headcount_pct,High-CMT,67,3.462934135734093
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10CHINA+,headcount_pct,High-RE,67,2.384217298063325
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10EUROPE,gap_GJ_pc,High-CMT,67,0.06483565583863068
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10EUROPE,gap_GJ_pc,High-RE,67,0.012404939120301745
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10EUROPE,headcount_pct,High-CMT,67,0.04357967943110624
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10EUROPE,headcount_pct,High-RE,67,0.00974198012852949
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10INDIA+,gap_GJ_pc,High-CMT,67,1.0893231543208233
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10INDIA+,gap_GJ_pc,High-RE,67,0.3425746881412043
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10INDIA+,headcount_pct,High-CMT,67,0.6459505505219361
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10INDIA+,headcount_pct,High-RE,67,0.27421662826248555
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10LATIN_AM,gap_GJ_pc,High-CMT,67,34.94002359063263
