database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,High-CMT,High-RE,n_High-CMT,n_High-RE,raw_advantage_high_re,direction
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,Aggregated R10 regions,gap_GJ_pc,8.717490259372793,5.706166746422517,67,67,3.011323512950276,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,Aggregated R10 regions,headcount_pct,3.306615136327435,2.0427903127335045,67,67,1.2638248235939304,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10AFRICA,gap_GJ_pc,21.669151592945596,13.124918310322181,67,67,8.544233282623415,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10AFRICA,headcount_pct,5.927021888860478,3.961843856077232,67,67,1.9651780327832462,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10CHINA+,gap_GJ_pc,7.528993228909736,5.211717234884617,67,67,2.3172759940251195,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10CHINA+,headcount_pct,3.462934135734093,2.384217298063325,67,67,1.0787168376707679,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10EUROPE,gap_GJ_pc,0.06483565583863068,0.012404939120301745,67,67,0.05243071671832894,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10EUROPE,headcount_pct,0.04357967943110624,0.00974198012852949,67,67,0.03383769930257675,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10INDIA+,gap_GJ_pc,1.0893231543208233,0.3425746881412043,67,67,0.746748466179619,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10INDIA+,headcount_pct,0.6459505505219361,0.27421662826248555,67,67,0.3717339222594505,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10LATIN_AM,gap_GJ_pc,34.94002359063263,19.838230464161125,67,67,15.101793126471502,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10LATIN_AM,headcount_pct,10.329581588075945,5.462946887708299,67,67,4.866634700367645,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10MIDDLE_EAST,gap_GJ_pc,0.8666509468402018,1.171857403705813,67,67,-0.3052064568656111,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10MIDDLE_EAST,headcount_pct,0.5151586336418139,0.4318776990243738,67,67,0.08328093461744013,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10NORTH_AM,gap_GJ_pc,0.026176033248580345,0.012812660439976925,67,67,0.01336337280860342,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10NORTH_AM,headcount_pct,0.009655300194088954,0.006009275610724295,67,67,0.003646024583364659,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10PAC_OECD,gap_GJ_pc,0.04445264638241622,0.06313255987085044,67,67,-0.018679913488434216,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10PAC_OECD,headcount_pct,0.028740438039131577,0.04719641437956645,67,67,-0.01845597634043487,High-CMT
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REF_ECON,gap_GJ_pc,2.8722121045233653,2.2402709836879713,67,67,0.631941120835394,High-RE
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,1.5C,R10REF_ECON,headcount_pct,1.105931710387289,0.8156838928429073,67,67,0.29024781754438167,High-RE
