database,ambition_view,Region,metric,label,unit,Pathway,n,median
Full,1.5C,Aggregated R10 regions,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,58,5.081205598567152
Full,1.5C,Aggregated R10 regions,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,67,7.477325417865587
Full,1.5C,Aggregated R10 regions,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,58,3.41706254608568
Full,1.5C,Aggregated R10 regions,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,67,6.36341647575751
Full,1.5C,Aggregated R10 regions,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,58,0.3086157325929708
Full,1.5C,Aggregated R10 regions,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,67,0.24525379568889663
Full,1.5C,Aggregated R10 regions,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,58,57396.29258922656
Full,1.5C,Aggregated R10 regions,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,67,108644.86270000001
Full,1.5C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,58,227.59708437454202
Full,1.5C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,67,691.5154348155945
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,58,354.0406985863558
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,67,740.4918286308111
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,58,358.0599002019925
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,67,748.6547433260449
Full,1.5C,R10AFRICA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,58,1.651873894326772
Full,1.5C,R10AFRICA,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,67,4.52074320592648
Full,1.5C,R10AFRICA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,58,1.5665488663715927
Full,1.5C,R10AFRICA,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,67,5.247177521380699
Full,1.5C,R10AFRICA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,58,0.053817489844988894
Full,1.5C,R10AFRICA,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,67,0.012583436311560187
Full,1.5C,R10AFRICA,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,58,3609.264919545725
Full,1.5C,R10AFRICA,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,67,11930.1515
Full,1.5C,R10AFRICA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,58,263.1030946685976
Full,1.5C,R10AFRICA,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,67,1043.6076943400124
Full,1.5C,R10AFRICA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,58,328.51401343603
Full,1.5C,R10AFRICA,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,67,1047.0454525792875
