model_family,scenarios,median_retirements_GW,median_unexplained_additions_GW,pct_with_nonzero_residual,residual_as_pct_of_retirements
GEM,58,11265.415170816937,3824.6642189854906,70.6896551724138,33.82576322243291
TIAM,45,18341.13932822752,1609.8519635334064,100,9.012261223709581
MESSAGEix,236,7576.734729761638,0,11.440677966101696,5.24774847975995
IMAGE,109,41192.389294480934,1049.0594833942178,87.25490196078431,4.221141027932739
POLES,79,55902.243225551734,1651.3688703300056,88.60759493670885,3.0845471677166505
GCAM,21,75883.17240736254,860.7331246047337,90.47619047619048,1.3730202713217923
REMIND,287,85250.81357,610.6619399999998,92.93286219081273,1.2812419862440891
WITCH,121,75468.93203264564,436.464436501194,83.47107438016529,0.8280548187000742
AIM,44,78906.90620999999,402.51512,77.27272727272727,0.6277640751401163
COFFEE,94,4839.6624270661505,0,0,6.927318422422299e-17
