database,ambition_view,fuel,tech_group,measure,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,raw_difference_high_re_minus_high_cmt
Full,1.5C,biomass,Bioenergy,decommission_jobyears_thousands,53,67,1896.1723518339231,396.31924107250774,-1499.8531107614153
Full,1.5C,biomass,Bioenergy,inferred_retirements_GW,53,67,1080.0932203085688,180.87595,-899.2172703085688
Full,1.5C,biomass,Bioenergy,plant_jobs_displaced_thousands,53,67,4056.019945841196,993.715497495,-3062.3044483461963
Full,1.5C,biomass,Bioenergy,upstream_jobs_displaced_thousands,53,67,112.6066838693706,15.6535616288,-96.9531222405706
Full,1.5C,coal,Fossil,decommission_jobyears_thousands,58,67,4680.389692156721,4039.702010090381,-640.6876820663401
Full,1.5C,coal,Fossil,inferred_retirements_GW,58,67,2020.0829214437297,1817.4168499999998,-202.66607144372983
Full,1.5C,coal,Fossil,plant_jobs_displaced_thousands,58,67,1702.4927771900507,1511.6126813078388,-190.8800958822119
Full,1.5C,coal,Fossil,upstream_jobs_displaced_thousands,58,67,2084.288317430851,1801.5603019800749,-282.72801545077596
Full,1.5C,gas,Fossil,decommission_jobyears_thousands,53,67,4598.0144036343345,2616.4177226136976,-1981.5966810206369
Full,1.5C,gas,Fossil,inferred_retirements_GW,53,67,6167.8372871838865,4000.12064,-2167.7166471838864
Full,1.5C,gas,Fossil,plant_jobs_displaced_thousands,53,67,2340.5879864814433,1408.6871368134332,-931.9008496680101
Full,1.5C,gas,Fossil,upstream_jobs_displaced_thousands,53,67,3.2189808651352148,2.0309610029122154,-1.1880198622229994
Full,1.5C,geothermal,Renewables,decommission_jobyears_thousands,34,44,21.61419308665438,5.0195520041959245,-16.59464108245846
Full,1.5C,geothermal,Renewables,inferred_retirements_GW,34,44,6.66920577218789,3.056050000000003,-3.6131557721878873
Full,1.5C,geothermal,Renewables,plant_jobs_displaced_thousands,34,44,16.235342756213317,4.075615429673852,-12.159727326539464
Full,1.5C,geothermal,Renewables,upstream_jobs_displaced_thousands,34,44,0,0,0
Full,1.5C,hydro,Renewables,decommission_jobyears_thousands,53,67,1237.1760817091426,625.0803896322791,-612.0956920768635
Full,1.5C,hydro,Renewables,inferred_retirements_GW,53,67,1524.4544857477874,643.4279700000003,-881.0265157477871
Full,1.5C,hydro,Renewables,plant_jobs_displaced_thousands,53,67,1281.9669055495306,513.7384837181316,-768.2284218313989
Full,1.5C,hydro,Renewables,upstream_jobs_displaced_thousands,53,67,0,0,0
Full,1.5C,nuclear,Nuclear,decommission_jobyears_thousands,53,67,4182.142602329279,2426.0808999605592,-1756.0617023687196
Full,1.5C,nuclear,Nuclear,inferred_retirements_GW,53,67,1201.4826878168462,743.36608,-458.1166078168462
Full,1.5C,nuclear,Nuclear,plant_jobs_displaced_thousands,53,67,1441.2814896978464,848.5107249444098,-592.7707647534365
Full,1.5C,nuclear,Nuclear,upstream_jobs_displaced_thousands,53,67,19.609791372597517,14.24954825085,-5.3602431217475175
Full,1.5C,oil,Fossil,decommission_jobyears_thousands,53,46,1472.6702659042276,463.5695298461735,-1009.100736058054
Full,1.5C,oil,Fossil,inferred_retirements_GW,53,46,580.6388232489675,188.17853495,-392.4602882989675
Full,1.5C,oil,Fossil,plant_jobs_displaced_thousands,53,46,147.62244033987636,53.008425564217575,-94.61401477565879
Full,1.5C,oil,Fossil,upstream_jobs_displaced_thousands,53,46,5.2903532679880305,1.8849183503659237,-3.405434917622107
Full,1.5C,solar_pv,Renewables,decommission_jobyears_thousands,53,67,19879.502886044935,39816.77012879463,19937.2672427497
Full,1.5C,solar_pv,Renewables,inferred_retirements_GW,53,67,31279.955118608475,60779.25153000001,29499.296411391533
Full,1.5C,solar_pv,Renewables,plant_jobs_displaced_thousands,53,67,11216.166307208128,26763.640567230002,15547.474260021874
Full,1.5C,solar_pv,Renewables,upstream_jobs_displaced_thousands,53,67,0,0,0
Full,1.5C,wind_on,Renewables,decommission_jobyears_thousands,53,67,1276.7486779083445,2734.1199284329327,1457.3712505245883
Full,1.5C,wind_on,Renewables,inferred_retirements_GW,53,67,12413.808292113245,26237.332319821566,13823.524027708321
Full,1.5C,wind_on,Renewables,plant_jobs_displaced_thousands,53,67,5203.710275774247,11001.58940454363,5797.879128769384
Full,1.5C,wind_on,Renewables,upstream_jobs_displaced_thousands,53,67,0,0,0
Full,2C,biomass,Bioenergy,decommission_jobyears_thousands,195,234,981.1007294038491,306.9383109331744,-674.1624184706747
Full,2C,biomass,Bioenergy,inferred_retirements_GW,195,234,571.3240131636826,156.91849000000002,-414.4055231636826
Full,2C,biomass,Bioenergy,plant_jobs_displaced_thousands,195,234,2206.2576050235757,722.84699678,-1483.4106082435756
