database,ambition_view,Region,model_family,metric,label,unit,Pathway,n,median
Full,1.5C,Aggregated R10 regions,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,1,8.709876332397402
Full,1.5C,Aggregated R10 regions,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,3,1.307644620099863
Full,1.5C,Aggregated R10 regions,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,1,7.250051524710205
Full,1.5C,Aggregated R10 regions,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,3,0.5407321475368047
Full,1.5C,Aggregated R10 regions,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,1,0.44097354912385556
Full,1.5C,Aggregated R10 regions,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,3,0.3564731450887742
Full,1.5C,Aggregated R10 regions,AIM,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,1,96754.32396
Full,1.5C,Aggregated R10 regions,AIM,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,3,6597.6678
Full,1.5C,Aggregated R10 regions,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,1,335.32061966974027
Full,1.5C,Aggregated R10 regions,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,3,247.85799665498962
Full,1.5C,Aggregated R10 regions,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,1,538.6861806783348
Full,1.5C,Aggregated R10 regions,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,3,426.6613158440563
Full,1.5C,Aggregated R10 regions,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,1,547.3960570107322
Full,1.5C,Aggregated R10 regions,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,3,427.7854205293323
Full,1.5C,Aggregated R10 regions,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,0,NA
Full,1.5C,Aggregated R10 regions,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,1,9.231580982060585
