database,ambition_view,Region,model_family,metric,label,unit,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cmt,favours_more_employment
Full,1.5C,Aggregated R10 regions,AIM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",1,3,8.709876332397402,1.307644620099863,TRUE,FALSE,-7.402231712297539,High-CMT
Full,1.5C,Aggregated R10 regions,AIM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",1,3,7.250051524710205,0.5407321475368047,TRUE,FALSE,-6.709319377173401,High-CMT
Full,1.5C,Aggregated R10 regions,AIM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",1,3,0.44097354912385556,0.3564731450887742,TRUE,FALSE,-0.08450040403508136,High-CMT
Full,1.5C,Aggregated R10 regions,AIM,inferred_retirements_GW,Inferred retired capacity,GW,1,3,96754.32396,6597.6678,TRUE,FALSE,-90156.65616,High-CMT
Full,1.5C,Aggregated R10 regions,AIM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",1,3,335.32061966974027,247.85799665498962,TRUE,FALSE,-87.46262301475065,High-CMT
Full,1.5C,Aggregated R10 regions,AIM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",1,3,538.6861806783348,426.6613158440563,TRUE,FALSE,-112.02486483427856,High-CMT
Full,1.5C,Aggregated R10 regions,AIM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",1,3,547.3960570107322,427.7854205293323,TRUE,FALSE,-119.61063648139987,High-CMT
Full,1.5C,Aggregated R10 regions,GCAM,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",0,1,NA,9.231580982060585,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,GCAM,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",0,1,NA,6.796134144161018,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,GCAM,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",0,1,NA,0.3218224285128792,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,GCAM,inferred_retirements_GW,Inferred retired capacity,GW,0,1,NA,113372.42676993177,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,GCAM,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",0,1,NA,576.9147309581708,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,GCAM,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",0,1,NA,629.4963412427825,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,GCAM,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",0,1,NA,638.7279222248432,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,IMAGE,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",21,0,7.2093928877712905,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,IMAGE,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",21,0,4.604101608153554,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,IMAGE,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",21,0,0.5035967924158972,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,IMAGE,inferred_retirements_GW,Inferred retired capacity,GW,21,0,77843.11345518682,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,IMAGE,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",21,0,281.2928444224547,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,IMAGE,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",21,0,386.4319015304197,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,IMAGE,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",21,0,393.64129441819097,NA,FALSE,FALSE,NA,NA
Full,1.5C,Aggregated R10 regions,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",25,3,1.2818868698336354,4.624691505790383,TRUE,TRUE,3.342804635956748,High-RE
Full,1.5C,Aggregated R10 regions,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",25,3,0.6486046313965781,3.665017471627199,TRUE,TRUE,3.016412840230621,High-RE
Full,1.5C,Aggregated R10 regions,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",25,3,0.2502583125793428,0.22196122016147346,TRUE,TRUE,-0.02829709241786932,High-CMT
Full,1.5C,Aggregated R10 regions,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,25,3,8251.060780810369,64158.76499264434,TRUE,TRUE,55907.704211833974,High-RE
Full,1.5C,Aggregated R10 regions,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",25,3,210.64772253527855,336.5004628109177,TRUE,TRUE,125.85274027563918,High-RE
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",25,3,294.1226111733909,435.7615650223265,TRUE,TRUE,141.6389538489356,High-RE
Full,1.5C,Aggregated R10 regions,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",25,3,295.36125574465535,440.3862565281169,TRUE,TRUE,145.02500078346156,High-RE
Full,1.5C,Aggregated R10 regions,POLES,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",4,1,5.605560969740801,1.60556928897884,TRUE,FALSE,-3.999991680761961,High-CMT
Full,1.5C,Aggregated R10 regions,POLES,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",4,1,4.390784201365546,1.0881556423953018,TRUE,FALSE,-3.3026285589702438,High-CMT
