database,ambition_view,Region,metric,label,unit,n_High-CMT,n_High-RE,median_High-CMT,median_High-RE,raw_difference_high_re_minus_high_cmt,favours_more_employment
Full,All ambitions pooled,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",270,301,192.67508488158444,509.50537371772106,316.8302888361366,High-RE
Full,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",270,301,301.3301620459045,577.9427132024152,276.61255115651073,High-RE
Full,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",270,301,303.5695088216967,582.0386278172977,278.469118995601,High-RE
Full,1.5C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",58,67,227.59708437454202,691.5154348155945,463.9183504410525,High-RE
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",58,67,354.0406985863558,740.4918286308111,386.45113004445534,High-RE
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",58,67,358.0599002019925,748.6547433260449,390.59484312405243,High-RE
Full,2C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",212,234,186.4954992507894,471.15794255985145,284.66244330906204,High-RE
Full,2C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",212,234,292.73691016942,536.0601226521406,243.32321248272063,High-RE
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",212,234,294.40860114420377,542.5116411267561,248.10303998255233,High-RE
SCI-vetted,All ambitions pooled,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",69,69,187.93304199310523,308.61802919229706,120.68498719919182,High-RE
SCI-vetted,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",69,69,345.82779201058156,416.96191741661715,71.1341254060356,High-RE
SCI-vetted,All ambitions pooled,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",69,69,350.7392575320401,423.27276987230044,72.53351234026036,High-RE
SCI-vetted,1.5C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",6,6,265.7963950032669,551.6326683391102,285.83627333584326,High-RE
SCI-vetted,1.5C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",6,6,452.84062443724986,591.6965053757485,138.85588093849867,High-RE
SCI-vetted,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",6,6,458.3544650528828,601.0386573368169,142.68419228393407,High-RE
SCI-vetted,2C,Aggregated R10 regions,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",63,63,186.38013060980208,295.0638621968638,108.68373158706171,High-RE
SCI-vetted,2C,Aggregated R10 regions,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",63,63,340.7099631622462,411.65414262511683,70.94417946287064,High-RE
SCI-vetted,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",63,63,345.4670448919984,417.78545306114,72.3184081691416,High-RE
