ambition_view,family,project,Pathway,component,n,median
1.5C,AIM,ENGAGE,High-CDR,jobs_Bioenergy,1,77.91093573475926
1.5C,AIM,ENGAGE,High-CDR,jobs_Decommission,1,8.709876332397402
1.5C,AIM,ENGAGE,High-CDR,jobs_EnergyTotal,1,547.3960570107322
1.5C,AIM,ENGAGE,High-CDR,jobs_Fossil,1,42.930285616460665
1.5C,AIM,ENGAGE,High-CDR,jobs_Nuclear,1,39.59405404091397
1.5C,AIM,ENGAGE,High-CDR,jobs_Renewables,1,378.25090528620086
1.5C,AIM,ENGAGE,High-RE,jobs_Bioenergy,3,61.41673554199644
1.5C,AIM,ENGAGE,High-RE,jobs_Decommission,3,1.307644620099863
1.5C,AIM,ENGAGE,High-RE,jobs_EnergyTotal,3,427.7854205293323
1.5C,AIM,ENGAGE,High-RE,jobs_Fossil,3,47.59097977016958
1.5C,AIM,ENGAGE,High-RE,jobs_Nuclear,3,18.439412217684946
1.5C,AIM,ENGAGE,High-RE,jobs_Renewables,3,297.3315823696822
1.5C,GCAM,NGFS Phase 5,High-RE,jobs_Bioenergy,1,21.229139627648113
1.5C,GCAM,NGFS Phase 5,High-RE,jobs_Decommission,1,9.231580982060585
1.5C,GCAM,NGFS Phase 5,High-RE,jobs_EnergyTotal,1,638.7279222248432
1.5C,GCAM,NGFS Phase 5,High-RE,jobs_Fossil,1,10.164985188513768
1.5C,GCAM,NGFS Phase 5,High-RE,jobs_Nuclear,1,11.022500279935862
1.5C,GCAM,NGFS Phase 5,High-RE,jobs_Renewables,1,587.0797161466847
1.5C,IMAGE,SHAPE,High-CDR,jobs_Bioenergy,9,41.259194751465614
1.5C,IMAGE,SHAPE,High-CDR,jobs_Decommission,9,5.87308669505882
1.5C,IMAGE,SHAPE,High-CDR,jobs_EnergyTotal,9,342.4417888475211
1.5C,IMAGE,SHAPE,High-CDR,jobs_Fossil,9,44.11276406109511
1.5C,IMAGE,SHAPE,High-CDR,jobs_Nuclear,9,8.167861843527294
1.5C,IMAGE,SHAPE,High-CDR,jobs_Renewables,9,273.4396723069096
1.5C,IMAGE,SSP2021,High-CDR,jobs_Bioenergy,12,48.128151843352924
1.5C,IMAGE,SSP2021,High-CDR,jobs_Decommission,12,7.384919277370528
1.5C,IMAGE,SSP2021,High-CDR,jobs_EnergyTotal,12,459.3214241153022
1.5C,IMAGE,SSP2021,High-CDR,jobs_Fossil,12,60.26265646142308
1.5C,IMAGE,SSP2021,High-CDR,jobs_Nuclear,12,23.624164829334696
1.5C,IMAGE,SSP2021,High-CDR,jobs_Renewables,12,349.08963920469887
1.5C,MESSAGEix,COVID,High-CDR,jobs_Bioenergy,5,0
1.5C,MESSAGEix,COVID,High-CDR,jobs_Decommission,5,0.5532258419480824
1.5C,MESSAGEix,COVID,High-CDR,jobs_EnergyTotal,5,2.913626479053122
1.5C,MESSAGEix,COVID,High-CDR,jobs_Fossil,5,2.34056021384149
1.5C,MESSAGEix,COVID,High-CDR,jobs_Nuclear,5,0
1.5C,MESSAGEix,COVID,High-CDR,jobs_Renewables,5,0
1.5C,MESSAGEix,ENGAGE,High-CDR,jobs_Bioenergy,13,1.7796949300463338
1.5C,MESSAGEix,ENGAGE,High-CDR,jobs_Decommission,13,1.2818868698336354
1.5C,MESSAGEix,ENGAGE,High-CDR,jobs_EnergyTotal,13,295.36125574465535
1.5C,MESSAGEix,ENGAGE,High-CDR,jobs_Fossil,13,17.464717109075707
1.5C,MESSAGEix,ENGAGE,High-CDR,jobs_Nuclear,13,39.23047915663755
1.5C,MESSAGEix,ENGAGE,High-CDR,jobs_Renewables,13,237.1904084844895
1.5C,MESSAGEix,GEI,High-CDR,jobs_Bioenergy,6,3.9859481237926406
1.5C,MESSAGEix,GEI,High-CDR,jobs_Decommission,6,4.148477680952057
1.5C,MESSAGEix,GEI,High-CDR,jobs_EnergyTotal,6,389.9821332528713
1.5C,MESSAGEix,GEI,High-CDR,jobs_Fossil,6,39.877722068851
1.5C,MESSAGEix,GEI,High-CDR,jobs_Nuclear,6,47.80399930773718
1.5C,MESSAGEix,GEI,High-CDR,jobs_Renewables,6,298.5433725625702
1.5C,MESSAGEix,GEI,High-RE,jobs_Bioenergy,3,3.950423290734562
1.5C,MESSAGEix,GEI,High-RE,jobs_Decommission,3,4.624691505790383
1.5C,MESSAGEix,GEI,High-RE,jobs_EnergyTotal,3,440.3862565281169
1.5C,MESSAGEix,GEI,High-RE,jobs_Fossil,3,23.90173106260043
1.5C,MESSAGEix,GEI,High-RE,jobs_Nuclear,3,47.50721679547336
1.5C,MESSAGEix,GEI,High-RE,jobs_Renewables,3,360.0723849706378
1.5C,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Bioenergy,1,1.5233935645769228
1.5C,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Decommission,1,1.1420120542297871
1.5C,MESSAGEix,NGFS Phase 2,High-CDR,jobs_EnergyTotal,1,280.35332609246854
1.5C,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Fossil,1,18.469972390638613
1.5C,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Nuclear,1,38.06379755928964
1.5C,MESSAGEix,NGFS Phase 2,High-CDR,jobs_Renewables,1,221.15415052373356
1.5C,POLES,ENGAGE,High-CDR,jobs_Bioenergy,4,69.80837391180069
1.5C,POLES,ENGAGE,High-CDR,jobs_Decommission,4,5.605560969740801
1.5C,POLES,ENGAGE,High-CDR,jobs_EnergyTotal,4,446.30488831787466
1.5C,POLES,ENGAGE,High-CDR,jobs_Fossil,4,39.55027674381691
1.5C,POLES,ENGAGE,High-CDR,jobs_Nuclear,4,30.69592595597237
1.5C,POLES,ENGAGE,High-CDR,jobs_Renewables,4,300.461342406849
1.5C,POLES,ENGAGE,High-RE,jobs_Bioenergy,1,87.53801830131341
1.5C,POLES,ENGAGE,High-RE,jobs_Decommission,1,1.60556928897884
1.5C,POLES,ENGAGE,High-RE,jobs_EnergyTotal,1,456.12463062796354
1.5C,POLES,ENGAGE,High-RE,jobs_Fossil,1,47.53670568723746
1.5C,POLES,ENGAGE,High-RE,jobs_Nuclear,1,10.55417601389214
1.5C,POLES,ENGAGE,High-RE,jobs_Renewables,1,308.8901613365418
1.5C,REMIND,BEG,High-RE,jobs_Bioenergy,2,21.138114368752177
1.5C,REMIND,BEG,High-RE,jobs_Decommission,2,7.330564454824243
1.5C,REMIND,BEG,High-RE,jobs_EnergyTotal,2,795.1956797199126
1.5C,REMIND,BEG,High-RE,jobs_Fossil,2,13.803589172375794
1.5C,REMIND,BEG,High-RE,jobs_Nuclear,2,21.582728146731604
1.5C,REMIND,BEG,High-RE,jobs_Renewables,2,731.3406835772288
1.5C,REMIND,CD,High-RE,jobs_Bioenergy,4,7.739838586771221
1.5C,REMIND,CD,High-RE,jobs_Decommission,4,8.269241338124605
1.5C,REMIND,CD,High-RE,jobs_EnergyTotal,4,772.3389589594475
1.5C,REMIND,CD,High-RE,jobs_Fossil,4,10.031227192207549
1.5C,REMIND,CD,High-RE,jobs_Nuclear,4,16.73777738631513
1.5C,REMIND,CD,High-RE,jobs_Renewables,4,732.3168632015507
1.5C,REMIND,CEMICS,High-RE,jobs_Bioenergy,7,32.29705583004167
1.5C,REMIND,CEMICS,High-RE,jobs_Decommission,7,7.850243414147277
1.5C,REMIND,CEMICS,High-RE,jobs_EnergyTotal,7,893.1459914606489
1.5C,REMIND,CEMICS,High-RE,jobs_Fossil,7,8.200644850818296
1.5C,REMIND,CEMICS,High-RE,jobs_Nuclear,7,17.430443941196465
1.5C,REMIND,CEMICS,High-RE,jobs_Renewables,7,844.3692855998733
1.5C,REMIND,COMMIT,High-RE,jobs_Bioenergy,3,2.04649137334518
1.5C,REMIND,COMMIT,High-RE,jobs_Decommission,3,7.934643873758276
1.5C,REMIND,COMMIT,High-RE,jobs_EnergyTotal,3,726.6588313199819
1.5C,REMIND,COMMIT,High-RE,jobs_Fossil,3,11.275086790632121
1.5C,REMIND,COMMIT,High-RE,jobs_Nuclear,3,16.497544251301274
1.5C,REMIND,COMMIT,High-RE,jobs_Renewables,3,686.7457104144379
1.5C,REMIND,DeepElectrification,High-RE,jobs_Bioenergy,1,4.085438311167586
1.5C,REMIND,DeepElectrification,High-RE,jobs_Decommission,1,9.205011886500541
1.5C,REMIND,DeepElectrification,High-RE,jobs_EnergyTotal,1,794.9548484829987
1.5C,REMIND,DeepElectrification,High-RE,jobs_Fossil,1,9.059994780233325
1.5C,REMIND,DeepElectrification,High-RE,jobs_Nuclear,1,1.6617768781528854
1.5C,REMIND,DeepElectrification,High-RE,jobs_Renewables,1,770.9426266269444
1.5C,REMIND,ENGAGE,High-RE,jobs_Bioenergy,21,4.6483038939337025
1.5C,REMIND,ENGAGE,High-RE,jobs_Decommission,21,7.128023079442304
1.5C,REMIND,ENGAGE,High-RE,jobs_EnergyTotal,21,774.1126003990055
1.5C,REMIND,ENGAGE,High-RE,jobs_Fossil,21,13.55282791090876
1.5C,REMIND,ENGAGE,High-RE,jobs_Nuclear,21,7.682104020907337
1.5C,REMIND,ENGAGE,High-RE,jobs_Renewables,21,741.6365384317071
1.5C,REMIND,NAVIGATE,High-CDR,jobs_Bioenergy,1,6.856442020570761
1.5C,REMIND,NAVIGATE,High-CDR,jobs_Decommission,1,4.567664641336618
1.5C,REMIND,NAVIGATE,High-CDR,jobs_EnergyTotal,1,369.0978178339944
1.5C,REMIND,NAVIGATE,High-CDR,jobs_Fossil,1,13.089570482680545
1.5C,REMIND,NAVIGATE,High-CDR,jobs_Nuclear,1,4.1832304372186115
1.5C,REMIND,NAVIGATE,High-CDR,jobs_Renewables,1,340.4009102521878
1.5C,REMIND,NGFS Phase 5,High-RE,jobs_Bioenergy,1,2.646424064054884
1.5C,REMIND,NGFS Phase 5,High-RE,jobs_Decommission,1,5.78011227458057
1.5C,REMIND,NGFS Phase 5,High-RE,jobs_EnergyTotal,1,557.7723386894081
1.5C,REMIND,NGFS Phase 5,High-RE,jobs_Fossil,1,8.689110333465397
1.5C,REMIND,NGFS Phase 5,High-RE,jobs_Nuclear,1,5.616975963792319
1.5C,REMIND,NGFS Phase 5,High-RE,jobs_Renewables,1,535.0397160535149
1.5C,REMIND,PEP,High-RE,jobs_Bioenergy,13,6.877013176883927
1.5C,REMIND,PEP,High-RE,jobs_Decommission,13,8.502390156351899
1.5C,REMIND,PEP,High-RE,jobs_EnergyTotal,13,803.5691107558773
1.5C,REMIND,PEP,High-RE,jobs_Fossil,13,9.724749108809371
1.5C,REMIND,PEP,High-RE,jobs_Nuclear,13,17.393247172346538
1.5C,REMIND,PEP,High-RE,jobs_Renewables,13,747.025137891799
1.5C,REMIND,R2p1,High-RE,jobs_Bioenergy,2,13.004497137813624
1.5C,REMIND,R2p1,High-RE,jobs_Decommission,2,7.1833851250677885
1.5C,REMIND,R2p1,High-RE,jobs_EnergyTotal,2,757.322860540341
1.5C,REMIND,R2p1,High-RE,jobs_Fossil,2,19.438370678865667
1.5C,REMIND,R2p1,High-RE,jobs_Nuclear,2,19.151220652635686
1.5C,REMIND,R2p1,High-RE,jobs_Renewables,2,698.5453869459582
1.5C,REMIND,RESCUE,High-RE,jobs_Bioenergy,3,3.430071342490664
1.5C,REMIND,RESCUE,High-RE,jobs_Decommission,3,6.024081506052649
1.5C,REMIND,RESCUE,High-RE,jobs_EnergyTotal,3,712.2752291017148
1.5C,REMIND,RESCUE,High-RE,jobs_Fossil,3,18.109874205442114
1.5C,REMIND,RESCUE,High-RE,jobs_Nuclear,3,3.8692444179889374
1.5C,REMIND,RESCUE,High-RE,jobs_Renewables,3,680.9220347648286
1.5C,REMIND,SusDev,High-RE,jobs_Bioenergy,2,9.16444727199444
1.5C,REMIND,SusDev,High-RE,jobs_Decommission,2,6.240307059428906
1.5C,REMIND,SusDev,High-RE,jobs_EnergyTotal,2,610.6272212421248
1.5C,REMIND,SusDev,High-RE,jobs_Fossil,2,10.234930565579102
1.5C,REMIND,SusDev,High-RE,jobs_Nuclear,2,5.108748763605497
1.5C,REMIND,SusDev,High-RE,jobs_Renewables,2,579.8787875815168
1.5C,WITCH,ENGAGE,High-CDR,jobs_Bioenergy,6,63.24019082639561
1.5C,WITCH,ENGAGE,High-CDR,jobs_Decommission,6,6.398678740891887
1.5C,WITCH,ENGAGE,High-CDR,jobs_EnergyTotal,6,443.8990093973391
1.5C,WITCH,ENGAGE,High-CDR,jobs_Fossil,6,20.584959707720174
1.5C,WITCH,ENGAGE,High-CDR,jobs_Nuclear,6,13.69307661637949
1.5C,WITCH,ENGAGE,High-CDR,jobs_Renewables,6,337.6968429579849
2C,AIM,ENGAGE,High-CDR,jobs_Bioenergy,20,51.07598354992975
2C,AIM,ENGAGE,High-CDR,jobs_Decommission,20,7.480512001862544
2C,AIM,ENGAGE,High-CDR,jobs_EnergyTotal,20,462.0937709466265
2C,AIM,ENGAGE,High-CDR,jobs_Fossil,20,59.56373796414488
2C,AIM,ENGAGE,High-CDR,jobs_Nuclear,20,31.90137723531702
2C,AIM,ENGAGE,High-CDR,jobs_Renewables,20,311.1958552612952
2C,AIM,ENGAGE,High-RE,jobs_Bioenergy,11,55.68491528776294
2C,AIM,ENGAGE,High-RE,jobs_Decommission,11,1.4878880977876152
2C,AIM,ENGAGE,High-RE,jobs_EnergyTotal,11,437.088864357465
2C,AIM,ENGAGE,High-RE,jobs_Fossil,11,49.351405334940424
2C,AIM,ENGAGE,High-RE,jobs_Nuclear,11,19.916528222868116
2C,AIM,ENGAGE,High-RE,jobs_Renewables,11,339.0821515608115
2C,COFFEE,ENGAGE,High-RE,jobs_Bioenergy,8,5.852626894560336
2C,COFFEE,ENGAGE,High-RE,jobs_Decommission,8,1.0898987621398621
2C,COFFEE,ENGAGE,High-RE,jobs_EnergyTotal,8,209.7117364026971
2C,COFFEE,ENGAGE,High-RE,jobs_Fossil,8,11.085078071405409
2C,COFFEE,ENGAGE,High-RE,jobs_Nuclear,8,14.505293866884951
2C,COFFEE,ENGAGE,High-RE,jobs_Renewables,8,177.32122863533934
2C,GCAM,IAM,High-CDR,jobs_Bioenergy,3,29.189441906960326
2C,GCAM,IAM,High-CDR,jobs_Decommission,3,8.09262326832654
2C,GCAM,IAM,High-CDR,jobs_EnergyTotal,3,339.3833470088495
2C,GCAM,IAM,High-CDR,jobs_Fossil,3,44.30029292175957
2C,GCAM,IAM,High-CDR,jobs_Nuclear,3,26.023389769626146
2C,GCAM,IAM,High-CDR,jobs_Renewables,3,231.777599142177
2C,GCAM,NGFS Phase 5,High-RE,jobs_Bioenergy,4,18.662812078845064
2C,GCAM,NGFS Phase 5,High-RE,jobs_Decommission,4,8.925546525576097
2C,GCAM,NGFS Phase 5,High-RE,jobs_EnergyTotal,4,554.6597400979427
2C,GCAM,NGFS Phase 5,High-RE,jobs_Fossil,4,21.991174241749892
2C,GCAM,NGFS Phase 5,High-RE,jobs_Nuclear,4,7.888375490266234
2C,GCAM,NGFS Phase 5,High-RE,jobs_Renewables,4,497.0199818901475
2C,IMAGE,COMMIT,High-CDR,jobs_Bioenergy,0,NA
2C,IMAGE,COMMIT,High-CDR,jobs_Decommission,0,NA
2C,IMAGE,COMMIT,High-CDR,jobs_EnergyTotal,0,NA
2C,IMAGE,COMMIT,High-CDR,jobs_Fossil,0,NA
2C,IMAGE,COMMIT,High-CDR,jobs_Nuclear,0,NA
2C,IMAGE,COMMIT,High-CDR,jobs_Renewables,0,NA
2C,IMAGE,ENGAGE,High-CDR,jobs_Bioenergy,29,55.70798143024975
2C,IMAGE,ENGAGE,High-CDR,jobs_Decommission,29,3.0273541168156983
2C,IMAGE,ENGAGE,High-CDR,jobs_EnergyTotal,29,245.57143147466002
2C,IMAGE,ENGAGE,High-CDR,jobs_Fossil,29,54.43285266828975
2C,IMAGE,ENGAGE,High-CDR,jobs_Nuclear,29,12.690557196803312
2C,IMAGE,ENGAGE,High-CDR,jobs_Renewables,29,114.62240436896438
2C,IMAGE,NAVIGATE,High-CDR,jobs_Bioenergy,8,17.62100322751845
2C,IMAGE,NAVIGATE,High-CDR,jobs_Decommission,8,4.961675377507815
2C,IMAGE,NAVIGATE,High-CDR,jobs_EnergyTotal,8,313.5018176276719
2C,IMAGE,NAVIGATE,High-CDR,jobs_Fossil,8,28.00264316292489
2C,IMAGE,NAVIGATE,High-CDR,jobs_Nuclear,8,26.278280992789263
2C,IMAGE,NAVIGATE,High-CDR,jobs_Renewables,8,243.56378060971616
2C,IMAGE,SSP2021,High-CDR,jobs_Bioenergy,8,40.76313971110873
2C,IMAGE,SSP2021,High-CDR,jobs_Decommission,8,4.705592870885317
2C,IMAGE,SSP2021,High-CDR,jobs_EnergyTotal,8,302.0186750995276
2C,IMAGE,SSP2021,High-CDR,jobs_Fossil,8,62.85570901145075
2C,IMAGE,SSP2021,High-CDR,jobs_Nuclear,8,17.683354423693288
2C,IMAGE,SSP2021,High-CDR,jobs_Renewables,8,187.97846896173732
2C,IMAGE,SSP2021,High-RE,jobs_Bioenergy,2,16.103681692553643
2C,IMAGE,SSP2021,High-RE,jobs_Decommission,2,8.44850489871225
2C,IMAGE,SSP2021,High-RE,jobs_EnergyTotal,2,530.7782904129981
2C,IMAGE,SSP2021,High-RE,jobs_Fossil,2,84.20586259968624
2C,IMAGE,SSP2021,High-RE,jobs_Nuclear,2,4.245387891342361
2C,IMAGE,SSP2021,High-RE,jobs_Renewables,2,417.77485333070354
2C,MESSAGEix,COVID,High-CDR,jobs_Bioenergy,5,0
2C,MESSAGEix,COVID,High-CDR,jobs_Decommission,5,0.5532258419480824
2C,MESSAGEix,COVID,High-CDR,jobs_EnergyTotal,5,5.132992081870203
2C,MESSAGEix,COVID,High-CDR,jobs_Fossil,5,4.579954644546672
2C,MESSAGEix,COVID,High-CDR,jobs_Nuclear,5,0
2C,MESSAGEix,COVID,High-CDR,jobs_Renewables,5,0
2C,MESSAGEix,ENGAGE,High-CDR,jobs_Bioenergy,62,2.567857367911791
2C,MESSAGEix,ENGAGE,High-CDR,jobs_Decommission,62,1.1361280551941795
2C,MESSAGEix,ENGAGE,High-CDR,jobs_EnergyTotal,62,275.6231653103852
2C,MESSAGEix,ENGAGE,High-CDR,jobs_Fossil,62,27.507356627794067
2C,MESSAGEix,ENGAGE,High-CDR,jobs_Nuclear,62,34.74085281656366
2C,MESSAGEix,ENGAGE,High-CDR,jobs_Renewables,62,209.77172109481944
2C,MESSAGEix,ENGAGE,High-RE,jobs_Bioenergy,20,2.6778721048194782
2C,MESSAGEix,ENGAGE,High-RE,jobs_Decommission,20,1.166874297193758
2C,MESSAGEix,ENGAGE,High-RE,jobs_EnergyTotal,20,297.48478690153274
2C,MESSAGEix,ENGAGE,High-RE,jobs_Fossil,20,17.823078794249057
2C,MESSAGEix,ENGAGE,High-RE,jobs_Nuclear,20,49.01085104287114
2C,MESSAGEix,ENGAGE,High-RE,jobs_Renewables,20,234.77410467277832
2C,MESSAGEix,GEI,High-CDR,jobs_Bioenergy,6,2.8867060519159446
2C,MESSAGEix,GEI,High-CDR,jobs_Decommission,6,3.405956154709952
2C,MESSAGEix,GEI,High-CDR,jobs_EnergyTotal,6,318.07293110918397
2C,MESSAGEix,GEI,High-CDR,jobs_Fossil,6,55.880445857390896
2C,MESSAGEix,GEI,High-CDR,jobs_Nuclear,6,29.78661569006385
2C,MESSAGEix,GEI,High-CDR,jobs_Renewables,6,224.6039842529145
