ambition_view,family,project,component,n_High-CDR,n_High-RE,median_High-CDR,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cdr,favours
1.5C,AIM,ENGAGE,jobs_Bioenergy,1,3,77.91093573475926,61.41673554199644,TRUE,FALSE,-16.494200192762825,High-CDR
1.5C,AIM,ENGAGE,jobs_Decommission,1,3,8.709876332397402,1.307644620099863,TRUE,FALSE,-7.402231712297539,High-CDR
1.5C,AIM,ENGAGE,jobs_EnergyTotal,1,3,547.3960570107322,427.7854205293323,TRUE,FALSE,-119.61063648139987,High-CDR
1.5C,AIM,ENGAGE,jobs_Fossil,1,3,42.930285616460665,47.59097977016958,TRUE,FALSE,4.660694153708917,High-RE
1.5C,AIM,ENGAGE,jobs_Nuclear,1,3,39.59405404091397,18.439412217684946,TRUE,FALSE,-21.15464182322902,High-CDR
1.5C,AIM,ENGAGE,jobs_Renewables,1,3,378.25090528620086,297.3315823696822,TRUE,FALSE,-80.91932291651864,High-CDR
1.5C,GCAM,NGFS Phase 5,jobs_Bioenergy,0,1,0,21.229139627648113,FALSE,FALSE,21.229139627648113,NA
1.5C,GCAM,NGFS Phase 5,jobs_Decommission,0,1,0,9.231580982060585,FALSE,FALSE,9.231580982060585,NA
1.5C,GCAM,NGFS Phase 5,jobs_EnergyTotal,0,1,0,638.7279222248432,FALSE,FALSE,638.7279222248432,NA
1.5C,GCAM,NGFS Phase 5,jobs_Fossil,0,1,0,10.164985188513768,FALSE,FALSE,10.164985188513768,NA
1.5C,GCAM,NGFS Phase 5,jobs_Nuclear,0,1,0,11.022500279935862,FALSE,FALSE,11.022500279935862,NA
1.5C,GCAM,NGFS Phase 5,jobs_Renewables,0,1,0,587.0797161466847,FALSE,FALSE,587.0797161466847,NA
1.5C,IMAGE,SHAPE,jobs_Bioenergy,9,0,41.259194751465614,0,FALSE,FALSE,-41.259194751465614,NA
1.5C,IMAGE,SHAPE,jobs_Decommission,9,0,5.87308669505882,0,FALSE,FALSE,-5.87308669505882,NA
1.5C,IMAGE,SHAPE,jobs_EnergyTotal,9,0,342.4417888475211,0,FALSE,FALSE,-342.4417888475211,NA
1.5C,IMAGE,SHAPE,jobs_Fossil,9,0,44.11276406109511,0,FALSE,FALSE,-44.11276406109511,NA
1.5C,IMAGE,SHAPE,jobs_Nuclear,9,0,8.167861843527294,0,FALSE,FALSE,-8.167861843527294,NA
1.5C,IMAGE,SHAPE,jobs_Renewables,9,0,273.4396723069096,0,FALSE,FALSE,-273.4396723069096,NA
1.5C,IMAGE,SSP2021,jobs_Bioenergy,12,0,48.128151843352924,0,FALSE,FALSE,-48.128151843352924,NA
1.5C,IMAGE,SSP2021,jobs_Decommission,12,0,7.384919277370528,0,FALSE,FALSE,-7.384919277370528,NA
1.5C,IMAGE,SSP2021,jobs_EnergyTotal,12,0,459.3214241153022,0,FALSE,FALSE,-459.3214241153022,NA
1.5C,IMAGE,SSP2021,jobs_Fossil,12,0,60.26265646142308,0,FALSE,FALSE,-60.26265646142308,NA
1.5C,IMAGE,SSP2021,jobs_Nuclear,12,0,23.624164829334696,0,FALSE,FALSE,-23.624164829334696,NA
1.5C,IMAGE,SSP2021,jobs_Renewables,12,0,349.08963920469887,0,FALSE,FALSE,-349.08963920469887,NA
1.5C,MESSAGEix,COVID,jobs_Bioenergy,5,0,0,0,FALSE,FALSE,0,NA
1.5C,MESSAGEix,COVID,jobs_Decommission,5,0,0.5532258419480824,0,FALSE,FALSE,-0.5532258419480824,NA
1.5C,MESSAGEix,COVID,jobs_EnergyTotal,5,0,2.913626479053122,0,FALSE,FALSE,-2.913626479053122,NA
1.5C,MESSAGEix,COVID,jobs_Fossil,5,0,2.34056021384149,0,FALSE,FALSE,-2.34056021384149,NA
1.5C,MESSAGEix,COVID,jobs_Nuclear,5,0,0,0,FALSE,FALSE,0,NA
1.5C,MESSAGEix,COVID,jobs_Renewables,5,0,0,0,FALSE,FALSE,0,NA
1.5C,MESSAGEix,ENGAGE,jobs_Bioenergy,13,0,1.7796949300463338,0,FALSE,FALSE,-1.7796949300463338,NA
1.5C,MESSAGEix,ENGAGE,jobs_Decommission,13,0,1.2818868698336354,0,FALSE,FALSE,-1.2818868698336354,NA
1.5C,MESSAGEix,ENGAGE,jobs_EnergyTotal,13,0,295.36125574465535,0,FALSE,FALSE,-295.36125574465535,NA
1.5C,MESSAGEix,ENGAGE,jobs_Fossil,13,0,17.464717109075707,0,FALSE,FALSE,-17.464717109075707,NA
1.5C,MESSAGEix,ENGAGE,jobs_Nuclear,13,0,39.23047915663755,0,FALSE,FALSE,-39.23047915663755,NA
1.5C,MESSAGEix,ENGAGE,jobs_Renewables,13,0,237.1904084844895,0,FALSE,FALSE,-237.1904084844895,NA
1.5C,MESSAGEix,GEI,jobs_Bioenergy,6,3,3.9859481237926406,3.950423290734562,TRUE,TRUE,-0.03552483305807863,High-CDR
1.5C,MESSAGEix,GEI,jobs_Decommission,6,3,4.148477680952057,4.624691505790383,TRUE,TRUE,0.4762138248383261,High-RE
1.5C,MESSAGEix,GEI,jobs_EnergyTotal,6,3,389.9821332528713,440.3862565281169,TRUE,TRUE,50.40412327524564,High-RE
1.5C,MESSAGEix,GEI,jobs_Fossil,6,3,39.877722068851,23.90173106260043,TRUE,TRUE,-15.97599100625057,High-CDR
1.5C,MESSAGEix,GEI,jobs_Nuclear,6,3,47.80399930773718,47.50721679547336,TRUE,TRUE,-0.29678251226381747,High-CDR
1.5C,MESSAGEix,GEI,jobs_Renewables,6,3,298.5433725625702,360.0723849706378,TRUE,TRUE,61.529012408067615,High-RE
1.5C,MESSAGEix,NGFS Phase 2,jobs_Bioenergy,1,0,1.5233935645769228,0,FALSE,FALSE,-1.5233935645769228,NA
1.5C,MESSAGEix,NGFS Phase 2,jobs_Decommission,1,0,1.1420120542297871,0,FALSE,FALSE,-1.1420120542297871,NA
1.5C,MESSAGEix,NGFS Phase 2,jobs_EnergyTotal,1,0,280.35332609246854,0,FALSE,FALSE,-280.35332609246854,NA
1.5C,MESSAGEix,NGFS Phase 2,jobs_Fossil,1,0,18.469972390638613,0,FALSE,FALSE,-18.469972390638613,NA
1.5C,MESSAGEix,NGFS Phase 2,jobs_Nuclear,1,0,38.06379755928964,0,FALSE,FALSE,-38.06379755928964,NA
1.5C,MESSAGEix,NGFS Phase 2,jobs_Renewables,1,0,221.15415052373356,0,FALSE,FALSE,-221.15415052373356,NA
1.5C,POLES,ENGAGE,jobs_Bioenergy,4,1,69.80837391180069,87.53801830131341,TRUE,FALSE,17.72964438951273,High-RE
1.5C,POLES,ENGAGE,jobs_Decommission,4,1,5.605560969740801,1.60556928897884,TRUE,FALSE,-3.999991680761961,High-CDR
1.5C,POLES,ENGAGE,jobs_EnergyTotal,4,1,446.30488831787466,456.12463062796354,TRUE,FALSE,9.819742310088884,High-RE
1.5C,POLES,ENGAGE,jobs_Fossil,4,1,39.55027674381691,47.53670568723746,TRUE,FALSE,7.986428943420549,High-RE
1.5C,POLES,ENGAGE,jobs_Nuclear,4,1,30.69592595597237,10.55417601389214,TRUE,FALSE,-20.14174994208023,High-CDR
1.5C,POLES,ENGAGE,jobs_Renewables,4,1,300.461342406849,308.8901613365418,TRUE,FALSE,8.428818929692795,High-RE
1.5C,REMIND,BEG,jobs_Bioenergy,0,2,0,21.138114368752177,FALSE,FALSE,21.138114368752177,NA
1.5C,REMIND,BEG,jobs_Decommission,0,2,0,7.330564454824243,FALSE,FALSE,7.330564454824243,NA
1.5C,REMIND,BEG,jobs_EnergyTotal,0,2,0,795.1956797199126,FALSE,FALSE,795.1956797199126,NA
1.5C,REMIND,BEG,jobs_Fossil,0,2,0,13.803589172375794,FALSE,FALSE,13.803589172375794,NA
1.5C,REMIND,BEG,jobs_Nuclear,0,2,0,21.582728146731604,FALSE,FALSE,21.582728146731604,NA
1.5C,REMIND,BEG,jobs_Renewables,0,2,0,731.3406835772288,FALSE,FALSE,731.3406835772288,NA
1.5C,REMIND,CD,jobs_Bioenergy,0,4,0,7.739838586771221,FALSE,FALSE,7.739838586771221,NA
1.5C,REMIND,CD,jobs_Decommission,0,4,0,8.269241338124605,FALSE,FALSE,8.269241338124605,NA
1.5C,REMIND,CD,jobs_EnergyTotal,0,4,0,772.3389589594475,FALSE,FALSE,772.3389589594475,NA
1.5C,REMIND,CD,jobs_Fossil,0,4,0,10.031227192207549,FALSE,FALSE,10.031227192207549,NA
1.5C,REMIND,CD,jobs_Nuclear,0,4,0,16.73777738631513,FALSE,FALSE,16.73777738631513,NA
1.5C,REMIND,CD,jobs_Renewables,0,4,0,732.3168632015507,FALSE,FALSE,732.3168632015507,NA
1.5C,REMIND,CEMICS,jobs_Bioenergy,0,7,0,32.29705583004167,FALSE,FALSE,32.29705583004167,NA
1.5C,REMIND,CEMICS,jobs_Decommission,0,7,0,7.850243414147277,FALSE,FALSE,7.850243414147277,NA
1.5C,REMIND,CEMICS,jobs_EnergyTotal,0,7,0,893.1459914606489,FALSE,FALSE,893.1459914606489,NA
1.5C,REMIND,CEMICS,jobs_Fossil,0,7,0,8.200644850818296,FALSE,FALSE,8.200644850818296,NA
1.5C,REMIND,CEMICS,jobs_Nuclear,0,7,0,17.430443941196465,FALSE,FALSE,17.430443941196465,NA
1.5C,REMIND,CEMICS,jobs_Renewables,0,7,0,844.3692855998733,FALSE,FALSE,844.3692855998733,NA
1.5C,REMIND,COMMIT,jobs_Bioenergy,0,3,0,2.04649137334518,FALSE,FALSE,2.04649137334518,NA
1.5C,REMIND,COMMIT,jobs_Decommission,0,3,0,7.934643873758276,FALSE,FALSE,7.934643873758276,NA
1.5C,REMIND,COMMIT,jobs_EnergyTotal,0,3,0,726.6588313199819,FALSE,FALSE,726.6588313199819,NA
1.5C,REMIND,COMMIT,jobs_Fossil,0,3,0,11.275086790632121,FALSE,FALSE,11.275086790632121,NA
1.5C,REMIND,COMMIT,jobs_Nuclear,0,3,0,16.497544251301274,FALSE,FALSE,16.497544251301274,NA
1.5C,REMIND,COMMIT,jobs_Renewables,0,3,0,686.7457104144379,FALSE,FALSE,686.7457104144379,NA
1.5C,REMIND,DeepElectrification,jobs_Bioenergy,0,1,0,4.085438311167586,FALSE,FALSE,4.085438311167586,NA
1.5C,REMIND,DeepElectrification,jobs_Decommission,0,1,0,9.205011886500541,FALSE,FALSE,9.205011886500541,NA
1.5C,REMIND,DeepElectrification,jobs_EnergyTotal,0,1,0,794.9548484829987,FALSE,FALSE,794.9548484829987,NA
1.5C,REMIND,DeepElectrification,jobs_Fossil,0,1,0,9.059994780233325,FALSE,FALSE,9.059994780233325,NA
1.5C,REMIND,DeepElectrification,jobs_Nuclear,0,1,0,1.6617768781528854,FALSE,FALSE,1.6617768781528854,NA
1.5C,REMIND,DeepElectrification,jobs_Renewables,0,1,0,770.9426266269444,FALSE,FALSE,770.9426266269444,NA
1.5C,REMIND,ENGAGE,jobs_Bioenergy,0,21,0,4.6483038939337025,FALSE,FALSE,4.6483038939337025,NA
1.5C,REMIND,ENGAGE,jobs_Decommission,0,21,0,7.128023079442304,FALSE,FALSE,7.128023079442304,NA
1.5C,REMIND,ENGAGE,jobs_EnergyTotal,0,21,0,774.1126003990055,FALSE,FALSE,774.1126003990055,NA
1.5C,REMIND,ENGAGE,jobs_Fossil,0,21,0,13.55282791090876,FALSE,FALSE,13.55282791090876,NA
1.5C,REMIND,ENGAGE,jobs_Nuclear,0,21,0,7.682104020907337,FALSE,FALSE,7.682104020907337,NA
1.5C,REMIND,ENGAGE,jobs_Renewables,0,21,0,741.6365384317071,FALSE,FALSE,741.6365384317071,NA
1.5C,REMIND,NAVIGATE,jobs_Bioenergy,1,0,6.856442020570761,0,FALSE,FALSE,-6.856442020570761,NA
1.5C,REMIND,NAVIGATE,jobs_Decommission,1,0,4.567664641336618,0,FALSE,FALSE,-4.567664641336618,NA
1.5C,REMIND,NAVIGATE,jobs_EnergyTotal,1,0,369.0978178339944,0,FALSE,FALSE,-369.0978178339944,NA
1.5C,REMIND,NAVIGATE,jobs_Fossil,1,0,13.089570482680545,0,FALSE,FALSE,-13.089570482680545,NA
1.5C,REMIND,NAVIGATE,jobs_Nuclear,1,0,4.1832304372186115,0,FALSE,FALSE,-4.1832304372186115,NA
1.5C,REMIND,NAVIGATE,jobs_Renewables,1,0,340.4009102521878,0,FALSE,FALSE,-340.4009102521878,NA
1.5C,REMIND,NGFS Phase 5,jobs_Bioenergy,0,1,0,2.646424064054884,FALSE,FALSE,2.646424064054884,NA
1.5C,REMIND,NGFS Phase 5,jobs_Decommission,0,1,0,5.78011227458057,FALSE,FALSE,5.78011227458057,NA
1.5C,REMIND,NGFS Phase 5,jobs_EnergyTotal,0,1,0,557.7723386894081,FALSE,FALSE,557.7723386894081,NA
1.5C,REMIND,NGFS Phase 5,jobs_Fossil,0,1,0,8.689110333465397,FALSE,FALSE,8.689110333465397,NA
1.5C,REMIND,NGFS Phase 5,jobs_Nuclear,0,1,0,5.616975963792319,FALSE,FALSE,5.616975963792319,NA
1.5C,REMIND,NGFS Phase 5,jobs_Renewables,0,1,0,535.0397160535149,FALSE,FALSE,535.0397160535149,NA
1.5C,REMIND,PEP,jobs_Bioenergy,0,13,0,6.877013176883927,FALSE,FALSE,6.877013176883927,NA
1.5C,REMIND,PEP,jobs_Decommission,0,13,0,8.502390156351899,FALSE,FALSE,8.502390156351899,NA
1.5C,REMIND,PEP,jobs_EnergyTotal,0,13,0,803.5691107558773,FALSE,FALSE,803.5691107558773,NA
1.5C,REMIND,PEP,jobs_Fossil,0,13,0,9.724749108809371,FALSE,FALSE,9.724749108809371,NA
1.5C,REMIND,PEP,jobs_Nuclear,0,13,0,17.393247172346538,FALSE,FALSE,17.393247172346538,NA
1.5C,REMIND,PEP,jobs_Renewables,0,13,0,747.025137891799,FALSE,FALSE,747.025137891799,NA
1.5C,REMIND,R2p1,jobs_Bioenergy,0,2,0,13.004497137813624,FALSE,FALSE,13.004497137813624,NA
1.5C,REMIND,R2p1,jobs_Decommission,0,2,0,7.1833851250677885,FALSE,FALSE,7.1833851250677885,NA
