Model,Scenario,family,project,amb,Pathway,jobs_Renewables,jobs_Nuclear,jobs_Bioenergy,jobs_Fossil,jobs_Decommission,jobs_EnergyTotal
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,AIM,ENGAGE,2C,High-RE,288.1166321843837,18.196109611032274,55.68491528776294,51.89314153432781,1.1339650081732233,415.0247636256799
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,AIM,ENGAGE,2C,High-RE,224.22448098137156,16.578260660469937,49.883228166919004,49.54780421421436,1.4878880977876152,341.72166212076246
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,AIM,ENGAGE,2C,High-RE,298.4332582433119,18.87318404158528,58.72453723804571,51.16731381255205,1.2027673517375863,428.40106068723253
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,AIM,ENGAGE,2C,High-RE,339.0821515608115,19.916528222868116,26.595673152376705,50.292466153157356,1.2020452682513048,437.088864357465
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional,AIM,ENGAGE,1.5C,High-RE,255.98511000909576,17.489582355224904,29.032866524533308,47.59097977016958,1.5115351349818353,351.61007379400536
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional,AIM,ENGAGE,2C,High-RE,377.410586233484,22.452984215057292,25.379287662089254,47.76675340265901,1.2752299638826454,474.2848414771722
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,AIM,ENGAGE,1.5C,High-RE,297.3315823696822,18.439412217684946,61.41673554199644,49.47358571469264,1.1241046852760461,427.7854205293323
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,AIM,ENGAGE,2C,High-RE,225.5318479318706,16.63762613038165,50.27327142553035,49.351405334940424,1.4885014681866728,343.2826522909097
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,AIM,ENGAGE,1.5C,High-RE,333.49331111864245,20.261393067559567,65.10805460209212,47.260997797051225,1.307644620099863,467.43140120544524
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology,AIM,ENGAGE,2C,High-RE,323.2261604969687,18.983848102881613,25.9396324598866,51.363261437342366,1.1819591059841528,420.69486160306343
AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,AIM,ENGAGE,2C,High-CDR,331.02848234609536,34.08262505079259,62.94871252398158,54.69518806977847,7.850707057454322,490.6057150481023
AIM/CGE V2.2,ENGAGE-INDCi2030-1400,AIM,ENGAGE,2C,High-CDR,309.788087703856,32.31868870876451,49.387863069467656,59.948597382627455,7.418560824027398,458.86179768874297
AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,AIM,ENGAGE,2C,High-CDR,307.4951546722247,31.781673877040042,56.332052350117706,62.402786775491194,7.493039672422856,465.5047073472965
AIM/CGE V2.2,ENGAGE-INDCi2030-1600,AIM,ENGAGE,2C,High-CDR,297.8349061259951,31.003488131077358,45.69826596316008,62.992019558737404,7.194177651643199,444.72285743061315
AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,AIM,ENGAGE,2C,High-CDR,299.9121541950086,30.694240337556383,47.36084770282378,63.22915685573395,7.245971721460053,448.4423708125828
AIM/CGE V2.2,ENGAGE-INDCi2030-1800,AIM,ENGAGE,2C,High-CDR,288.13240853983393,29.793240662669557,39.38977851910102,65.35451014473581,6.973138941336728,429.64307680767706
AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,AIM,ENGAGE,2C,High-CDR,288.13240853983393,29.793240662669557,39.38977851910102,65.35451014473581,6.973138941336728,429.64307680767706
AIM/CGE V2.2,ENGAGE-INDCi2030-800f,AIM,ENGAGE,2C,High-RE,359.7477381217651,38.80096918991837,76.68861441012854,44.564123333525444,8.405720033560348,528.2071650888978
AIM/CGE V2.2,ENGAGE-INDCi2030-900f,AIM,ENGAGE,2C,High-RE,358.1507448417397,38.520149156186434,74.321318003887,44.68258418199691,8.373682730029257,524.0484789138393
AIM/CGE V2.2,ENGAGE-NPi2020-1000,AIM,ENGAGE,2C,High-CDR,347.13600318779385,36.11001885124321,58.69224327735522,48.296144428488354,8.136803869572462,498.3712136144531
AIM/CGE V2.2,ENGAGE-NPi2020-1000f,AIM,ENGAGE,2C,High-CDR,341.2022290345354,34.28347485837765,65.51300084573816,55.367470326863426,8.072511098475848,504.4386861639905
AIM/CGE V2.2,ENGAGE-NPi2020-1200,AIM,ENGAGE,2C,High-CDR,329.68731751933115,33.62554977952143,53.71201802893087,54.501893274579615,7.799342439522972,479.32612104188604
AIM/CGE V2.2,ENGAGE-NPi2020-1200f,AIM,ENGAGE,2C,High-CDR,322.43868192058636,32.57235102399042,59.899224710695805,57.022443703490346,7.6562778779334675,479.58897923669645
AIM/CGE V2.2,ENGAGE-NPi2020-1400,AIM,ENGAGE,2C,High-CDR,315.0847072824917,32.021080593594,47.86900804595019,58.06591561939876,7.471012706665723,460.5117242481004
AIM/CGE V2.2,ENGAGE-NPi2020-1400f,AIM,ENGAGE,2C,High-CDR,312.60362281873444,31.639200953304606,52.76410403039185,59.17887854566231,7.490011297059365,463.67581764515256
AIM/CGE V2.2,ENGAGE-NPi2020-1600,AIM,ENGAGE,2C,High-CDR,301.54805067440003,30.76520922332147,42.82878926954697,60.917440576150064,7.233789125562845,443.2932788689814
AIM/CGE V2.2,ENGAGE-NPi2020-1600f,AIM,ENGAGE,2C,High-CDR,301.8581909706027,30.78275064126938,43.46624804282357,60.881046850733384,7.238976958252579,444.22721346368155
AIM/CGE V2.2,ENGAGE-NPi2020-1800,AIM,ENGAGE,2C,High-CDR,292.3924604562748,30.063941734747477,36.73971329201954,63.50281286287416,7.087103890756671,429.78603223667267
AIM/CGE V2.2,ENGAGE-NPi2020-1800f,AIM,ENGAGE,2C,High-CDR,292.3924604562748,30.063941734747477,36.73971329201954,63.50281286287416,7.087103890756671,429.78603223667267
AIM/CGE V2.2,ENGAGE-NPi2020-600f,AIM,ENGAGE,1.5C,High-CDR,378.25090528620086,39.59405404091397,77.91093573475926,42.930285616460665,8.709876332397402,547.3960570107322
AIM/CGE V2.2,ENGAGE-NPi2020-700,AIM,ENGAGE,2C,High-RE,384.46098062886,40.11300981273469,67.79866257512872,35.42907903315468,8.805177124967933,536.606909174846
AIM/CGE V2.2,ENGAGE-NPi2020-800,AIM,ENGAGE,2C,High-RE,376.5526007030934,39.763266289046676,65.20958977956445,37.578803960942984,8.647523767259987,527.7517844999076
AIM/CGE V2.2,ENGAGE-NPi2020-800f,AIM,ENGAGE,2C,High-CDR,352.8411651249087,35.88493552625729,71.2137868328453,51.662137414852126,8.256750653284726,519.8587755521481
AIM/CGE V2.2,ENGAGE-NPi2020-900,AIM,ENGAGE,2C,High-CDR,359.1436941110887,38.109350042448185,60.45023462831892,43.387618509018075,8.272540345041028,509.3634376359148
AIM/CGE V2.2,ENGAGE-NPi2020-900f,AIM,ENGAGE,2C,High-CDR,349.0215666408154,35.22920822493096,67.43203156626475,53.28288540758937,8.178263873553394,513.143955713154
COFFEE 1.1,ENGAGE-INDCi2030-500,COFFEE,ENGAGE,2C,High-RE,183.8305127831772,15.93821015995496,4.567312808792412,10.702092555961213,1.2625760892054723,216.30070439709127
COFFEE 1.1,ENGAGE-INDCi2030-600,COFFEE,ENGAGE,2C,High-RE,175.51944587334575,14.431361002361,6.532110462128528,10.759483336586849,1.1426910989570334,208.38509177337914
COFFEE 1.1,ENGAGE-INDCi2030-600-NDCp,COFFEE,ENGAGE,2C,High-RE,178.4388842857897,14.579226731408905,5.958969716596832,10.939934582161342,1.1213657160582513,211.03838103201505
COFFEE 1.1,ENGAGE-INDCi2030-700,COFFEE,ENGAGE,2C,High-RE,170.41149409175742,14.201587401846762,6.5722688524295965,11.378181217065874,1.085422617881795,203.6489541809814
COFFEE 1.1,ENGAGE-NPi2020-400-lowBECCS,COFFEE,ENGAGE,2C,High-RE,205.0939972504343,16.08494155617648,0.7040951889687633,14.682245546909574,1.0172914720637942,237.5825710145529
COFFEE 1.1,ENGAGE-NPi2020-400f-lowBECCS,COFFEE,ENGAGE,2C,High-RE,216.56563878375582,22.22034594046802,1.895270728450182,12.530034073002211,0.9406195904039293,254.15190911608016
COFFEE 1.1,ENGAGE-NPi2020-500,COFFEE,ENGAGE,2C,High-RE,176.20357298488898,13.736594195955993,5.89179204930744,10.903783587678655,1.0943749063979291,207.83011772422898
COFFEE 1.1,ENGAGE-NPi2020-600,COFFEE,ENGAGE,2C,High-RE,170.00356258849948,13.276261309632623,5.813461739813231,11.230221560649474,1.0508668400682177,201.37437403866303
GCAM 6.0 NGFS,NGFS Phase 5-Below 2°C,GCAM,NGFS Phase 5,2C,High-RE,571.4305110359173,9.704941155368635,22.125519126498585,13.292902371869282,9.316830258786428,625.8707039484402
GCAM 6.0 NGFS,NGFS Phase 5-Delayed Transition,GCAM,NGFS Phase 5,2C,High-RE,565.8720496672985,9.616444118444118,19.208687992885338,15.878642895843543,9.192604130990459,619.7684288054618
GCAM 6.0 NGFS,NGFS Phase 5-Fragmented World,GCAM,NGFS Phase 5,2C,High-RE,427.0256811266256,6.160306862088349,18.116936164804795,28.10370558765624,8.49420261994211,487.9008323611171
GCAM 6.0 NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),GCAM,NGFS Phase 5,2C,High-RE,428.16791411299647,5.27619439453616,12.274500525744035,35.17395343698529,8.658488920161735,489.5510513904237
GCAM 6.0 NGFS,NGFS Phase 5-Net-Zero 2050,GCAM,NGFS Phase 5,1.5C,High-RE,587.0797161466847,11.022500279935862,21.229139627648113,10.164985188513768,9.231580982060585,638.7279222248432
GCAM 7.0,IAM-COMPACT-Current-Policies-Emissions-Intensity,GCAM,IAM,2C,High-CDR,217.84401984108874,20.88409354985977,21.387103017401635,54.2077439279238,7.961172123349335,322.28413245962327
GCAM 7.0,IAM-COMPACT-NDC-Emissions-Intensity,GCAM,IAM,2C,High-CDR,231.777599142177,26.023389769626146,29.189441906960326,44.30029292175957,8.09262326832654,339.3833470088495
GCAM 7.0,IAM-COMPACT-NDC-Long-Term-Pledges,GCAM,IAM,2C,High-CDR,251.26447093848145,34.58219849675734,42.47001448699298,31.676321097996954,8.578533348634034,368.5715383688628
IMAGE 3.0,COMMIT-2°C-2020,IMAGE,COMMIT,2C,High-CDR,NA,NA,NA,NA,NA,NA
IMAGE 3.0,COMMIT-2°C-2030,IMAGE,COMMIT,2C,High-CDR,NA,NA,NA,NA,NA,NA
