Model,Scenario,Region,Category,jobs_Bioenergy,jobs_Fossil,jobs_Nuclear,jobs_Renewables,jobs_Decommission,gross_plant_jobs_displaced,gross_upstream_jobs_displaced,inferred_retirements_GW,absolute_balance_residual_GW,unexplained_additions_GW,jobs_EnergyTotal_no_decommission,jobs_EnergyTotal,jobs_RE_minus_fossil
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10AFRICA,C3,1873.7617106,2121.038079354847,317.9836281,195681.0754803093,165.88675590930112,31.483824643698,15.065488359960002,136.4827,0,0,199993.85889836412,200159.74565427343,193560.03740095443
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10CHINA+,C3,63863.701495814,238583.8630718739,8689.1676821,417555.1306966,3134.7742858978286,1904.9257480917088,1359.0320164156424,1641.0809,0,0,728691.862946388,731826.6372322858,178971.2676247261
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10EUROPE,C3,60656.52890974,13758.638446386965,8194.497130736405,59754.02856722794,453.75843668598725,157.0635021021934,203.9906016803641,504.9541000000004,0,0,142363.6930540913,142817.45149077728,45995.39012084098
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10INDIA+,C3,18488.299228217,21637.24578250629,5443.484703,603755.91524394,620.1387004957519,192.1595817026827,186.3569319516967,334.35619999999994,0,0,649324.9449576633,649945.083658159,582118.6694614337
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10LATIN_AM,C3,65575.168370848,5786.1708426658915,1281.5018414048943,81946.79645098865,435.5400482813826,108.37893375018369,38.583876358615086,191.05209999999997,0,0,154589.63750590745,155025.17755418882,76160.62560832276
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10MIDDLE_EAST,C3,13668.203683008,12639.010916246496,44.510982284261075,221915.28088320186,399.8710091759315,218.39096516883816,12.334800936787486,394.69100000000003,0,0,248267.00646474064,248666.87747391657,209276.26996695535
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10NORTH_AM,C3,53263.08220692,7640.573018705923,21352.74441029042,59265.25146880276,538.2127695863821,123.57787554094872,19.8939495137832,722.7546999999998,0,0,141521.6511047191,142059.86387430548,51624.678450096835
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10PAC_OECD,C3,3437.7443379600004,4294.119116094498,2363.8598613503523,26215.627705987292,207.46937403402598,43.88047651924909,55.5223741713499,217.6439,0,0,36311.35102139214,36518.82039542616,21921.508589892794
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REF_ECON,C3,96030.76871784,65931.84597153177,55410.205504533915,289187.75947058713,1933.4286863032496,493.6248314108195,501.8595259162182,496.6248999999999,0,0,506560.5796644928,508494.00835079607,223255.91349905537
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,R10REST_ASIA,C3,47716.72173670401,23270.80038616731,35639.70140058742,241490.87109617912,756.9245951037461,108.24025493720863,287.135418205717,260.7065999999999,0,0,348118.0946196379,348875.01921474165,218220.07071001182
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10AFRICA,C3,1315.55130605,2300.7516478220705,297.2380422,135310.9707773547,173.92701600573395,39.1691773618607,15.363520640739,160.7693,0,0,139224.51177342678,139398.43878943252,133010.21912953263
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10CHINA+,C3,54223.014349843994,211963.57224232465,7267.324018100001,377001.58815759997,4056.4742805360765,2505.7132001382924,1441.1015691452394,2948.4749000000006,0,0,650455.4987678686,654511.9730484047,165038.01591527532
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10EUROPE,C3,60592.1557631,14066.191844075744,7935.690377004246,51412.272246547276,675.5203386052046,255.96597587155756,216.64035795410382,1026.9378000000004,0,0,134006.31023072728,134681.8305693325,37346.08040247153
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10INDIA+,C3,17259.936597963,24165.71298210119,5072.88559,429198.7316245964,758.9083494371282,297.9912379949899,207.3485150726008,509.36130000000014,0,0,475697.2667946606,476456.1751440977,405033.0186424952
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10LATIN_AM,C3,52459.483521552,6138.581427420679,1085.7322754970915,67230.36049493472,458.428665057541,113.79367210958343,43.55617372364463,201.5101,0,0,126914.1577194045,127372.58638446203,61091.77906751404
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10MIDDLE_EAST,C3,9243.422973848,15245.699962794883,44.510982284261075,162410.2383083663,441.5142871850539,253.79367762204495,19.435634542572036,440.21970000000005,0,0,186943.87222729344,187385.38651447848,147164.53834557143
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10NORTH_AM,C3,66669.97102872,7702.90847646932,21173.35150040567,59760.35611731164,626.7382129103298,195.34088351925936,20.4355414684529,872.5091000000002,0,0,155306.5871229066,155933.32533581695,52057.44764084232
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10PAC_OECD,C3,3704.4633613700003,4371.786094728232,2111.3438314815794,22804.256741177036,256.055400337713,65.2075661625505,56.72127999798525,341.67339999999996,0,0,32991.850028756846,33247.90542909456,18432.470646448804
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10REF_ECON,C3,72637.04907048,66476.58016768082,49818.67446676428,206903.61582265768,2996.608339881526,880.2443701492703,500.9257225961628,1013.9286999999996,0,0,395835.91952758277,398832.5278674643,140427.03565497685
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional,R10REST_ASIA,C3,42233.516402464,25349.313437323763,31595.49053433179,197584.65592194983,900.3439765885205,149.73421125840366,321.3367558032278,364.10420000000016,0,0,296762.9762960694,297663.3202726579,172235.34248462608
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10AFRICA,C3,1560.40504168,2142.978034204944,330.5818008,193785.13782427812,163.2952433817998,33.589307065319495,14.340350637015002,142.1917,0,0,197819.10270096306,197982.39794434488,191642.15979007317
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10CHINA+,C3,82475.773541006,223626.00138415114,9297.593514010001,454325.4099176,3298.5551354208555,2053.818899575514,1363.542228329436,1987.7446,0,0,769724.7783567671,773023.333492188,230699.40853344885
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10EUROPE,C3,71860.0299233,13699.889936526251,9345.747179824277,66357.94108285445,474.45703549158776,155.18595542763157,216.123917817185,513.0825999999998,0,0,161263.60812250496,161738.06515799655,52658.0511463282
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10INDIA+,C3,19361.300505509,23379.78059901293,5140.757121,621358.2209810375,632.69529010459,192.0717163815692,194.15901914028817,346.22749999999996,0,0,669240.0592065594,669872.754496664,597978.4403820245
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10LATIN_AM,C3,59638.808263048,5967.8336045339365,1234.8877116707326,80747.63616403929,432.3689972028859,106.16870633259377,41.132640013703835,187.243,0,0,147589.16574329193,148021.53474049483,74779.80255950535
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10MIDDLE_EAST,C3,8828.801100952,15059.751966242187,44.510982284261075,221516.7077782801,436.19387072830943,242.9858441521715,20.962620788762486,427.5276,0,0,245449.77182775855,245885.96569848686,206456.95581203792
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10NORTH_AM,C3,73166.31911631,7390.976404280239,24005.935254047974,70381.62225737359,540.5295999689965,121.58718622221151,19.9749203406465,762.0956999999997,0,0,174944.85303201177,175485.38263198076,62990.645853093345
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10PAC_OECD,C3,4242.65369832,4153.821901850281,2465.415682008375,29653.807620987292,213.07837975612983,45.4755620688549,55.65090985155895,234.1379,0,0,40515.69890316595,40728.77728292208,25499.98571913701
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10REF_ECON,C3,79732.18265064,71207.9504490179,55311.95745521144,283712.02955502935,2190.506350585398,573.3305790208746,500.53823223956215,615.805,0,0,489964.12010989874,492154.6264604841,212504.07910601146
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional,R10REST_ASIA,C3,46883.541227128,23500.191267744798,36722.67725549777,253589.144032674,788.9135943704706,112.14961846552146,295.86659327092525,282.32550000000003,0,0,360695.55378304457,361484.46737741504,230088.9527649292
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology,R10AFRICA,C3,494.53089894000004,2113.5279691933347,340.4533314,228243.95879345678,167.89169078538814,34.672240517174004,15.306049481480002,144.2485,0,0,231192.4709929901,231360.3626837755,226130.43082426346
