database,ambition_view,Region,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
Full,All ambitions,Aggregated R10 regions,5,4,4.051773342618527,2.191942190754993,4.51673113058441,2.068906580467545,4,1,3,1
Full,All ambitions,R10AFRICA,5,4,0.6930840257830532,-0.26730395481729846,1.1496301797872392,0.6866502015687006,2,3,2,2
Full,All ambitions,R10CHINA+,5,4,2.4369082695360893,4.358592189334053,1.9564872895865983,2.7606753431910276,4,1,3,1
Full,All ambitions,R10EUROPE,5,4,9.060975619661436,5.069663313523944,7.010166420295513,4.43973452570781,5,0,4,0
Full,All ambitions,R10INDIA+,5,4,6.677865328236015,3.2813786228211415,8.71766487129976,3.9857101101552646,3,2,3,1
Full,All ambitions,R10LATIN_AM,5,4,1.9920285846100878,1.21717681818653,2.1423190737698508,0.948872641928476,4,1,3,1
Full,All ambitions,R10MIDDLE_EAST,5,4,2.7428545643824775,3.0602293483050333,2.322935945638829,2.128787113500465,5,0,4,0
Full,All ambitions,R10NORTH_AM,5,4,8.034743586370965,2.698844473384578,5.532505010525561,2.27135430961745,4,1,3,1
Full,All ambitions,R10PAC_OECD,5,4,1.824007569496256,1.1926035661702208,1.791643815758082,0.7251078922019467,5,0,4,0
Full,All ambitions,R10REF_ECON,5,4,2.478668355328219,1.1819701965714131,1.869619611721428,0.9680740077939511,4,1,3,1
Full,All ambitions,R10REST_ASIA,5,4,3.367992153892607,0.660307462992552,5.469772382189542,1.275917332641471,3,2,3,1
Full,1.5C,Aggregated R10 regions,1,1,1.457792499188579,1.457792499188579,1.457792499188579,1.457792499188579,1,0,1,0
Full,1.5C,R10AFRICA,1,1,2.626589279487315,2.626589279487315,2.626589279487315,2.626589279487315,1,0,1,0
Full,1.5C,R10CHINA+,1,1,-6.57347126230087,-6.57347126230087,-6.57347126230087,-6.57347126230087,0,1,0,1
Full,1.5C,R10EUROPE,1,1,-7.456682545821162,-7.456682545821162,-7.456682545821162,-7.456682545821162,0,1,0,1
Full,1.5C,R10INDIA+,1,1,2.321362032817032,2.321362032817032,2.321362032817032,2.321362032817032,1,0,1,0
Full,1.5C,R10LATIN_AM,1,1,-4.601886757065959,-4.601886757065959,-4.601886757065959,-4.601886757065959,0,1,0,1
Full,1.5C,R10MIDDLE_EAST,1,1,9.198244211149076,9.198244211149076,9.198244211149076,9.198244211149076,1,0,1,0
Full,1.5C,R10NORTH_AM,1,1,-11.45406598558397,-11.45406598558397,-11.45406598558397,-11.45406598558397,0,1,0,1
Full,1.5C,R10PAC_OECD,1,1,2.6535074352475703,2.6535074352475703,2.6535074352475703,2.6535074352475703,1,0,1,0
Full,1.5C,R10REF_ECON,1,1,-1.4665938874137852,-1.4665938874137852,-1.4665938874137852,-1.4665938874137852,0,1,0,1
Full,1.5C,R10REST_ASIA,1,1,4.9452237946930175,4.9452237946930175,4.9452237946930175,4.9452237946930175,1,0,1,0
Full,2C,Aggregated R10 regions,5,3,4.201414532981648,3.7385017054392846,5.71333601398973,3.7385017054392846,4,1,3,0
Full,2C,R10AFRICA,5,3,0.2441120041633026,-0.15630413088635897,0.9324282971073663,1.8524273251565753,2,3,2,1
Full,2C,R10CHINA+,5,3,2.974768633050971,2.25633908909809,3.1833770854713617,2.25633908909809,4,1,3,0
Full,2C,R10EUROPE,5,3,8.498775901489271,5.472948381356661,7.700900563525767,5.472948381356661,5,0,3,0
Full,2C,R10INDIA+,5,3,7.963515406056784,4.5496055758459635,11.354505201058647,7.2929092262791055,5,0,3,0
Full,2C,R10LATIN_AM,5,3,1.67371946165278,1.1939450773431504,1.96139248666841,0.6908674825268694,4,1,2,1
Full,2C,R10MIDDLE_EAST,5,3,3.113347732195302,3.137191256411808,2.608343953522826,3.137191256411808,5,0,3,0
Full,2C,R10NORTH_AM,5,3,8.106526363566331,2.877105272194301,6.5480268287883465,2.877105272194301,5,0,3,0
Full,2C,R10PAC_OECD,5,3,2.425538121208754,2.7051549853494272,2.8657622711375508,2.7051549853494272,5,0,3,0
Full,2C,R10REF_ECON,5,3,2.3297916292946366,1.3744231089402958,1.5851201208861159,1.2246072880701029,4,1,2,1
Full,2C,R10REST_ASIA,5,3,2.7521048930206047,1.9187662574172342,6.057866904510021,2.5588662395206367,4,1,3,0
SCI-vetted,All ambitions,Aggregated R10 regions,1,1,4.8277681047176335,4.8277681047176335,4.8277681047176335,4.8277681047176335,1,0,1,0
SCI-vetted,All ambitions,R10AFRICA,1,1,-1.1331005902336915,-1.1331005902336915,-1.1331005902336915,-1.1331005902336915,0,1,0,1
SCI-vetted,All ambitions,R10CHINA+,1,1,7.4425605861238235,7.4425605861238235,7.4425605861238235,7.4425605861238235,1,0,1,0
SCI-vetted,All ambitions,R10EUROPE,1,1,9.796535016644045,9.796535016644045,9.796535016644045,9.796535016644045,1,0,1,0
SCI-vetted,All ambitions,R10INDIA+,1,1,7.466329240252022,7.466329240252022,7.466329240252022,7.466329240252022,1,0,1,0
SCI-vetted,All ambitions,R10LATIN_AM,1,1,-2.2632620804837456,-2.2632620804837456,-2.2632620804837456,-2.2632620804837456,0,1,0,1
SCI-vetted,All ambitions,R10MIDDLE_EAST,1,1,6.079821319212387,6.079821319212387,6.079821319212387,6.079821319212387,1,0,1,0
SCI-vetted,All ambitions,R10NORTH_AM,1,1,7.49765518556996,7.49765518556996,7.49765518556996,7.49765518556996,1,0,1,0
SCI-vetted,All ambitions,R10PAC_OECD,1,1,3.882973935369179,3.882973935369179,3.882973935369179,3.882973935369179,1,0,1,0
SCI-vetted,All ambitions,R10REF_ECON,1,1,4.610160908446447,4.610160908446447,4.610160908446447,4.610160908446447,1,0,1,0
SCI-vetted,All ambitions,R10REST_ASIA,1,1,-4.053638776157974,-4.053638776157974,-4.053638776157974,-4.053638776157974,0,1,0,1
SCI-vetted,1.5C,Aggregated R10 regions,1,0,10.532177248829816,10.532177248829816,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10AFRICA,1,0,8.837866315710412,8.837866315710412,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10CHINA+,1,0,5.466522040839505,5.466522040839505,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10EUROPE,1,0,2.984206491753051,2.984206491753051,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10INDIA+,1,0,19.808675439529086,19.808675439529086,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10LATIN_AM,1,0,0.6206200034042235,0.6206200034042235,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10MIDDLE_EAST,1,0,1.0047274443412593,1.0047274443412593,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10NORTH_AM,1,0,1.632701969749398,1.632701969749398,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10PAC_OECD,1,0,2.164647595637528,2.164647595637528,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REF_ECON,1,0,1.16524567570212,1.16524567570212,NA,NA,1,0,0,0
SCI-vetted,1.5C,R10REST_ASIA,1,0,14.78357810433006,14.78357810433006,NA,NA,1,0,0,0
SCI-vetted,2C,Aggregated R10 regions,1,1,4.233988406243592,4.233988406243592,4.233988406243592,4.233988406243592,1,0,1,0
SCI-vetted,2C,R10AFRICA,1,1,-1.8158443382879506,-1.8158443382879506,-1.8158443382879506,-1.8158443382879506,0,1,0,1
SCI-vetted,2C,R10CHINA+,1,1,7.670440354686243,7.670440354686243,7.670440354686243,7.670440354686243,1,0,1,0
SCI-vetted,2C,R10EUROPE,1,1,10.626088435668063,10.626088435668063,10.626088435668063,10.626088435668063,1,0,1,0
