database,ambition_view,Region,excluded_family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,direction_coded_difference_million_deaths,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip
Full,All ambitions,Aggregated R10 regions,AIM,225,222,446.6981,428.36181750000003,18.33628249999998,4.104849002044106,High-RE,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,GCAM,243,221,437.579795,427.54933,10.030464999999992,2.2922596323260294,High-RE,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,IMAGE,187,224,430.64255000000003,427.60837,3.034180000000049,0.7045704146048849,High-RE,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,MESSAGEix,151,202,431.31202,426.6242925,4.687727499999994,1.086852970153717,High-RE,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,POLES,186,226,460.0918725,427.66765250000003,32.42421999999999,7.047335964405672,High-RE,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,REMIND,246,42,438.181675,440.109915,-1.9282400000000166,-0.4400549155781142,High-CDR,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,WITCH,238,219,439.52067,428.290165,11.230504999999994,2.555171068518801,High-RE,2.399466499825661,High-RE,FALSE
Full,All ambitions,R10AFRICA,AIM,225,222,76.20122,78.61378,-2.412559999999999,-3.166038548989109,High-CDR,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,GCAM,243,221,76.345135,78.61378,-2.2686450000000065,-2.9715645928191843,High-CDR,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,IMAGE,187,224,75.98299,78.61738,-2.6343899999999962,-3.467078618517113,High-CDR,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,MESSAGEix,151,202,75.358225,78.63811,-3.279884999999993,-4.35239152726858,High-CDR,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,POLES,186,226,77.14168,78.616455,-1.4747750000000082,-1.9117745426337724,High-CDR,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,REMIND,246,42,76.35986249999999,75.72533,0.6345324999999917,0.8309764832276797,High-RE,-2.9552076524496242,High-CDR,TRUE
Full,All ambitions,R10AFRICA,WITCH,238,219,76.43108000000001,78.62826,-2.197179999999989,-2.874720597955686,High-CDR,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10CHINA+,AIM,225,222,79.344325,78.81377,0.5305549999999926,0.6686741616366294,High-RE,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,GCAM,243,221,79.535885,78.72665,0.8092349999999868,1.017446401709099,High-RE,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,IMAGE,187,224,77.91825,78.778035,-0.8597850000000022,-1.1034449567335025,High-CDR,0.9621268311501312,High-RE,TRUE
Full,All ambitions,R10CHINA+,MESSAGEix,151,202,83.739655,79.34456,4.395094999999998,5.248522936952628,High-RE,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,POLES,186,226,81.28158250000001,78.81377,2.467812500000008,3.036127526183447,High-RE,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,REMIND,246,42,79.579425,77.2574075,2.322017500000001,2.917861620638753,High-RE,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10CHINA+,WITCH,238,219,79.39526000000001,78.71372,0.6815400000000125,0.8584139657707682,High-RE,0.9621268311501312,High-RE,FALSE
Full,All ambitions,R10EUROPE,AIM,225,222,15.07653,11.2326625,3.8438675,25.495704250248565,High-RE,26.38861724213735,High-RE,FALSE
Full,All ambitions,R10EUROPE,GCAM,243,221,15.250595,11.23241,4.018185000000001,26.347726105112624,High-RE,26.38861724213735,High-RE,FALSE
