database,Region,amb,family,Model,project,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,comparable,robust,direction_coded_difference_million_deaths,relative_effect_pct,favours,matched_unit
Full,Aggregated R10 regions,1.5C,AIM,AIM/CGE V2.2,ENGAGE,1,0,414.809565,NA,FALSE,FALSE,NA,NA,NA,AIM/CGE V2.2 | ENGAGE | 1.5C
Full,Aggregated R10 regions,1.5C,GCAM,GCAM 6.0 NGFS,NGFS Phase 5,0,1,NA,443.68606,FALSE,FALSE,NA,NA,NA,GCAM 6.0 NGFS | NGFS Phase 5 | 1.5C
Full,Aggregated R10 regions,1.5C,IMAGE,IMAGE 3.2,SSP2021,12,0,485.09257,NA,FALSE,FALSE,NA,NA,NA,IMAGE 3.2 | SSP2021 | 1.5C
Full,Aggregated R10 regions,1.5C,IMAGE,IMAGE 3.3,GEO7,2,0,452.1357575,NA,FALSE,FALSE,NA,NA,NA,IMAGE 3.3 | GEO7 | 1.5C
Full,Aggregated R10 regions,1.5C,IMAGE,IMAGE 3.3,SHAPE,9,0,471.418065,NA,FALSE,FALSE,NA,NA,NA,IMAGE 3.3 | SHAPE | 1.5C
Full,Aggregated R10 regions,1.5C,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,11,0,420.491735,NA,FALSE,FALSE,NA,NA,NA,MESSAGEix-GLOBIOM 1.1 | ENGAGE | 1.5C
Full,Aggregated R10 regions,1.5C,MESSAGEix,MESSAGEix-GLOBIOM 1.1,NGFS Phase 2,1,0,423.65872,NA,FALSE,FALSE,NA,NA,NA,MESSAGEix-GLOBIOM 1.1 | NGFS Phase 2 | 1.5C
Full,Aggregated R10 regions,1.5C,MESSAGEix,MESSAGEix-GLOBIOM 1.2,COVID,5,0,418.628815,NA,FALSE,FALSE,NA,NA,NA,MESSAGEix-GLOBIOM 1.2 | COVID | 1.5C
Full,Aggregated R10 regions,1.5C,MESSAGEix,MESSAGEix-GLOBIOM GEI 1.0,GEI,6,3,433.74289999999996,414.700365,TRUE,TRUE,19.042534999999987,4.3902816622473795,High-RE,MESSAGEix-GLOBIOM GEI 1.0 | GEI | 1.5C
Full,Aggregated R10 regions,1.5C,POLES,POLES-JRC ENGAGE,ENGAGE,4,0,390.3081075,NA,FALSE,FALSE,NA,NA,NA,POLES-JRC ENGAGE | ENGAGE | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND 2.1,R2p1,0,2,NA,410.176655,FALSE,FALSE,NA,NA,NA,REMIND 2.1 | R2p1 | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-Buildings 2.0,BEG,0,2,NA,417.03394000000003,FALSE,FALSE,NA,NA,NA,REMIND-Buildings 2.0 | BEG | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 1.7-3.0,CD,0,4,NA,441.78067,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 1.7-3.0 | CD | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 1.7-3.0,COMMIT,0,3,NA,440.058145,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 1.7-3.0 | COMMIT | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 1.7-3.0,PEP,0,13,NA,430.661875,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 1.7-3.0 | PEP | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,0,19,NA,416.117865,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 2.1-4.2 | ENGAGE | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 2.1-4.2,SusDev,0,2,NA,405.18654749999996,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 2.1-4.2 | SusDev | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 2.1-4.3,DeepElectrification,0,1,NA,400.847605,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 2.1-4.3 | DeepElectrification | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE,0,3,NA,410.709315,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 3.2.0-4.8.0 | RESCUE | 1.5C
Full,Aggregated R10 regions,1.5C,REMIND,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5,0,1,NA,412.991225,FALSE,FALSE,NA,NA,NA,REMIND-MAgPIE 3.3-4.8 | NGFS Phase 5 | 1.5C
Full,Aggregated R10 regions,1.5C,WITCH,WITCH 5.0,ENGAGE,6,0,421.55897000000004,NA,FALSE,FALSE,NA,NA,NA,WITCH 5.0 | ENGAGE | 1.5C
Full,Aggregated R10 regions,2C,AIM,AIM/CGE V2.2,ENGAGE,20,4,430.9599075,420.8447675,TRUE,TRUE,10.115139999999997,2.34711856577981,High-RE,AIM/CGE V2.2 | ENGAGE | 2C
Full,Aggregated R10 regions,2C,GCAM,GCAM 6.0 NGFS,NGFS Phase 5,0,4,NA,483.73089000000004,FALSE,FALSE,NA,NA,NA,GCAM 6.0 NGFS | NGFS Phase 5 | 2C
Full,Aggregated R10 regions,2C,GCAM,GCAM 7.0,IAM,3,0,543.8502,NA,FALSE,FALSE,NA,NA,NA,GCAM 7.0 | IAM | 2C
Full,Aggregated R10 regions,2C,IMAGE,IMAGE 3.0,ENGAGE,20,0,518.17866,NA,FALSE,FALSE,NA,NA,NA,IMAGE 3.0 | ENGAGE | 2C
Full,Aggregated R10 regions,2C,IMAGE,IMAGE 3.2,SSP2021,8,2,512.43273,495.8393575,TRUE,FALSE,16.593372499999987,3.23815625516348,High-RE,IMAGE 3.2 | SSP2021 | 2C
Full,Aggregated R10 regions,2C,IMAGE,IMAGE 3.3,NAVIGATE,8,0,504.2917175,NA,FALSE,FALSE,NA,NA,NA,IMAGE 3.3 | NAVIGATE | 2C
Full,Aggregated R10 regions,2C,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,60,17,460.0918725,442.89133,TRUE,TRUE,17.20054250000004,3.7385017054392846,High-RE,MESSAGEix-GLOBIOM 1.1 | ENGAGE | 2C
Full,Aggregated R10 regions,2C,MESSAGEix,MESSAGEix-GLOBIOM 1.1,NGFS Phase 2,1,1,438.69743,443.28804,TRUE,FALSE,-4.5906100000000265,-1.0464182568837994,High-CDR,MESSAGEix-GLOBIOM 1.1 | NGFS Phase 2 | 2C
Full,Aggregated R10 regions,2C,MESSAGEix,MESSAGEix-GLOBIOM 1.2,COVID,5,0,433.856535,NA,FALSE,FALSE,NA,NA,NA,MESSAGEix-GLOBIOM 1.2 | COVID | 2C
