database,ambition_view,Region,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support
Full,All ambitions,Aggregated R10 regions,7,3,2.9141457255704397,3.23815625516348,3.4919673111554914,3.7385017054392846,5,2,3,0,103,29
Full,All ambitions,R10AFRICA,7,3,1.3769601559818714,1.835842769874755,0.8135544468644348,1.835842769874755,4,3,2,1,103,29
Full,All ambitions,R10CHINA+,7,3,2.3118967027441095,2.839110775539702,4.046714521215095,4.50357072054416,5,2,3,0,103,29
Full,All ambitions,R10EUROPE,7,3,4.857551374438703,4.208433240546965,5.430531480854329,5.472948381356661,6,1,3,0,103,29
Full,All ambitions,R10INDIA+,7,3,4.132401256685305,3.2813786228211415,5.4713220184804126,5.909066607801009,5,2,3,0,103,29
Full,All ambitions,R10LATIN_AM,7,3,1.3042120271558486,1.1939450773431504,0.8182066992037267,0.6908674825268694,6,1,3,0,103,29
Full,All ambitions,R10MIDDLE_EAST,7,3,3.2145777171564403,3.137191256411808,3.5807410359876184,3.137191256411808,7,0,3,0,103,29
Full,All ambitions,R10NORTH_AM,7,3,0.92042646559899155,2.877105272194301,2.190366950545754,2.877105272194301,6,1,3,0,103,29
Full,All ambitions,R10PAC_OECD,7,3,3.6359032188867273,1.7763903039671851,3.7183128625502353,2.826431947816985,6,1,3,0,103,29
Full,All ambitions,R10REF_ECON,7,3,1.0244284477807029,1.0562667040771245,0.89847612918021,1.2246072880701029,5,2,2,1,103,29
Full,All ambitions,R10REST_ASIA,7,3,2.192599616677326,2.84180696552272,2.751088601350406,2.84180696552272,5,2,3,0,103,29
Full,1.5C,Aggregated R10 regions,1,1,4.3902816622473795,4.3902816622473795,4.3902816622473795,4.3902816622473795,1,0,1,0,6,3
Full,1.5C,R10AFRICA,1,1,1.835842769874755,1.835842769874755,1.835842769874755,1.835842769874755,1,0,1,0,6,3
Full,1.5C,R10CHINA+,1,1,4.50357072054416,4.50357072054416,4.50357072054416,4.50357072054416,1,0,1,0,6,3
Full,1.5C,R10EUROPE,1,1,6.6102128206593616,6.6102128206593616,6.6102128206593616,6.6102128206593616,1,0,1,0,6,3
Full,1.5C,R10INDIA+,1,1,5.909066607801009,5.909066607801009,5.909066607801009,5.909066607801009,1,0,1,0,6,3
Full,1.5C,R10LATIN_AM,1,1,1.4867595523400445,1.4867595523400445,1.4867595523400445,1.4867595523400445,1,0,1,0,6,3
