database,Model,Scenario,Pathway,amb,family,project,Region,mortality_million_deaths
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,Aggregated R10 regions,430.64255000000003
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10AFRICA,79.651575
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10CHINA+,81.467685
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10EUROPE,16.44384
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10INDIA+,95.249525
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10LATIN_AM,19.522305
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10MIDDLE_EAST,43.41371
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10NORTH_AM,10.930625
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10PAC_OECD,6.372595
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10REF_ECON,15.99073
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10REST_ASIA,61.59996
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,High-CDR,2C,AIM,ENGAGE,Aggregated R10 regions,433.793265
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,High-CDR,2C,AIM,ENGAGE,R10AFRICA,79.605615
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,High-CDR,2C,AIM,ENGAGE,R10CHINA+,82.533755
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,High-CDR,2C,AIM,ENGAGE,R10EUROPE,16.846385
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,High-CDR,2C,AIM,ENGAGE,R10INDIA+,96.12506
