database,ambition_view,Region,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,estimand
Full,All ambitions,Aggregated R10 regions,246,226,438.181675,427.66765250000003,-0.18893445571623857,10.514022499999953,2.399466499825661,0.18893445571623857,High-RE,Scenario-weighted pooled medians
Full,All ambitions,R10AFRICA,246,226,76.35986249999999,78.616455,0.48201309446722784,-2.2565925000000107,-2.9552076524496242,-0.48201309446722784,High-CDR,Scenario-weighted pooled medians
Full,All ambitions,R10CHINA+,246,226,79.579425,78.81377,-0.027843729764731276,0.7656549999999953,0.9621268311501312,0.027843729764731276,High-RE,Scenario-weighted pooled medians
Full,All ambitions,R10EUROPE,246,226,15.261855,11.2344625,-0.7105906899776963,4.027392500000001,26.38861724213735,0.7105906899776963,High-RE,Scenario-weighted pooled medians
Full,All ambitions,R10INDIA+,246,226,117.69358500000001,110.747905,-0.20879199942441903,6.94568000000001,5.901494121366096,0.20879199942441903,High-RE,Scenario-weighted pooled medians
Full,All ambitions,R10LATIN_AM,246,226,14.190545,15.61995,0.26113389452478597,-1.4294049999999991,-10.07293941141795,-0.26113389452478597,High-CDR,Scenario-weighted pooled medians
Full,All ambitions,R10MIDDLE_EAST,246,226,46.95055,46.5460025,0.015576660191380674,0.4045474999999996,0.8616459232106964,-0.015576660191380674,High-RE,Scenario-weighted pooled medians
Full,All ambitions,R10NORTH_AM,246,226,6.90724,8.92639,0.426901215914814,-2.01915,-29.232370671932635,-0.426901215914814,High-CDR,Scenario-weighted pooled medians
Full,All ambitions,R10PAC_OECD,246,226,5.4880075,3.633605,-0.796100438880495,1.8544025,33.79008683934925,0.796100438880495,High-RE,Scenario-weighted pooled medians
Full,All ambitions,R10REF_ECON,246,226,14.1653725,13.2108975,-0.45474494567954526,0.9544750000000004,6.738086132221376,0.45474494567954526,High-RE,Scenario-weighted pooled medians
Full,All ambitions,R10REST_ASIA,246,226,58.97830999999999,57.40043,-0.11533203827613497,1.5778799999999933,2.6753564149260862,0.11533203827613497,High-RE,Scenario-weighted pooled medians
Full,1.5C,Aggregated R10 regions,57,54,425.807625,417.9452725,-0.4437946718648473,7.862352499999986,1.8464564837231334,0.4437946718648473,High-RE,Scenario-weighted pooled medians
Full,1.5C,R10AFRICA,57,54,75.436235,78.456135,0.49057829759584143,-3.019900000000007,-4.00324857145907,-0.49057829759584143,High-CDR,Scenario-weighted pooled medians
