database,ambition_view,Region,family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,comparable,robust,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_relative_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,Aggregated R10 regions,AIM,21,4,430.64255000000003,420.8447675,-0.5952380952380952,TRUE,TRUE,9.79778250000004,2.2751543014038065,0.5952380952380952,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,GCAM,3,5,543.8502,461.47678,-0.8666666666666667,TRUE,TRUE,82.37341999999995,15.146343607118276,0.8666666666666667,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,IMAGE,59,2,506.95144,495.8393575,-0.1694915254237288,TRUE,FALSE,11.112082499999985,2.191942190754993,0.1694915254237288,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,MESSAGEix,95,24,449.98323,441.60157749999996,-0.22631578947368422,TRUE,TRUE,8.38165250000003,1.862658859531283,0.22631578947368422,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,POLES,60,0,401.828605,NA,NA,FALSE,FALSE,NA,NA,NA,NA,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,REMIND,0,184,NA,425.8027075,NA,FALSE,FALSE,NA,NA,NA,NA,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,WITCH,8,7,422.44198,427.58408,0.39285714285714285,TRUE,TRUE,-5.142099999999971,-1.2172322457157243,-0.39285714285714285,High-CDR,2.399466499825661,High-RE,FALSE
Full,All ambitions,R10AFRICA,AIM,21,4,79.651575,80.680865,0.8095238095238095,TRUE,TRUE,-1.0292900000000031,-1.2922406116891012,-0.8095238095238095,High-CDR,-2.9552076524496242,High-CDR,TRUE
Full,All ambitions,R10AFRICA,GCAM,3,5,86.122715,82.232155,-0.6,TRUE,TRUE,3.8905599999999936,4.517460927700657,0.6,High-RE,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,IMAGE,59,2,77.36427,78.24088499999999,0.22033898305084745,TRUE,FALSE,-0.8766149999999868,-1.1331005902336915,-0.22033898305084745,High-CDR,-2.9552076524496242,High-CDR,TRUE
Full,All ambitions,R10AFRICA,MESSAGEix,95,24,76.887215,75.6258,-0.6859649122807018,TRUE,TRUE,1.2614149999999995,1.6406043579546996,0.6859649122807018,High-RE,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,POLES,60,0,72.3121075,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,REMIND,0,184,NA,78.63811,NA,FALSE,FALSE,NA,NA,NA,NA,-2.9552076524496242,High-CDR,FALSE
Full,All ambitions,R10AFRICA,WITCH,8,7,66.8499275,67.02862,0.39285714285714285,TRUE,TRUE,-0.1786924999999968,-0.26730395481729846,-0.39285714285714285,High-CDR,-2.9552076524496242,High-CDR,TRUE
Full,All ambitions,R10CHINA+,AIM,21,4,81.467685,77.63158999999999,-0.6904761904761905,TRUE,TRUE,3.8360950000000145,4.708732057379579,0.6904761904761905,High-RE,0.9621268311501312,High-RE,TRUE
Full,All ambitions,R10CHINA+,GCAM,3,5,98.47866,93.36785,-0.3333333333333333,TRUE,TRUE,5.110810000000001,5.189763954952271,0.3333333333333333,High-RE,0.9621268311501312,High-RE,TRUE
Full,All ambitions,R10CHINA+,IMAGE,59,2,96.10781,91.91886249999999,-0.3559322033898305,TRUE,FALSE,4.188947500000012,4.358592189334053,0.3559322033898305,High-RE,0.9621268311501312,High-RE,TRUE
