"model","scenario","Category","r10_region","year","deaths_pm25","deaths_o3","deaths_total"
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2010,431975,0,431975
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2020,469853,0,469853
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2030,507767,0,507767
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2040,589708,0,589708
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2050,745118,0,745118
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2060,925450,0,925450
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2070,1131261,0,1131261
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2080,1359654,0,1359654
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2090,1609399,0,1609399
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10AFRICA",2100,1881847,0,1881847
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2010,1588024,0,1588024
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2020,1659627,0,1659627
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2030,1567662,0,1567662
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2040,1052384,0,1052384
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2050,906098,0,906098
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2060,876395,0,876395
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2070,810974,0,810974
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2080,786240,0,786240
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2090,743398,0,743398
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10CHINA+",2100,690512,0,690512
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2010,261163,0,261163
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2020,234927,0,234927
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2030,202831,0,202831
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2040,181360,0,181360
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2050,181236,0,181236
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2060,186482,0,186482
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2070,191014,0,191014
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2080,202264,0,202264
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2090,210269,0,210269
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10EUROPE",2100,218260,0,218260
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2010,1214206,0,1214206
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2020,1228980,0,1228980
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2030,1437566,0,1437566
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2040,939796,0,939796
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2050,910657,0,910657
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2060,1033855,0,1033855
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2070,1158092,0,1158092
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2080,1257906,0,1257906
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2090,1325132,0,1325132
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10INDIA+",2100,1364507,0,1364507
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2010,152861,0,152861
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2020,170610,0,170610
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2030,194168,0,194168
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2040,198808,0,198808
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2050,217581,0,217581
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2060,243567,0,243567
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2070,265037,0,265037
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2080,284545,0,284545
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2090,300264,0,300264
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10LATIN_AM",2100,311185,0,311185
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10MIDDLE_EAST",2010,209889,0,209889
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","C3","R10MIDDLE_EAST",2020,258654,0,258654
