Model_display,Scenario_display,Model,Scenario,Pathway,amb,family,project,pollutants_available,n_pollutants_available,n_pm_precursors_available,has_all_raw_pm_precursors,any_world_fallback,has_mortality,was_engineered_target,was_gap80_target,scenario_has_degree_sign,coverage_status
IMAGE 3.0,COMMIT-Bridge,IMAGE 3.0,COMMIT-Bridge,High-CDR,2C,IMAGE,COMMIT,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Engineered target with raw coverage but no output
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-hybrid-def,REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-hybrid-def,High-RE,2C,REMIND,Diff,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Engineered target with raw coverage but no output
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-no-transfer-def,REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-no-transfer-def,High-RE,2C,REMIND,Diff,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Engineered target with raw coverage but no output
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-uniform-pricing-def,REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-uniform-pricing-def,High-RE,2C,REMIND,Diff,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Engineered target with raw coverage but no output
REMIND-MAgPIE 2.0-4.1,Diff-NoPolicy-Baseline,REMIND-MAgPIE 2.0-4.1,Diff-NoPolicy-Baseline,High-RE,2C,REMIND,Diff,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Engineered target with raw coverage but no output
REMIND 2.1,CEMICS-HotellingConst-1.5°C,REMIND 2.1,CEMICS-HotellingConst-1.5<DEG>C,High-RE,1.5C,REMIND,CEMICS,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Gap-80 target with raw coverage but no output
REMIND 3.0,NAVIGATE Demand-2.0°C-act_u,REMIND 3.0,NAVIGATE Demand-2.0<DEG>C-act_u,High-RE,2C,REMIND,NAVIGATE,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Gap-80 target with raw coverage but no output
REMIND 3.0,NAVIGATE Demand-2.0°C-ele_u,REMIND 3.0,NAVIGATE Demand-2.0<DEG>C-ele_u,High-RE,2C,REMIND,NAVIGATE,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Gap-80 target with raw coverage but no output
REMIND 3.0,NAVIGATE Demand-2.0°C-tec_u,REMIND 3.0,NAVIGATE Demand-2.0<DEG>C-tec_u,High-RE,2C,REMIND,NAVIGATE,BC;CH4;CO;NH3;NOx;OC;SO2;VOC,8,5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Gap-80 target with raw coverage but no output
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective,High-RE,2C,AIM,ENGAGE,CH4,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Incomplete raw PM precursor reporting
