approach,Model,Scenario,Ambition,Pathway,cmt_axis,portfolio_rule,Region,n_decades,cumulative_pm25_deaths,cumulative_pm25_deaths_mln
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79651575,79.651575
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,81467685,81.467685
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16443840,16.44384
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,95249525,95.249525
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19522305,19.522305
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43413710,43.41371
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,10930625,10.930625
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6372595,6.372595
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,15990730,15.99073
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,61599960,61.59996
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,430642550,430.64255000000003
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79605615,79.605615
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,82533755,82.533755
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16846385,16.846385
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,96125060,96.12506
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19588800,19.5888
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43591440,43.59144
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11118740,11.11874
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6402945,6.402945
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,16051380,16.05138
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,61929145,61.929145
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,433793265,433.793265
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79281020,79.28102
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,83027815,83.027815
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,16820035,16.820035
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,96676085,96.676085
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19574445,19.574445
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43624150,43.62415
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11077935,11.077935
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6383545,6.383545
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,16076410,16.07641
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,62059530,62.05953
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,434600970,434.60097
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79246905,79.246905
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,83739655,83.739655
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,17113785,17.113785
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,97165490,97.16549
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10LATIN_AM,9,19601460,19.60146
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10MIDDLE_EAST,9,43772390,43.77239
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10NORTH_AM,9,11196620,11.19662
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10PAC_OECD,9,6414710,6.41471
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REF_ECON,9,16176820,16.17682
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10REST_ASIA,9,62276695,62.276695
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,Aggregated R10 regions,9,436704530,436.70453
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10AFRICA,9,79147055,79.147055
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10CHINA+,9,84235730,84.23573
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10EUROPE,9,17125545,17.125545
A,AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,2C,High-CMT,all CDR,top tercile focal / not top tercile opposing,R10INDIA+,9,97619550,97.61955
