database,ambition_view,Region,outcome,outcome_label,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,7,5,12.778355240116449,8.33363868169357,2.538403388629317,-3.6980802498249625,4,3,2,3
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,7,5,13.817795784207014,5.578903061566129,2.4581963008945378,3.424218421716024,5,2,3,2
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,5,4,4.051773342618527,2.191942190754993,4.51673113058441,2.068906580467545,4,1,3,1
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,7,5,32.98818462367965,13.51125614967618,14.652756213427294,9.460157290813564,5,2,3,2
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,7,5,11.97181927454193,7.479967572983338,-1.0429747295465461,-3.8025835768423573,4,3,2,3
Full,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,7,5,12.055381271374733,5.433116937665812,-2.3003304639206696,2.7188013217766094,5,2,3,2
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,5,4,0.6930840257830532,-0.26730395481729846,1.1496301797872392,0.6866502015687006,2,3,2,2
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,7,5,93.187264692028,83.40561649326423,72.76610640781746,0.047644321801847155,5,2,3,2
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,7,5,15.14173574833302,15.90357663543773,8.553046992509458,4.8739334684153395,5,2,3,2
Full,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,7,5,17.625222933209564,24.47154750571335,8.011083108863993,-0.5828307226878381,4,3,2,3
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,5,4,2.4369082695360893,4.358592189334053,1.9564872895865983,2.7606753431910276,4,1,3,1
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,7,5,14.46482755453852,18.777658953179838,-0.16626735868376558,9.036451411426249,5,2,3,2
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,7,5,-6.507363090871822,-12.315763916649773,-23.885602386257833,-29.766219139441908,2,5,0,5
