database,ambition_view,Region,outcome,outcome_label,outcome_unit,lower_is_better,n_cdr,n_re,median_cdr,median_re,cliffs_delta_raw,direction_coded_difference,relative_effect_pct,direction_coded_cliffs_delta,favours
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,290,293,23.404782573715316,17.135523412896454,-0.3183711898317053,6.269259160818862,26.786231152001978,0.3183711898317053,High-RE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,290,293,6.051234196271087,4.463516254086944,-0.30643756619983525,1.5877179421841436,26.237919252282992,0.30643756619983525,High-RE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,438.181675,427.66765250000003,-0.18893445571623857,10.514022499999953,2.399466499825661,0.18893445571623857,High-RE
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,270,301,303.5695088216967,582.0386278172977,0.761338747385259,278.469118995601,91.73158400409754,0.761338747385259,High-RE
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,290,297,67.88610602508567,41.05596526848359,-0.28730988041332867,26.830140756602077,39.52228567460866,0.28730988041332867,High-RE
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,290,297,11.833371176829782,8.377091938707446,-0.2789039823522582,3.4562792381223364,29.207900153507147,0.2789039823522582,High-RE
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,76.35986249999999,78.616455,0.48201309446722784,-2.2565925000000107,-2.9552076524496242,-0.48201309446722784,High-CDR
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,270,305,302.2937558072924,801.6214207349144,0.7275531268973892,499.327664927622,165.17961596465645,0.7275531268973892,High-RE
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,293,297,17.102113627592974,14.369418125102406,-0.4215419266613806,2.732695502490568,15.978700422628284,0.4215419266613806,High-RE
Full,All ambitions,R10CHINA+,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,293,297,5.181088619812362,4.577684529598295,-0.3246687581158571,0.6034040902140676,11.64628004830229,0.3246687581158571,High-RE
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,79.579425,78.81377,-0.027843729764731276,0.7656549999999953,0.9621268311501312,0.027843729764731276,High-RE
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,273,305,283.0225907235266,396.1096431974228,0.37671290458175705,113.08705247389622,39.95689961878924,0.37671290458175705,High-RE
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,293,297,0.39457541273189567,0.20156977429779976,-0.5458107813056619,0.1930056384340959,48.91476564588643,0.5458107813056619,High-RE
Full,All ambitions,R10EUROPE,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,293,297,0.15668203989102808,0.1044874893701785,-0.3745417772721527,0.05219455052084958,33.31240170038043,0.3745417772721527,High-RE
Full,All ambitions,R10EUROPE,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,15.261855,11.2344625,-0.7105906899776963,4.027392500000001,26.38861724213735,0.7105906899776963,High-RE
Full,All ambitions,R10EUROPE,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,273,305,155.73225937097607,164.52668455314722,0.05693868972557497,8.794425182171153,5.647144154777592,0.05693868972557497,High-RE
Full,All ambitions,R10INDIA+,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,290,297,5.940995693218219,2.3712320125138495,-0.6867293625914316,3.5697636807043693,60.08695957782523,0.6867293625914316,High-RE
Full,All ambitions,R10INDIA+,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,290,297,2.338574388803964,1.1763801154449238,-0.6191570881226054,1.1621942733590402,49.696698934320864,0.6191570881226054,High-RE
Full,All ambitions,R10INDIA+,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,117.69358500000001,110.747905,-0.20879199942441903,6.94568000000001,5.901494121366096,0.20879199942441903,High-RE
Full,All ambitions,R10INDIA+,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,270,305,351.57105435232415,859.4870466357505,0.7612871888281725,507.91599228342636,144.47036694164885,0.7612871888281725,High-RE
Full,All ambitions,R10LATIN_AM,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,293,297,73.1233499744436,51.027910520974686,-0.5116810884728974,22.095439453468913,30.216667399936142,0.5116810884728974,High-RE
Full,All ambitions,R10LATIN_AM,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,293,297,14.863265470949848,10.086339463165851,-0.5433745877431885,4.776926007783997,32.13914208234029,0.5433745877431885,High-RE
Full,All ambitions,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,14.190545,15.61995,0.26113389452478597,-1.4294049999999991,-10.07293941141795,-0.26113389452478597,High-CDR
Full,All ambitions,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,273,305,294.171260552668,458.5050040820384,0.5264997297784183,164.3337435293704,55.86328971111314,0.5264997297784183,High-RE
Full,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,290,297,2.689762861526142,5.0818802563235215,0.4064321374666202,-2.3921173947973795,-88.93413724361255,-0.4064321374666202,High-CDR
Full,All ambitions,R10MIDDLE_EAST,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,290,297,1.0610860789246015,1.3165262833293123,0.1589457796354348,-0.2554402044047108,-24.073466750557742,-0.1589457796354348,High-CDR
Full,All ambitions,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,46.95055,46.5460025,0.015576660191380674,0.4045474999999996,0.8616459232106964,-0.015576660191380674,High-RE
Full,All ambitions,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,270,305,402.7951258275623,702.3842548105678,0.7288888888888889,299.5891289830055,74.37754574797422,0.7288888888888889,High-RE
Full,All ambitions,R10NORTH_AM,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,293,297,0.18148248903702993,0.13579834287106515,-0.0034819181576860756,0.04568414616596478,25.17275711192352,0.0034819181576860756,High-RE
Full,All ambitions,R10NORTH_AM,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,293,297,0.05169819706381641,0.04724885837968475,0.02922283127061284,0.004449338684131665,8.60637108609298,-0.02922283127061284,High-RE
Full,All ambitions,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,6.90724,8.92639,0.426901215914814,-2.01915,-29.232370671932635,-0.426901215914814,High-CDR
Full,All ambitions,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",FALSE,273,305,232.63881449596047,301.5673634544589,0.3651834504293521,68.92854895849845,29.628997683744352,0.3651834504293521,High-RE
Full,All ambitions,R10PAC_OECD,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,290,293,0.2789705357997349,0.5453413827062675,0.4815346592915147,-0.2663708469065326,-95.48350550459305,-0.4815346592915147,High-CDR
Full,All ambitions,R10PAC_OECD,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,TRUE,290,293,0.09463262878027937,0.298988733062107,0.5985877368482994,-0.20435610428182763,-215.94676901167696,-0.5985877368482994,High-CDR
Full,All ambitions,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,246,226,5.4880075,3.633605,-0.796100438880495,1.8544025,33.79008683934925,0.796100438880495,High-RE
