database,ambition_view,Region,outcome,outcome_label,outcome_unit,lower_is_better,family,n_cdr,n_re,median_cdr,median_re,cliffs_delta_raw,comparable,robust,direction_coded_difference,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_effect_pct,pooled_favours,agrees_with_pooled
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,AIM,21,14,27.612547751481603,29.527363123924786,0.3945578231292517,TRUE,TRUE,-1.914815372443183,-6.934584195840603,-0.3945578231292517,High-CDR,27.144733280478757,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,COFFEE,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,27.144733280478757,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,GCAM,33,5,11.654065256976905,15.425808626711875,0.9757575757575757,TRUE,TRUE,-3.7717433697349705,-32.36418611502928,-0.9757575757575757,High-CDR,27.144733280478757,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,IMAGE,68,2,18.748874629521723,14.767541780139023,-0.7647058823529411,TRUE,FALSE,3.9813328493826994,21.235049719270865,0.7647058823529411,High-RE,27.144733280478757,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,MESSAGEix,99,27,11.243072069791062,10.306115066772268,0.10736999625888514,TRUE,TRUE,0.9369570030187937,8.33363868169357,-0.10736999625888514,High-RE,27.144733280478757,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,POLES,60,9,21.53884304083433,22.335366741368222,0.2074074074074074,TRUE,TRUE,-0.7965237005338928,-3.6980802498249625,-0.2074074074074074,High-CDR,27.144733280478757,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,REMIND,1,220,24.749976836882926,11.008438242821018,-0.9636363636363636,TRUE,FALSE,13.741538594061907,55.52142001839769,0.9636363636363636,High-RE,27.144733280478757,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,TIAM,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,27.144733280478757,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,TRUE,WITCH,8,16,44.848189675386166,23.610226832016156,-0.96875,TRUE,TRUE,21.23796284337001,47.35522882214786,0.96875,High-RE,27.144733280478757,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,AIM,21,14,11.450190315035506,11.88890781255449,0.32653061224489793,TRUE,TRUE,-0.4387174975189829,-3.831530179397044,-0.32653061224489793,High-CDR,28.299097892924813,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,COFFEE,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,28.299097892924813,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,GCAM,33,5,4.170109135288431,5.995316687728986,0.9515151515151515,TRUE,TRUE,-1.8252075524405544,-43.768819789276606,-0.9515151515151515,High-CDR,28.299097892924813,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,IMAGE,68,2,6.781601442634319,4.957844383363325,-0.8823529411764706,TRUE,FALSE,1.823757059270994,26.892719583983013,0.8823529411764706,High-RE,28.299097892924813,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,MESSAGEix,99,27,4.0461533530149545,3.8204223797279426,0.14104002992891881,TRUE,TRUE,0.22573097328701186,5.578903061566129,-0.14104002992891881,High-RE,28.299097892924813,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,POLES,60,9,7.960205363484815,7.687630545021941,-0.08518518518518518,TRUE,TRUE,0.272574818462874,3.424218421716024,0.08518518518518518,High-RE,28.299097892924813,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,REMIND,1,220,9.434314115587702,4.005727751457897,-0.9636363636363636,TRUE,FALSE,5.428586364129805,57.540869400993394,0.9636363636363636,High-RE,28.299097892924813,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,TIAM,0,0,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,28.299097892924813,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,% of population below the DLE threshold,TRUE,WITCH,8,16,16.869188822506963,8.284760590922922,-0.96875,TRUE,TRUE,8.584428231584042,50.88820998986419,0.96875,High-RE,28.299097892924813,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,AIM,21,4,430.64255000000003,420.8447675,-0.5952380952380952,TRUE,TRUE,9.79778250000004,2.2751543014038065,0.5952380952380952,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,GCAM,3,5,543.8502,461.47678,-0.8666666666666667,TRUE,TRUE,82.37341999999995,15.146343607118276,0.8666666666666667,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,IMAGE,59,2,506.95144,495.8393575,-0.1694915254237288,TRUE,FALSE,11.112082499999985,2.191942190754993,0.1694915254237288,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,MESSAGEix,95,24,449.98323,441.60157749999996,-0.22631578947368422,TRUE,TRUE,8.38165250000003,1.862658859531283,0.22631578947368422,High-RE,2.399466499825661,High-RE,TRUE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,POLES,60,0,401.828605,NA,NA,FALSE,FALSE,NA,NA,NA,NA,2.399466499825661,High-RE,FALSE
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,TRUE,REMIND,0,184,NA,425.8027075,NA,FALSE,FALSE,NA,NA,NA,NA,2.399466499825661,High-RE,FALSE
