database,ambition_view,Region,outcome,outcome_label,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,10,4,2.2234779518813648,-2.5969894179256157,-3.6732765081397414,-6.013983717605747,4,6,1,3,166,51
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,10,4,3.817369121438272,1.5937413925538966,-1.6681436327157897,-2.198461081038416,5,5,1,3,166,51
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,7,3,2.9141457255704397,3.23815625516348,3.4919673111554914,3.7385017054392846,5,2,3,0,103,29
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,10,4,20.845691370172144,10.685746293470597,7.218755503394723,10.42821658606118,8,2,3,1,166,51
Full,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,10,4,1.608296289387734,-1.6432698341433,-2.6511261840328775,-6.7321571097674635,5,5,1,3,166,51
Full,All ambitions,R10AFRICA,headcount_pct,Deprived share,10,4,3.2494259523527917,0.7673708472538577,-1.400627555587421,-3.0969385960172953,5,5,1,3,166,51
Full,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,7,3,1.3769601559818714,1.835842769874755,0.8135544468644348,1.835842769874755,4,3,2,1,103,29
Full,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,10,4,25.22060093696035,-0.8545512130975588,0.11058759196209078,-0.8545512130975588,5,5,2,2,166,51
Full,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,10,4,-0.3949767683720541,-2.4525409055649297,-9.882064108459055,-7.866954000087982,4,6,0,4,166,51
Full,All ambitions,R10CHINA+,headcount_pct,Deprived share,10,4,0.6616383692368571,-5.86647977920466,-8.862085186055118,-8.231690490483734,4,6,0,4,166,51
Full,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,7,3,2.3118967027441095,2.839110775539702,4.046714521215095,4.50357072054416,5,2,3,0,103,29
Full,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,10,4,23.568999546747172,25.443920617152166,7.593981459593542,13.523343055832719,8,2,3,1,166,51
Full,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,10,4,-38.43383528247044,-15.558822920993762,-40.803170653489246,-17.081366256414302,3,7,0,4,166,51
Full,All ambitions,R10EUROPE,headcount_pct,Deprived share,10,4,-31.973866243563243,-15.44917114367857,-33.176982539075816,-20.158868028874675,3,7,0,4,166,51
Full,All ambitions,R10EUROPE,mortality_million_deaths,PM2.5 mortality,7,3,4.857551374438703,4.208433240546965,5.430531480854329,5.472948381356661,6,1,3,0,103,29
Full,All ambitions,R10EUROPE,total_energy_jobyears_per_1k,Employment,10,4,8.002476082409636,6.396933551497344,10.665539076696419,11.6345778050016,7,3,3,1,166,51
Full,All ambitions,R10INDIA+,gap_GJ_pc,DLE gap,10,4,2.164388319960299,1.7136195085699195,-5.870418887667878,-2.7188957061152674,5,5,1,3,166,51
Full,All ambitions,R10INDIA+,headcount_pct,Deprived share,10,4,3.4854350944384693,-3.3081790424384474,-1.914478004322353,-3.3081790424384474,4,6,1,3,166,51
Full,All ambitions,R10INDIA+,mortality_million_deaths,PM2.5 mortality,7,3,4.132401256685305,3.2813786228211415,5.4713220184804126,5.909066607801009,5,2,3,0,103,29
Full,All ambitions,R10INDIA+,total_energy_jobyears_per_1k,Employment,10,4,24.909266127634268,17.779100734852694,16.689620146333997,17.779100734852694,9,1,4,0,166,51
Full,All ambitions,R10LATIN_AM,gap_GJ_pc,DLE gap,10,4,0.06603889901504956,-4.467648813272147,-4.862383006691037,-4.467648813272147,3,7,1,3,166,51
Full,All ambitions,R10LATIN_AM,headcount_pct,Deprived share,10,4,1.4981046490023124,-2.2794041358658155,-2.6732899785178628,-2.281405909608516,5,5,2,2,166,51
Full,All ambitions,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,7,3,1.3042120271558486,1.1939450773431504,0.8182066992037267,0.6908674825268694,6,1,3,0,103,29
Full,All ambitions,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,10,4,-3.906705947896639,1.6510943287901572,-10.457388720025062,-5.478546253724072,6,4,2,2,166,51
Full,All ambitions,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,10,4,15.189661972093019,17.88899325246978,4.29884211421434,5.749197522595404,7,3,2,2,166,51
Full,All ambitions,R10MIDDLE_EAST,headcount_pct,Deprived share,10,4,13.406702542520014,10.594510520845139,2.559823716791139,2.8320298888221145,6,4,2,2,166,51
Full,All ambitions,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,7,3,3.2145777171564403,3.137191256411808,3.5807410359876184,3.137191256411808,7,0,3,0,103,29
Full,All ambitions,R10MIDDLE_EAST,total_energy_jobyears_per_1k,Employment,10,4,62.60637891815804,13.825123582615285,17.08703044750451,13.825123582615285,8,2,4,0,166,51
Full,All ambitions,R10NORTH_AM,gap_GJ_pc,DLE gap,10,4,-24.666981975571915,-24.128058855991053,-14.595584439547268,-24.128058855991053,4,6,1,3,166,51
Full,All ambitions,R10NORTH_AM,headcount_pct,Deprived share,10,4,-33.172834870746556,-29.78995880067245,-17.645358152593122,-29.78995880067245,4,6,1,3,166,51
Full,All ambitions,R10NORTH_AM,mortality_million_deaths,PM2.5 mortality,7,3,0.92042646559899155,2.877105272194301,2.190366950545754,2.877105272194301,6,1,3,0,103,29
Full,All ambitions,R10NORTH_AM,total_energy_jobyears_per_1k,Employment,10,4,10.5716866589386,6.946439998029756,19.09592445607867,5.580575908009147,7,3,3,1,166,51
Full,All ambitions,R10PAC_OECD,gap_GJ_pc,DLE gap,10,4,-43.27121181720974,-33.654622092187864,-49.57054376858462,-33.654622092187864,3,7,0,4,166,51
Full,All ambitions,R10PAC_OECD,headcount_pct,Deprived share,10,4,-37.650149233543104,-34.241020995895006,-42.5089683380937,-34.241020995895006,3,7,0,4,166,51
Full,All ambitions,R10PAC_OECD,mortality_million_deaths,PM2.5 mortality,7,3,3.6359032188867273,1.7763903039671851,3.7183128625502353,2.826431947816985,6,1,3,0,103,29
Full,All ambitions,R10PAC_OECD,total_energy_jobyears_per_1k,Employment,10,4,3.2042210844534407,1.6599214396561839,0.42276738006559966,1.6599214396561839,5,5,2,2,166,51
Full,All ambitions,R10REF_ECON,gap_GJ_pc,DLE gap,10,4,1.667513806951946,5.235549517011234,1.4172378622240838,-2.2531772243774233,6,4,2,2,166,51
Full,All ambitions,R10REF_ECON,headcount_pct,Deprived share,10,4,-1.1395773710848118,4.748686386600933,-1.8641461175954488,-2.5691524065236564,7,3,2,2,166,51
Full,All ambitions,R10REF_ECON,mortality_million_deaths,PM2.5 mortality,7,3,1.0244284477807029,1.0562667040771245,0.89847612918021,1.2246072880701029,5,2,2,1,103,29
Full,All ambitions,R10REF_ECON,total_energy_jobyears_per_1k,Employment,10,4,13.79103675028896,-3.5135591259012817,2.0061888137523036,-3.5135591259012817,5,5,2,2,166,51
Full,All ambitions,R10REST_ASIA,gap_GJ_pc,DLE gap,10,4,8.696449209760834,7.259922819123954,4.56315960649249,3.208939033317566,6,4,2,2,166,51
Full,All ambitions,R10REST_ASIA,headcount_pct,Deprived share,10,4,10.398657640885979,13.953975263440139,7.184022053697627,4.535426990294383,6,4,2,2,166,51
Full,All ambitions,R10REST_ASIA,mortality_million_deaths,PM2.5 mortality,7,3,2.192599616677326,2.84180696552272,2.751088601350406,2.84180696552272,5,2,3,0,103,29
Full,All ambitions,R10REST_ASIA,total_energy_jobyears_per_1k,Employment,10,4,29.84864610506971,18.894401520714332,23.612782465525452,18.894401520714332,9,1,4,0,166,51
Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,3,1,-0.64861728349802406,-1.983448902971888,-6.036373909758322,-6.036373909758322,1,2,0,1,11,7
Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived share,3,1,3.99551108638396,6.068400677365731,-5.618872448257046,-5.618872448257046,2,1,0,1,11,7
Full,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,1,1,4.3902816622473795,4.3902816622473795,4.3902816622473795,4.3902816622473795,1,0,1,0,6,3
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,3,1,-2.2419606154393366,2.200231852064077,12.924726282925048,12.924726282925048,2,1,1,0,11,7
Full,1.5C,R10AFRICA,gap_GJ_pc,DLE gap,3,1,0.0054650211763906205,3.1276712615114968,-6.414210929798097,-6.414210929798097,2,1,0,1,11,7
Full,1.5C,R10AFRICA,headcount_pct,Deprived share,3,1,5.395926110524628,2.564510472082654,-5.233079020868859,-5.233079020868859,2,1,0,1,11,7
Full,1.5C,R10AFRICA,mortality_million_deaths,PM2.5 mortality,1,1,1.835842769874755,1.835842769874755,1.835842769874755,1.835842769874755,1,0,1,0,6,3
Full,1.5C,R10AFRICA,total_energy_jobyears_per_1k,Employment,3,1,-8.452955240493738,-12.286944552603202,9.273436792007297,9.273436792007297,1,2,1,0,11,7
Full,1.5C,R10CHINA+,gap_GJ_pc,DLE gap,3,1,0.3113201923984687,-0.18203725434818363,-7.724574146503739,-7.724574146503739,1,2,0,1,11,7
Full,1.5C,R10CHINA+,headcount_pct,Deprived share,3,1,3.8674165445844593,7.522007712484517,-7.559972877469996,-7.559972877469996,2,1,0,1,11,7
Full,1.5C,R10CHINA+,mortality_million_deaths,PM2.5 mortality,1,1,4.50357072054416,4.50357072054416,4.50357072054416,4.50357072054416,1,0,1,0,6,3
Full,1.5C,R10CHINA+,total_energy_jobyears_per_1k,Employment,3,1,9.753850646456547,22.753009948881818,22.753009948881818,22.753009948881818,2,1,1,0,11,7
Full,1.5C,R10EUROPE,gap_GJ_pc,DLE gap,3,1,-45.32620463177517,-25.10305819973713,-25.10305819973713,-25.10305819973713,1,2,0,1,11,7
Full,1.5C,R10EUROPE,headcount_pct,Deprived share,3,1,-31.815576039014413,-26.381806740919636,-26.381806740919636,-26.381806740919636,1,2,0,1,11,7
Full,1.5C,R10EUROPE,mortality_million_deaths,PM2.5 mortality,1,1,6.6102128206593616,6.6102128206593616,6.6102128206593616,6.6102128206593616,1,0,1,0,6,3
Full,1.5C,R10EUROPE,total_energy_jobyears_per_1k,Employment,3,1,-6.273862393694448,-8.695001187700411,15.847168126618985,15.847168126618985,1,2,1,0,11,7
Full,1.5C,R10INDIA+,gap_GJ_pc,DLE gap,3,1,-3.9211070804647945,-4.4067386362457945,-4.4067386362457945,-4.4067386362457945,1,2,0,1,11,7
Full,1.5C,R10INDIA+,headcount_pct,Deprived share,3,1,-0.8023364226134833,-4.615527338041356,-4.615527338041356,-4.615527338041356,1,2,0,1,11,7
Full,1.5C,R10INDIA+,mortality_million_deaths,PM2.5 mortality,1,1,5.909066607801009,5.909066607801009,5.909066607801009,5.909066607801009,1,0,1,0,6,3
Full,1.5C,R10INDIA+,total_energy_jobyears_per_1k,Employment,3,1,6.339977466319965,0.6815465353304012,18.053930086432754,18.053930086432754,3,0,1,0,11,7
Full,1.5C,R10LATIN_AM,gap_GJ_pc,DLE gap,3,1,-6.32158259158372,-6.937102270984058,-4.454090813222684,-4.454090813222684,0,3,0,1,11,7
Full,1.5C,R10LATIN_AM,headcount_pct,Deprived share,3,1,-2.718925644970656,-4.960792044434678,-4.960792044434678,-4.960792044434678,1,2,0,1,11,7
Full,1.5C,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,1,1,1.4867595523400445,1.4867595523400445,1.4867595523400445,1.4867595523400445,1,0,1,0,6,3
Full,1.5C,R10LATIN_AM,total_energy_jobyears_per_1k,Employment,3,1,-26.434842464317192,-27.293444525487878,0.13060587037315013,0.13060587037315013,1,2,1,0,11,7
Full,1.5C,R10MIDDLE_EAST,gap_GJ_pc,DLE gap,3,1,15.341060372079106,21.097433340313554,-4.617398655155239,-4.617398655155239,2,1,0,1,11,7
Full,1.5C,R10MIDDLE_EAST,headcount_pct,Deprived share,3,1,13.269614432196239,10.850196808835532,-4.674764455210517,-4.674764455210517,2,1,0,1,11,7
Full,1.5C,R10MIDDLE_EAST,mortality_million_deaths,PM2.5 mortality,1,1,6.392079235653065,6.392079235653065,6.392079235653065,6.392079235653065,1,0,1,0,6,3
