database,ambition_view,Region,outcome,outcome_label,family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points,family_n_cdr,family_n_re,family_effect_pct,family_favours,family_robust,family_agrees_with_pooled,targeted,target_reason
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,REMIND,269,81,302.7696057718814,349.05093197769565,46.28132620581425,15.285988198129914,High-RE,91.73158400409754,High-RE,FALSE,76.44559580596763,1,220,75.35788027259699,High-RE,FALSE,TRUE,TRUE,Large leave-one-family-out magnitude shift
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,MESSAGEix,171,274,360.54047826791157,605.8333728948242,245.29289462691258,68.03477262950751,High-RE,91.73158400409754,High-RE,FALSE,23.696811374590027,99,27,9.460157290813564,High-RE,TRUE,TRUE,TRUE,Large leave-one-family-out magnitude shift
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,AIM,249,287,295.9793452228964,599.7756299584491,303.7962847355527,102.641042234474,High-RE,91.73158400409754,High-RE,FALSE,10.909458230376458,21,14,-6.670793245136396,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,WITCH,262,285,299.4008609065131,599.7756299584491,300.374769051936,100.3252856863785,High-RE,91.73158400409754,High-RE,FALSE,8.593701682280965,8,16,-25.652879151330083,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,REMIND,289,73,15.635448062513028,19.764557386699156,-4.129109324186128,-26.408640850439895,High-CDR,27.144733280478757,High-RE,TRUE,53.553374130918655,1,220,55.52142001839769,High-RE,FALSE,TRUE,TRUE,Pooled direction flips when family is excluded
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,POLES,230,284,12.808658792844987,11.384503473548286,1.4241553192967018,11.118691990548188,High-RE,27.144733280478757,High-RE,FALSE,16.026041289930568,60,9,-3.6980802498249625,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GCAM,257,288,18.14011287005542,11.46137122901429,6.678741641041132,36.81753078871955,High-RE,27.144733280478757,High-RE,FALSE,9.672797508240794,33,5,-32.36418611502928,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,AIM,269,279,14.593377883574853,11.363680148144748,3.229697735430104,22.13125543103489,High-RE,27.144733280478757,High-RE,FALSE,5.013477849443866,21,14,-6.934584195840603,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,REMIND,289,73,5.839446240539808,7.34262214927562,-1.5031759087358116,-25.741754385889433,High-CDR,28.299097892924813,High-RE,TRUE,54.04085227881424,1,220,57.540869400993394,High-RE,FALSE,TRUE,TRUE,Pooled direction flips when family is excluded
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,GCAM,257,288,6.4611888093342715,4.1760434347324455,2.285145374601826,35.36725890598569,High-RE,28.299097892924813,High-RE,FALSE,7.06816101306088,33,5,-43.768819789276606,High-CDR,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
