audit_priority,trigger_type,database,amb,outcome,outcome_label,family,Model,project,Pathway,n_scenarios,family_arm_total,project_share_pct,recommended_audit
2,Dominant project cluster,Full,1.5C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.2,SSP2021,High-CDR,12,23,52.17391304347826,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,gap_GJ_pc,DLE gap,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,13,25,52,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,gap_GJ_pc,DLE gap,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,19,59,32.20338983050848,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,headcount_pct,Deprived headcount,IMAGE,IMAGE 3.2,SSP2021,High-CDR,12,23,52.17391304347826,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,headcount_pct,Deprived headcount,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,13,25,52,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,headcount_pct,Deprived headcount,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,19,59,32.20338983050848,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,mortality_million_deaths,PM2.5 mortality,IMAGE,IMAGE 3.2,SSP2021,High-CDR,12,23,52.17391304347826,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,mortality_million_deaths,PM2.5 mortality,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,11,23,47.82608695652174,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,mortality_million_deaths,PM2.5 mortality,REMIND,REMIND-MAgPIE 1.7-3.0,PEP,High-RE,13,50,26,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,mortality_million_deaths,PM2.5 mortality,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,19,50,38,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.2,SSP2021,High-CDR,12,21,57.142857142857146,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,total_energy_jobyears_per_1k,Employment,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,13,25,52,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,1.5C,total_energy_jobyears_per_1k,Employment,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,19,59,32.20338983050848,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,AIM,AIM/CGE V2.2,ENGAGE,High-CDR,20,20,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,AIM,AIM/CGE V2.2,ENGAGE,High-RE,11,11,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,GCAM,GCAM 5.3,Deep,High-CDR,23,26,88.46153846153847,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,20,45,44.44444444444444,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,62,74,83.78378378378379,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-RE,20,24,83.33333333333333,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,56,56,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,59,161,36.64596273291925,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,gap_GJ_pc,DLE gap,WITCH,WITCH 5.0,ENGAGE,High-RE,11,16,68.75,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,AIM,AIM/CGE V2.2,ENGAGE,High-CDR,20,20,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,AIM,AIM/CGE V2.2,ENGAGE,High-RE,11,11,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,GCAM,GCAM 5.3,Deep,High-CDR,23,26,88.46153846153847,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,20,45,44.44444444444444,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,62,74,83.78378378378379,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-RE,20,24,83.33333333333333,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,56,56,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,59,161,36.64596273291925,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,headcount_pct,Deprived headcount,WITCH,WITCH 5.0,ENGAGE,High-RE,11,16,68.75,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,mortality_million_deaths,PM2.5 mortality,AIM,AIM/CGE V2.2,ENGAGE,High-CDR,20,20,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,mortality_million_deaths,PM2.5 mortality,IMAGE,IMAGE 3.0,ENGAGE,High-CDR,20,36,55.55555555555556,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,mortality_million_deaths,PM2.5 mortality,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-CDR,60,72,83.33333333333333,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,mortality_million_deaths,PM2.5 mortality,MESSAGEix,MESSAGEix-GLOBIOM 1.1,ENGAGE,High-RE,17,21,80.95238095238095,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,mortality_million_deaths,PM2.5 mortality,POLES,POLES-JRC ENGAGE,ENGAGE,High-CDR,56,56,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,mortality_million_deaths,PM2.5 mortality,REMIND,REMIND-MAgPIE 2.1-4.2,ENGAGE,High-RE,59,134,44.02985074626866,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
2,Dominant project cluster,Full,2C,total_energy_jobyears_per_1k,Employment,AIM,AIM/CGE V2.2,ENGAGE,High-CDR,20,20,100,Treat the project ensemble as a clustered design; audit shared assumptions rather than counting scenarios as independent confirmations
