audit_priority,trigger_type,database,amb,outcome,outcome_label,family,Model,project,n_cdr,n_re,relative_effect_pct,favours,recommended_audit
2,Sparse matched model-project-ambition contrast,Full,1.5C,gap_GJ_pc,DLE gap,AIM,AIM/CGE V2.2,ENGAGE,1,3,6.073970962236138,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,1.5C,gap_GJ_pc,DLE gap,POLES,POLES-JRC ENGAGE,ENGAGE,4,1,-1.983448902971888,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,1.5C,headcount_pct,Deprived share,AIM,AIM/CGE V2.2,ENGAGE,1,3,6.068400677365731,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,1.5C,headcount_pct,Deprived share,POLES,POLES-JRC ENGAGE,ENGAGE,4,1,11.537005030043195,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,1.5C,total_energy_jobyears_per_1k,Employment,AIM,AIM/CGE V2.2,ENGAGE,1,3,-21.850839981307136,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,1.5C,total_energy_jobyears_per_1k,Employment,POLES,POLES-JRC ENGAGE,ENGAGE,4,1,2.200231852064077,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.2,SSP2021,8,2,16.793055794039123,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,gap_GJ_pc,DLE gap,MESSAGEix,MESSAGEix-GLOBIOM 1.1,NGFS Phase 2,1,1,-3.210529932879343,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,gap_GJ_pc,DLE gap,MESSAGEix,MESSAGEix-GLOBIOM GEI 1.0,GEI,6,1,-7.725779468968668,High-CDR,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
2,Sparse matched model-project-ambition contrast,Full,2C,gap_GJ_pc,DLE gap,WITCH,WITCH 5.0,COMMIT,2,1,26.98061709991725,High-RE,Read project protocol and inspect the small number of arm-defining scenarios before interpreting direction
