database,ambition_view,Region,outcome,outcome_label,outcome_unit,n_cdr,n_re,median_cdr,median_re,pooled_effect,pooled_effect_pct,pooled_favours,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr,loo_min_pct,loo_max_pct,n_families_tested,n_direction_flips,max_influence_shift_pct_points,most_negative_exclusion,most_positive_exclusion,pooled_equal_family_agree,leave_one_out_stable,magnitude_composition_sensitive,structural_class,evidence_class,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support,matched_direction,pooled_matched_agree,final_tiered_conclusion
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",270,301,303.5695088216967,582.0386278172977,278.469118995601,91.73158400409754,High-RE,7,5,32.98818462367965,13.51125614967618,14.652756213427294,9.460157290813564,5,2,3,2,15.285988198129914,109.18942161533344,9,0,76.44559580596763,REMIND,POLES,TRUE,TRUE,TRUE,Directionally stable but structurally heterogeneous,Direction supported; magnitude composition-sensitive,10,4,20.845691370172144,10.685746293470597,7.218755503394723,10.42821658606118,8,2,3,1,166,51,High-RE,TRUE,Employment direction supported; pooled magnitude is composition-sensitive
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,290,293,23.404782573715316,17.135523412896454,6.269259160818862,26.786231152001978,High-RE,7,5,13.432864396156743,5.771588520509963,4.0933415182029025,-7.172657831250891,4,3,2,3,-9.72512794416655,35.66566920835037,7,1,36.511359096168526,REMIND,MESSAGEix,TRUE,FALSE,FALSE,Dominant-family sensitive,Database association only; model-composition sensitive,10,4,2.2234779518813648,-2.5969894179256157,-3.6732765081397414,-6.013983717605747,4,6,1,3,166,51,High-RE,TRUE,Deprivation is a database association driven by model/final-energy composition
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,290,293,6.051234196271087,4.463516254086944,1.5877179421841436,26.237919252282992,High-RE,7,5,15.115424182753674,4.8968974701295735,5.421105543061998,1.793424786160925,5,2,3,2,-18.70982369411176,37.51063166119875,7,1,44.947742946394754,REMIND,MESSAGEix,TRUE,FALSE,FALSE,Dominant-family sensitive,Database association only; model-composition sensitive,10,4,3.817369121438272,1.5937413925538966,-1.6681436327157897,-2.198461081038416,5,5,1,3,166,51,High-RE,TRUE,Deprivation is a database association driven by model/final-energy composition
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,246,226,438.181675,427.66765250000003,10.514022499999953,2.399466499825661,High-RE,5,4,4.051773342618527,2.191942190754993,4.51673113058441,2.068906580467545,4,1,3,1,-0.4400549155781142,7.047335964405672,7,1,4.647869464580011,REMIND,POLES,TRUE,FALSE,FALSE,Dominant-family sensitive,Coverage-qualified; composition-sensitive association,7,3,2.9141457255704397,3.23815625516348,3.4919673111554914,3.7385017054392846,5,2,3,0,103,29,High-RE,TRUE,Mortality is coverage-qualified and composition-sensitive; matched evidence leans High-RE
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",58,67,358.0599002019925,748.6547433260449,390.59484312405243,109.08645254710342,High-RE,4,1,33.67554513221898,25.650560163856863,49.10088847564965,49.10088847564965,3,1,1,0,24.07946758658827,137.6848100204814,7,0,85.00698496051515,REMIND,IMAGE,TRUE,TRUE,TRUE,Cross-model aligned,Direction supported; magnitude composition-sensitive,3,1,-2.2419606154393366,2.200231852064077,12.924726282925048,12.924726282925048,2,1,1,0,11,7,High-CDR,FALSE,Direction supported; magnitude composition-sensitive
Full,1.5C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,67,67,26.19954884931114,17.949805609800375,8.249743239510764,31.488111825741125,High-RE,5,1,9.179802755719505,6.073970962236138,21.90254458660152,21.90254458660152,3,2,1,0,-15.525886144077191,39.59079221812474,7,1,47.01399796981832,REMIND,MESSAGEix,TRUE,FALSE,TRUE,Dominant-family sensitive,Database association only; model-composition sensitive,3,1,-0.64861728349802406,-1.983448902971888,-6.036373909758322,-6.036373909758322,1,2,0,1,11,7,High-CDR,FALSE,Database association only; model-composition sensitive
Full,1.5C,Aggregated R10 regions,headcount_pct,Deprived share,population-year-weighted mean % below the DLE threshold,67,67,6.973886989387415,4.5835605549488765,2.3903264344385384,34.27538240978155,High-RE,5,1,12.150319440678624,11.537005030043195,25.548915218182273,25.548915218182273,4,1,1,0,-8.34917088857779,42.749082845578904,7,1,42.62455329835934,REMIND,MESSAGEix,TRUE,FALSE,TRUE,Dominant-family sensitive,Database association only; model-composition sensitive,3,1,3.99551108638396,6.068400677365731,-5.618872448257046,-5.618872448257046,2,1,0,1,11,7,High-RE,TRUE,Database association only; model-composition sensitive
Full,1.5C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,million cumulative PM2.5-attributable deaths,57,54,425.807625,417.9452725,7.862352499999986,1.8464564837231334,High-RE,1,1,1.457792499188579,1.457792499188579,1.457792499188579,1.457792499188579,1,0,1,0,0.6050744935580181,9.84197711815379,7,0,7.995520634430657,IMAGE,MESSAGEix,TRUE,TRUE,FALSE,Not identified across model families,Coverage-qualified; not identified across model families,1,1,4.3902816622473795,4.3902816622473795,4.3902816622473795,4.3902816622473795,1,0,1,0,6,3,High-RE,TRUE,Coverage-qualified; not identified across model families
Full,2C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,"total energy-sector job-years per 1,000 people",212,234,294.40860114420377,542.5116411267561,248.10303998255233,84.27166836101688,High-RE,6,4,28.886713711376213,11.082627463653772,20.04641675067073,11.082627463653772,4,2,3,1,8.965870974485519,100.31656025778108,9,0,75.30579738653137,REMIND,POLES,TRUE,TRUE,TRUE,Directionally stable but structurally heterogeneous,Direction supported; magnitude composition-sensitive,7,3,30.740399364005633,13.429807983826146,5.316765243551281,7.931706889197313,6,1,2,1,155,44,High-RE,TRUE,Direction supported; magnitude composition-sensitive
Full,2C,Aggregated R10 regions,gap_GJ_pc,DLE gap,GJ per capita of cumulative DLE gap,223,226,22.04288845564124,16.83581334752425,5.207075108116989,23.622471794454814,High-RE,6,4,5.413771876828875,-0.7058630186610091,-7.233952288733632,-7.7204443851065765,3,3,1,3,-15.762201859216717,35.76612415358522,7,1,39.38467365367153,REMIND,MESSAGEix,TRUE,FALSE,FALSE,Dominant-family sensitive,Database association only; model-composition sensitive,7,3,3.454375909901103,-3.210529932879343,-2.8855773742668807,-5.991593525453172,3,4,1,2,155,44,High-RE,TRUE,Database association only; model-composition sensitive
