Region,res_comm_GJ,industry_GJ,transport_GJ,threshold_total_GJ,threshold_pop_covered_millions,threshold_n_countries,desire_energy_gini,gini_pop_covered_millions,gini_n_countries,source,threshold_source_file,gini_source_file
R10AFRICA,4.978378654545436,3.0379550337423,10.348124811679298,18.364458499967036,1416.199985,51,0.2851551213051497,1391.876897,49,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10CHINA+,8.61184107579578,3.3274646613539733,11.545119376171733,23.484425113321485,1496.594378,6,0.41329820047379784,1470.023342,5,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10EUROPE,9.590794403669037,6.389072352691437,16.111617868998753,32.09148462535923,686.498427,40,0.22920666562217376,656.625387,39,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10INDIA+,4.712034729684308,2.3421318275990046,7.124224095081145,14.178390652364456,1991.316565,8,0.2132887173491654,1991.316565,8,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10LATIN_AM,6.064387660754791,4.540376548954851,13.408455592022433,24.013219801732077,533.947318,31,0.4388580692168978,494.700221,32,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10MIDDLE_EAST,7.054168395974318,3.3905506612696144,13.141881981545568,23.586601038789503,421.52453,15,0.3264891383369974,354.130225,13,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10NORTH_AM,9.355598348268682,6.43861808158199,23.261280505445136,39.05549693529581,515.38341,3,0.2772345845189206,515.447965,4,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10PAC_OECD,7.145983304769767,8.352371327383997,18.18412838836733,33.68248302052109,32.939111,2,0.2521822862637573,32.939111,2,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10REF_ECON,11.924620006521753,5.159466962512083,16.700589397058298,33.78467636609213,244.428617,9,0.34065841527853064,244.428617,9,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
R10REST_ASIA,5.23185803038848,4.191061546320381,11.755231017820535,21.178150594529395,837.692171,22,0.29863726039383703,837.157324,24,"DESIRE 2025 reproduction archive, 2024-11-14",dle-to-iam-energythreshold.csv,energygini_filling_predicted_differences.csv
