"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","proxy"
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10AFRICA","C3","Fossil CCS",4808.409,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10AFRICA","C3","Renewable Capacity",180135.7099,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10AFRICA","C3","Total CDR",4808.409,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10CHINA+","C3","Fossil CCS",159207.8957,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10CHINA+","C3","Renewable Capacity",688572.2908,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10CHINA+","C3","Total CDR",159207.8957,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10EUROPE","C3","Fossil CCS",20272.4524,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10EUROPE","C3","Renewable Capacity",280614.3164,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10EUROPE","C3","Total CDR",20272.4524,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10INDIA+","C3","Fossil CCS",11500.8036,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10INDIA+","C3","Renewable Capacity",465178.3705,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10INDIA+","C3","Total CDR",11500.8036,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10LATIN_AM","C3","Fossil CCS",4954.7046,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10LATIN_AM","C3","Renewable Capacity",105098.4705,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10LATIN_AM","C3","Total CDR",4954.7046,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10MIDDLE_EAST","C3","Fossil CCS",11955.5117,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10MIDDLE_EAST","C3","Renewable Capacity",248706.3219,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Cost-Effective","COMPASS_ENGAGE-Feasibility-1000/Cost-Effective","R10MIDDLE_EAST","C3","Total CDR",11955.5117,FALSE
