"Model","Scenario","Category","total_cdr","total_re","Ambition","cdr_thresh","re_thresh","high_cdr","high_re","Pathway_overlap","high_cdr_only","high_re_only","Pathway_excl","threshold_label"
"AIM/CGE 2.0","SSP1-19","C1",0,NA,"1.5C (High-Ambition)",511882.90914693,2771556.31926819,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP1-26","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP1-34","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP1-45","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP1-Baseline","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP2-19","C1",0,NA,"1.5C (High-Ambition)",511882.90914693,2771556.31926819,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP2-26","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP2-34","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP2-45","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP2-60","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP2-Baseline","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP3-34","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP3-45","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP3-60","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP3-Baseline","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP4-26","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP4-34","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP4-45","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP4-Baseline","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP5-26","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP5-34","C3",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"AIM/CGE 2.0","SSP5-45","C4",0,NA,"2C (Medium-Ambition)",466027.253460691,1932960.06221475,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
