"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","Ambition","cumulative_deaths_mln","jobs_Renewables","jobs_Fossil","jobs_Nuclear","jobs_Bioenergy","cumulative_gap_EJ","mean_headcount_millions","cumulative_implied_CO2_GtCO2","pop_mln","mort_per_1k","headcount_pct","re_jobs_per_1k","fossil_jobs_per_1k","net_re_jobs_per_1k","gap_GJ_pc","implied_CO2_tpc"
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10AFRICA","C3","Fossil CCS",45236.105872545,"2C (Medium-Ambition)",101.6113,372476.159618411,14122.5166043446,32259.2246739601,14324.1467701593,59.279781985775,246.020677547041,1877.73696190978,1070.4991,94.9195566815516,22.9818668270754,347.946261345209,13.1924600444266,334.753801300783,55.3758354264613,1754.07617055426
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10AFRICA","C3","Renewable Capacity",264323.416844655,"2C (Medium-Ambition)",101.6113,372476.159618411,14122.5166043446,32259.2246739601,14324.1467701593,59.279781985775,246.020677547041,1877.73696190978,1070.4991,94.9195566815516,22.9818668270754,347.946261345209,13.1924600444266,334.753801300783,55.3758354264613,1754.07617055426
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10AFRICA","C3","Total CDR",45236.105872545,"2C (Medium-Ambition)",101.6113,372476.159618411,14122.5166043446,32259.2246739601,14324.1467701593,59.279781985775,246.020677547041,1877.73696190978,1070.4991,94.9195566815516,22.9818668270754,347.946261345209,13.1924600444266,334.753801300783,55.3758354264613,1754.07617055426
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10CHINA+","C3","Fossil CCS",91146.741796999,"2C (Medium-Ambition)",110.28304,250441.048530918,56808.2075381253,20968.3985996588,28171.8460897562,1.19971490974856,6.5146075252037,114.786013730839,1428.03039550781,77.2273757946048,0.456195298482221,175.375152600909,39.7808111905938,135.594341410315,0.840118609185443,80.3806516247302
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10CHINA+","C3","Renewable Capacity",266461.952870613,"2C (Medium-Ambition)",110.28304,250441.048530918,56808.2075381253,20968.3985996588,28171.8460897562,1.19971490974856,6.5146075252037,114.786013730839,1428.03039550781,77.2273757946048,0.456195298482221,175.375152600909,39.7808111905938,135.594341410315,0.840118609185443,80.3806516247302
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10CHINA+","C3","Total CDR",91146.741796999,"2C (Medium-Ambition)",110.28304,250441.048530918,56808.2075381253,20968.3985996588,28171.8460897562,1.19971490974856,6.5146075252037,114.786013730839,1428.03039550781,77.2273757946048,0.456195298482221,175.375152600909,39.7808111905938,135.594341410315,0.840118609185443,80.3806516247302
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10EUROPE","C3","Fossil CCS",24516.25460235,"2C (Medium-Ambition)",32.27022,64654.0895978003,7322.48394003413,10194.7439568832,12220.912077544,2.48620209723712,8.41764268849889,125.196364977041,628.725128173828,51.3264359160113,1.33884305100839,102.833633810044,11.6465584273731,91.1870753826707,3.95435459126383,199.127344155436
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10EUROPE","C3","Renewable Capacity",200733.101181582,"2C (Medium-Ambition)",32.27022,64654.0895978003,7322.48394003413,10194.7439568832,12220.912077544,2.48620209723712,8.41764268849889,125.196364977041,628.725128173828,51.3264359160113,1.33884305100839,102.833633810044,11.6465584273731,91.1870753826707,3.95435459126383,199.127344155436
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10EUROPE","C3","Total CDR",24516.25460235,"2C (Medium-Ambition)",32.27022,64654.0895978003,7322.48394003413,10194.7439568832,12220.912077544,2.48620209723712,8.41764268849889,125.196364977041,628.725128173828,51.3264359160113,1.33884305100839,102.833633810044,11.6465584273731,91.1870753826707,3.95435459126383,199.127344155436
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10INDIA+","C3","Fossil CCS",50862.300381585,"2C (Medium-Ambition)",129.59565,319083.798200666,17318.5984168897,45232.5350113694,18432.1599760767,1.52024085619557,13.884611737601,134.357747772653,1390.23409791655,93.2185810966774,0.998724729770974,229.51803489704,12.4573253115025,217.060709585538,1.09351429264601,96.6439738271461
