"Model","Scenario","Category","total_cdr","total_re","Ambition","cdr_thresh","re_thresh","high_cdr","high_re","Pathway_overlap","high_cdr_only","high_re_only","Pathway_excl","threshold_label"
"AIM/Hub-Global 2.0","SDI-2.5°C","C4",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"GCAM 4.2","SSP1-19","C1",0,NA,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"GCAM 4.2","SSP1-26","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"GCAM 4.2","SSP1-34","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"GCAM 4.2","SSP1-45","C3",0,NA,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,NA,"Low (both)",FALSE,NA,NA,"top_33pct"
"GCAM 5.3","NGFS Phase 2-Below 2°C","C3",377729.131036242,1622560.92572438,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"GCAM 5.3","NGFS Phase 2-Current Policies","C4",0.041437020269,718223.047366125,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"GCAM 5.3","NGFS Phase 2-Delayed Transition","C4",227937.419779798,1853062.89833771,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","C3",344077.760593715,1134962.42340978,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","C3",184448.637380725,3090792.87190375,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"GCAM 6.0 NGFS","NGFS Phase 5-Current Policies","C4",73674.8075277468,1554128.97052156,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"GCAM 6.0 NGFS","NGFS Phase 5-Delayed Transition","C3",175585.401894375,3089545.37987872,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"GCAM 6.0 NGFS","NGFS Phase 5-Fragmented World","C3",181546.49492857,2085327.9398637,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"GCAM 6.0 NGFS","NGFS Phase 5-Low Demand","C2",145178.566646399,2660797.50445951,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"GCAM 6.0 NGFS","NGFS Phase 5-Nationally Determined Contributions (NDCs)","C4",156137.55556443,1953398.97266,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"GCAM 6.0 NGFS","NGFS Phase 5-Net-Zero 2050","C2",155012.807836231,3336739.4542124,"1.5C (High-Ambition)",1233903.75225355,2635442.63858426,FALSE,TRUE,"High-RE only",FALSE,TRUE,"High-RE","top_33pct"
"IMAGE 3.0","COMMIT-2°C-2030","C3",586133.718372497,321624.853070124,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,TRUE,FALSE,"High-CMT only",TRUE,FALSE,"High-CMT","top_33pct"
"IMAGE 3.0","COMMIT-Current-Policies","C4",100029.702797417,191230.707288643,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
"IMAGE 3.0","COMMIT-NDCplus","C4",212200.70989267,227605.191678729,"2C (Medium-Ambition)",578924.199252076,1742417.43999279,FALSE,FALSE,"Low (both)",FALSE,FALSE,NA,"top_33pct"
