approach,Region,Ambition,outcome,n_cmt,n_re,median_cmt,median_re,re_minus_cmt
A,Aggregated R10 regions,1.5C (High-Ambition),gap_GJ_pc,53,43,18.6670596404233,12.9757685762586,-5.6912910641647
A,Aggregated R10 regions,1.5C (High-Ambition),headcount_pct,53,43,6.86062190860604,4.61430103001869,-2.2463208785873503
A,Aggregated R10 regions,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,290.97032237792,686.780456483417,395.81013410549696
A,Aggregated R10 regions,2C (Medium-Ambition),gap_GJ_pc,217,222,15.5169521435752,11.0588262630121,-4.458125880563099
A,Aggregated R10 regions,2C (Medium-Ambition),headcount_pct,217,222,5.796357860466835,4.021770586738485,-1.7745872737283497
A,Aggregated R10 regions,2C (Medium-Ambition),net_re_jobs_per_1k,217,222,173.109173267742,461.4377749937015,288.3286017259595
A,R10AFRICA,1.5C (High-Ambition),gap_GJ_pc,53,43,67.2700331330091,45.1457188204975,-22.124314312511594
A,R10AFRICA,1.5C (High-Ambition),headcount_pct,53,43,27.5555493716099,17.549883341983,-10.005666029626898
A,R10AFRICA,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,225.8017250121575,1057.55336154611,831.7516365339525
A,R10AFRICA,2C (Medium-Ambition),gap_GJ_pc,216,222,65.561746300554,40.769604317349845,-24.79214198320416
A,R10AFRICA,2C (Medium-Ambition),headcount_pct,216,222,25.9005824719875,16.368165593057,-9.532416878930501
A,R10AFRICA,2C (Medium-Ambition),net_re_jobs_per_1k,216,222,167.3739743770795,705.7819418589925,538.4079674819129
A,R10CHINA+,1.5C (High-Ambition),gap_GJ_pc,53,43,1.14144801203479,0.800191775410923,-0.34125623662386706
A,R10CHINA+,1.5C (High-Ambition),headcount_pct,53,43,0.588788573559263,0.41556049374527,-0.17322807981399296
A,R10CHINA+,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,209.46643845025102,333.69619498301,124.22975653275898
A,R10CHINA+,2C (Medium-Ambition),gap_GJ_pc,217,222,0.80684901903603,0.679238477729478,-0.12761054130655203
A,R10CHINA+,2C (Medium-Ambition),headcount_pct,217,222,0.42043292405787547,0.357723991517567,-0.06270893254030846
A,R10CHINA+,2C (Medium-Ambition),net_re_jobs_per_1k,217,222,157.684536110868,248.677057057535,90.99252094666699
A,R10EUROPE,1.5C (High-Ambition),gap_GJ_pc,53,43,5.9456693464225,2.80384594939442,-3.1418233970280802
A,R10EUROPE,1.5C (High-Ambition),headcount_pct,53,43,1.69842945074847,1.01875607173491,-0.6796733790135601
A,R10EUROPE,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,91.5041719187497,154.486925888192,62.982753969442285
A,R10EUROPE,2C (Medium-Ambition),gap_GJ_pc,217,222,3.3224446506913248,2.659510329130415,-0.6629343215609098
A,R10EUROPE,2C (Medium-Ambition),headcount_pct,217,222,1.0460249244753101,0.9621247200247285,-0.08390020445058166
A,R10EUROPE,2C (Medium-Ambition),net_re_jobs_per_1k,217,222,57.0021718464584,114.8884908142865,57.886318967828096
A,R10INDIA+,1.5C (High-Ambition),gap_GJ_pc,53,43,1.09401361105107,0.530749541329695,-0.5632640697213751
A,R10INDIA+,1.5C (High-Ambition),headcount_pct,53,43,0.998136929813239,0.500067701503105,-0.498069228310134
A,R10INDIA+,1.5C (High-Ambition),net_re_jobs_per_1k,53,43,268.02232322177247,1000.640160358,732.6178371362275
