approach,Region,Ambition,outcome,n_models,median_model_effect,n_re_lower,n_re_higher
A,Aggregated R10 regions,1.5C (High-Ambition),gap_GJ_pc,3,-1.2728131578437,2,1
A,Aggregated R10 regions,1.5C (High-Ambition),headcount_pct,3,-0.7112587808895015,2,1
A,Aggregated R10 regions,1.5C (High-Ambition),net_re_jobs_per_1k,3,0.4423899862720191,1,2
A,Aggregated R10 regions,2C (Medium-Ambition),gap_GJ_pc,5,0.8442168584553507,2,3
A,Aggregated R10 regions,2C (Medium-Ambition),headcount_pct,5,-0.1472010378467541,3,2
A,Aggregated R10 regions,2C (Medium-Ambition),net_re_jobs_per_1k,6,18.54720078726075,1,5
A,R10AFRICA,1.5C (High-Ambition),gap_GJ_pc,3,-6.126401014551988,2,1
A,R10AFRICA,1.5C (High-Ambition),headcount_pct,3,-1.7330095061708946,2,1
A,R10AFRICA,1.5C (High-Ambition),net_re_jobs_per_1k,3,-25.99361505554299,2,1
A,R10AFRICA,2C (Medium-Ambition),gap_GJ_pc,5,4.8412795254977965,2,3
A,R10AFRICA,2C (Medium-Ambition),headcount_pct,5,-0.5292215903002528,3,2
A,R10AFRICA,2C (Medium-Ambition),net_re_jobs_per_1k,6,17.498351343706233,1,5
A,R10CHINA+,1.5C (High-Ambition),gap_GJ_pc,3,0.11312708477295996,1,2
A,R10CHINA+,1.5C (High-Ambition),headcount_pct,3,0.02009892104845251,1,2
A,R10CHINA+,1.5C (High-Ambition),net_re_jobs_per_1k,3,59.350838318849014,1,2
A,R10CHINA+,2C (Medium-Ambition),gap_GJ_pc,5,0.09977771431869797,1,4
A,R10CHINA+,2C (Medium-Ambition),headcount_pct,5,0.04674613949742196,1,4
A,R10CHINA+,2C (Medium-Ambition),net_re_jobs_per_1k,6,18.804543855910744,2,4
A,R10EUROPE,1.5C (High-Ambition),gap_GJ_pc,3,0.2701629541039998,1,2
A,R10EUROPE,1.5C (High-Ambition),headcount_pct,3,0.08273540025759096,0,3
A,R10EUROPE,1.5C (High-Ambition),net_re_jobs_per_1k,3,-5.746484631074338,2,1
A,R10EUROPE,2C (Medium-Ambition),gap_GJ_pc,5,0.40105545605884974,1,4
A,R10EUROPE,2C (Medium-Ambition),headcount_pct,5,0.1748033977513791,1,4
A,R10EUROPE,2C (Medium-Ambition),net_re_jobs_per_1k,6,16.147692808103482,1,5
A,R10INDIA+,1.5C (High-Ambition),gap_GJ_pc,3,0.04596554193735991,1,2
A,R10INDIA+,1.5C (High-Ambition),headcount_pct,3,0.043812465430583036,1,2
A,R10INDIA+,1.5C (High-Ambition),net_re_jobs_per_1k,3,14.045362796342488,0,3
A,R10INDIA+,2C (Medium-Ambition),gap_GJ_pc,5,-0.021155522928527515,3,2
A,R10INDIA+,2C (Medium-Ambition),headcount_pct,5,-0.005412793759768553,3,2
A,R10INDIA+,2C (Medium-Ambition),net_re_jobs_per_1k,6,58.52468335185799,0,6
A,R10LATIN_AM,1.5C (High-Ambition),gap_GJ_pc,3,2.6430966595794985,0,3
A,R10LATIN_AM,1.5C (High-Ambition),headcount_pct,3,0.30650593424751094,1,2
A,R10LATIN_AM,1.5C (High-Ambition),net_re_jobs_per_1k,3,-80.2728428400525,2,1
A,R10LATIN_AM,2C (Medium-Ambition),gap_GJ_pc,5,2.3653866092414404,2,3
A,R10LATIN_AM,2C (Medium-Ambition),headcount_pct,5,-0.7418106377733498,3,2
A,R10LATIN_AM,2C (Medium-Ambition),net_re_jobs_per_1k,6,34.90169736564076,2,4
A,R10MIDDLE_EAST,1.5C (High-Ambition),gap_GJ_pc,3,-0.26728121370311597,2,1
A,R10MIDDLE_EAST,1.5C (High-Ambition),headcount_pct,3,-0.08439975265754898,2,1
A,R10MIDDLE_EAST,1.5C (High-Ambition),net_re_jobs_per_1k,3,12.309743476411995,1,2
A,R10MIDDLE_EAST,2C (Medium-Ambition),gap_GJ_pc,5,-0.15352009556622548,3,2
A,R10MIDDLE_EAST,2C (Medium-Ambition),headcount_pct,5,-0.10914480222064249,3,2
A,R10MIDDLE_EAST,2C (Medium-Ambition),net_re_jobs_per_1k,6,67.10275811007722,1,5
A,R10NORTH_AM,1.5C (High-Ambition),gap_GJ_pc,3,0.2419742210726996,1,2
A,R10NORTH_AM,1.5C (High-Ambition),headcount_pct,3,0.059510700031179864,1,2
A,R10NORTH_AM,1.5C (High-Ambition),net_re_jobs_per_1k,3,-41.0963622713425,2,1
A,R10NORTH_AM,2C (Medium-Ambition),gap_GJ_pc,5,1.3634823444157202,2,3
A,R10NORTH_AM,2C (Medium-Ambition),headcount_pct,5,0.35260332539118,2,3
A,R10NORTH_AM,2C (Medium-Ambition),net_re_jobs_per_1k,6,23.632981616956855,2,4
A,R10PAC_OECD,1.5C (High-Ambition),gap_GJ_pc,3,1.43179870103197,0,3
A,R10PAC_OECD,1.5C (High-Ambition),headcount_pct,3,0.2916214416592897,0,3
A,R10PAC_OECD,1.5C (High-Ambition),net_re_jobs_per_1k,3,-29.552951382673,2,1
A,R10PAC_OECD,2C (Medium-Ambition),gap_GJ_pc,5,1.3629901418705708,1,4
A,R10PAC_OECD,2C (Medium-Ambition),headcount_pct,5,0.19578736815752507,0,5
A,R10PAC_OECD,2C (Medium-Ambition),net_re_jobs_per_1k,6,40.700660125443136,1,5
A,R10REF_ECON,1.5C (High-Ambition),gap_GJ_pc,3,0.07424721010821,1,2
A,R10REF_ECON,1.5C (High-Ambition),headcount_pct,3,0.01566192712057002,1,2
A,R10REF_ECON,1.5C (High-Ambition),net_re_jobs_per_1k,3,-64.60102116199101,2,1
A,R10REF_ECON,2C (Medium-Ambition),gap_GJ_pc,5,-0.18094921363716,3,2
A,R10REF_ECON,2C (Medium-Ambition),headcount_pct,5,0.006367834725188426,2,3
