Model,Scenario
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Cost-Effective
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Enablers & Institutional
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Institutional
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional
AIM/CGE V2.2,ENGAGE-Feasibility-1000/Technology & Institutional
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Technology
AIM/CGE V2.2,ENGAGE-INDCi2030-1000f
AIM/CGE V2.2,ENGAGE-INDCi2030-1200
AIM/CGE V2.2,ENGAGE-INDCi2030-1200f
AIM/CGE V2.2,ENGAGE-INDCi2030-1400
AIM/CGE V2.2,ENGAGE-INDCi2030-1400f
AIM/CGE V2.2,ENGAGE-INDCi2030-1600
AIM/CGE V2.2,ENGAGE-INDCi2030-1600f
AIM/CGE V2.2,ENGAGE-INDCi2030-1800
AIM/CGE V2.2,ENGAGE-INDCi2030-1800f
AIM/CGE V2.2,ENGAGE-INDCi2100
AIM/CGE V2.2,ENGAGE-NPi2020-1000
AIM/CGE V2.2,ENGAGE-NPi2020-1000f
AIM/CGE V2.2,ENGAGE-NPi2020-1200
AIM/CGE V2.2,ENGAGE-NPi2020-1200f
AIM/CGE V2.2,ENGAGE-NPi2020-1400
AIM/CGE V2.2,ENGAGE-NPi2020-1400f
AIM/CGE V2.2,ENGAGE-NPi2020-1600
AIM/CGE V2.2,ENGAGE-NPi2020-1600f
AIM/CGE V2.2,ENGAGE-NPi2020-1800
AIM/CGE V2.2,ENGAGE-NPi2020-1800f
AIM/CGE V2.2,ENGAGE-NPi2020-300f
AIM/CGE V2.2,ENGAGE-NPi2020-400f
AIM/CGE V2.2,ENGAGE-NPi2020-500f
AIM/CGE V2.2,ENGAGE-NPi2020-600
AIM/CGE V2.2,ENGAGE-NPi2020-600f
AIM/CGE V2.2,ENGAGE-NPi2020-800f
AIM/CGE V2.2,ENGAGE-NPi2020-900
AIM/CGE V2.2,ENGAGE-NPi2020-900f
COFFEE 1.1,COMMIT-2<U+00B0>C-2020
COFFEE 1.1,COMMIT-2<U+00B0>C-2030
COFFEE 1.1,COMMIT-Bridge
COFFEE 1.1,ENGAGE-INDCi2030-1000f-NDCp
COFFEE 1.1,ENGAGE-INDCi2030-500
COFFEE 1.1,ENGAGE-INDCi2030-600
COFFEE 1.1,ENGAGE-INDCi2030-600-NDCp
COFFEE 1.1,ENGAGE-INDCi2030-600f-COV-NDCp
COFFEE 1.1,ENGAGE-INDCi2030-600f-NDCp
COFFEE 1.1,ENGAGE-INDCi2030-700
COFFEE 1.1,ENGAGE-NPi2020-1000f-COV
COFFEE 1.1,ENGAGE-NPi2020-400-lowBECCS
COFFEE 1.1,ENGAGE-NPi2020-400f-lowBECCS
COFFEE 1.1,ENGAGE-NPi2020-500
COFFEE 1.1,ENGAGE-NPi2020-600
COFFEE 1.1,ENGAGE-NPi2020-600f-COV
COFFEE 1.5,NAVIGATE Demand-2.0<U+00B0>C-act_u
COFFEE 1.5,NAVIGATE Demand-2.0<U+00B0>C-ele_u
COFFEE 1.5,NAVIGATE Demand-2.0<U+00B0>C-ref
COFFEE 1.5,NAVIGATE Demand-2.0<U+00B0>C-tec_u
GCAM 5.2,NGFS Phase 1-Immediate 2C<U+00B0>C with CDR
GCAM 5.3,Deep-Mitigation-MAC_30_n0
GCAM 5.3,Deep-Mitigation-MAC_35_n0
GCAM 5.3,Deep-Mitigation-MAC_35_n8
GCAM 5.3,Deep-Mitigation-MAC_40_n0
GCAM 5.3,Deep-Mitigation-MAC_40_n8
GCAM 5.3,Deep-Mitigation-MAC_45_n0
GCAM 5.3,Deep-Mitigation-MAC_45_n8
GCAM 5.3,Deep-Mitigation-MAC_50_n0
GCAM 5.3,Deep-Mitigation-MAC_50_n8
GCAM 5.3,Deep-Mitigation-MAC_55_n0
GCAM 5.3,Deep-Mitigation-MAC_55_n8
GCAM 5.3,Deep-Mitigation-MAC_60_n0
GCAM 5.3,Deep-Mitigation-MAC_60_n8
GCAM 5.3,Deep-Mitigation-MAC_65_n0
GCAM 5.3,Deep-Mitigation-MAC_65_n8
GCAM 5.3,Deep-Mitigation-MAC_70_n0
GCAM 5.3,Deep-Mitigation-MAC_70_n8
GCAM 5.3,Deep-Mitigation-MAC_75_n0
GCAM 5.3,Deep-Mitigation-MAC_75_n8
GCAM 5.3,Deep-Mitigation-MAC_80_n0
GCAM 5.3,Deep-Mitigation-MAC_80_n8
GCAM 5.3,Deep-Mitigation-MAC_85_n0
GCAM 5.3,Deep-Mitigation-MAC_85_n8
GCAM 5.3,Deep-Mitigation-MAC_90_n0
GCAM 5.3,Deep-Mitigation-MAC_90_n8
GCAM 5.3,Deep-Mitigation-MAC_95_n0
GCAM 5.3,Deep-Mitigation-MAC_95_n8
GCAM 5.3,Deep-Mitigation-MAC_99_n0
GCAM 5.3,Deep-Mitigation-MAC_99_n8
GCAM 5.3,Deep-Mitigation-SSP2
GCAM 5.3,Deep-Mitigation-SSP3
GCAM 5.3,Deep-Mitigation-SSP4
GCAM 5.3,Deep-Mitigation-SSP5
GCAM 5.3,NGFS Phase 2-Below 2<U+00B0>C
GCAM 5.3,NGFS Phase 2-Delayed Transition
GCAM 5.3,NGFS Phase 2-Nationally Determined Contributions (NDCs)
GCAM 6.0 NGFS,NGFS Phase 5-Below 2<U+00B0>C
GCAM 6.0 NGFS,NGFS Phase 5-Delayed Transition
GCAM 6.0 NGFS,NGFS Phase 5-Fragmented World
GCAM 6.0 NGFS,NGFS Phase 5-Low Demand
GCAM 6.0 NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs)
GCAM 6.0 NGFS,NGFS Phase 5-Net-Zero 2050
GCAM 7.0,IAM-COMPACT-Current-Policies-Emissions-Intensity
GCAM 7.0,IAM-COMPACT-NDC-Emissions-Intensity
GCAM 7.0,IAM-COMPACT-NDC-Long-Term-Pledges
GEM-E3 V2021,ENGAGE-INDCi2030-1000
GEM-E3 V2021,ENGAGE-INDCi2030-1000-COV
GEM-E3 V2021,ENGAGE-INDCi2030-1000-COV-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1000-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1000f
GEM-E3 V2021,ENGAGE-INDCi2030-1000f-COV
GEM-E3 V2021,ENGAGE-INDCi2030-1000f-COV-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1000f-NDCp
GEM-E3 V2021,ENGAGE-INDCi2030-1400
GEM-E3 V2021,ENGAGE-INDCi2030-1400f
GEM-E3 V2021,ENGAGE-INDCi2030-1800
GEM-E3 V2021,ENGAGE-INDCi2030-1800f
GEM-E3 V2021,ENGAGE-INDCi2030-800
GEM-E3 V2021,ENGAGE-NPi2020-1000
GEM-E3 V2021,ENGAGE-NPi2020-1000-COV
GEM-E3 V2021,ENGAGE-NPi2020-1000f
GEM-E3 V2021,ENGAGE-NPi2020-1000f-COV
GEM-E3 V2021,ENGAGE-NPi2020-1400
GEM-E3 V2021,ENGAGE-NPi2020-1400f
GEM-E3 V2021,ENGAGE-NPi2020-1800
GEM-E3 V2021,ENGAGE-NPi2020-1800f
GEM-E3 V2021,ENGAGE-NPi2020-600
GEM-E3 V2021,ENGAGE-NPi2020-600f
GEM-E3 V2021,ENGAGE-NPi2020-800
GEM-E3 V2021,ENGAGE-NPi2020-800f
IMAGE 3.0,COMMIT-2<U+00B0>C-2020
IMAGE 3.0,COMMIT-2<U+00B0>C-2030
IMAGE 3.0,COMMIT-Bridge
IMAGE 3.0,ENGAGE-INDCi2030-1000
IMAGE 3.0,ENGAGE-INDCi2030-1000f
IMAGE 3.0,ENGAGE-INDCi2030-1200
IMAGE 3.0,ENGAGE-INDCi2030-1200f
IMAGE 3.0,ENGAGE-INDCi2030-1400
IMAGE 3.0,ENGAGE-INDCi2030-1400f
IMAGE 3.0,ENGAGE-INDCi2030-3000
IMAGE 3.0,ENGAGE-INDCi2030-3000f
IMAGE 3.0,ENGAGE-INDCi2030-800f
IMAGE 3.0,ENGAGE-NPi2020-1000
IMAGE 3.0,ENGAGE-NPi2020-1000f
IMAGE 3.0,ENGAGE-NPi2020-1200
IMAGE 3.0,ENGAGE-NPi2020-1200f
IMAGE 3.0,ENGAGE-NPi2020-1400
IMAGE 3.0,ENGAGE-NPi2020-1400f
IMAGE 3.0,ENGAGE-NPi2020-3000
IMAGE 3.0,ENGAGE-NPi2020-3000f
IMAGE 3.0,ENGAGE-NPi2020-600f
IMAGE 3.0,ENGAGE-NPi2020-800
