approach,cmt_axis,portfolio_rule,Region,Ambition,n_High-RE,n_High-engineered-CMT,median_cumulative_pm25_deaths_mln_High-RE,median_cumulative_pm25_deaths_mln_High-engineered-CMT,mean_cumulative_pm25_deaths_mln_High-RE,mean_cumulative_pm25_deaths_mln_High-engineered-CMT
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,Aggregated R10 regions,1.5C (High-Ambition),37,42,415.121345,423.81516,417.5742918918919,442.01404333333335
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,Aggregated R10 regions,2C (Medium-Ambition),168,138,436.73200499999996,433.6987075,439.8964669940476,448.04392597826086
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10AFRICA,1.5C (High-Ambition),37,42,78.5115,75.3694825,78.40997878378379,76.20146976190476
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10AFRICA,2C (Medium-Ambition),168,138,78.6579475,76.33608749999999,78.1847855952381,76.40496144927536
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10CHINA+,1.5C (High-Ambition),37,42,77.369715,78.579485,78.57162216216216,81.0676675
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10CHINA+,2C (Medium-Ambition),168,138,78.65553750000001,80.28717,80.4384912797619,83.6017890942029
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10EUROPE,1.5C (High-Ambition),37,42,11.156995,15.7634325,11.710880945945945,16.352847976190475
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10EUROPE,2C (Medium-Ambition),168,138,11.235415,14.992437500000001,12.402166369047618,15.711285036231883
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10INDIA+,1.5C (High-Ambition),37,42,104.60392,109.12525249999999,104.41672081081082,112.13917297619048
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10INDIA+,2C (Medium-Ambition),168,138,116.2926525,114.324925,118.91958779761904,120.12387902173913
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10LATIN_AM,1.5C (High-Ambition),37,42,15.663645,15.252234999999999,15.575255405405406,17.5180575
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10LATIN_AM,2C (Medium-Ambition),168,138,15.458145,13.963962500000001,15.23618363095238,16.375399528985508
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10MIDDLE_EAST,1.5C (High-Ambition),37,42,46.23511,45.80627,46.481947432432435,51.16685702380953
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10MIDDLE_EAST,2C (Medium-Ambition),168,138,46.6464175,43.801694999999995,49.1573993452381,47.80199427536232
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10NORTH_AM,1.5C (High-Ambition),37,42,8.92464,7.706595,9.548590540540541,8.648735
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10NORTH_AM,2C (Medium-Ambition),168,138,8.92639,6.816845000000001,8.731195922619047,8.4249585869565209
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10PAC_OECD,1.5C (High-Ambition),37,42,3.591195,5.39988,3.6996644594594597,5.45993869047619
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10PAC_OECD,2C (Medium-Ambition),168,138,3.63783,5.5629425,4.0624408333333335,5.395360652173913
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10REF_ECON,1.5C (High-Ambition),37,42,13.08396,14.0664275,13.187359594594595,14.352705833333333
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10REF_ECON,2C (Medium-Ambition),168,138,13.279795,14.148922500000001,13.596549523809523,14.284628333333334
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10REST_ASIA,1.5C (High-Ambition),37,42,56.114945,55.445592500000004,55.972271756756754,59.106591071428575
A,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10REST_ASIA,2C (Medium-Ambition),168,138,57.888197500000004,58.396654999999996,59.16766669642857,59.919670000000004
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,Aggregated R10 regions,1.5C (High-Ambition),7,7,443.68606,494.10257,435.5464242857143,486.4340392857143
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,Aggregated R10 regions,2C (Medium-Ambition),62,55,442.17121,419.717675,453.61542862903224,449.999573
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10AFRICA,1.5C (High-Ambition),7,7,78.659675,79.59705,78.92573714285714,81.16933642857143
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10AFRICA,2C (Medium-Ambition),62,55,76.832695,73.7414,73.82137193548387,75.03412954545455
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10CHINA+,1.5C (High-Ambition),7,7,86.128915,92.088175,85.61443,88.30314785714286
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10CHINA+,2C (Medium-Ambition),62,55,92.7090475,81.144235,91.76888798387097,86.45595654545454
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10EUROPE,1.5C (High-Ambition),7,7,18.418855,16.936705,16.586645,17.599610714285713
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10EUROPE,2C (Medium-Ambition),62,55,17.82121,12.21634,16.24794201612903,15.346587727272727
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10INDIA+,1.5C (High-Ambition),7,7,104.292145,140.84605,103.95943928571428,137.835245
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10INDIA+,2C (Medium-Ambition),62,55,96.08115749999999,114.354115,110.48556346774194,126.00526181818182
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10LATIN_AM,1.5C (High-Ambition),7,7,15.876035,22.937565,17.709692142857143,20.218404285714286
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10LATIN_AM,2C (Medium-Ambition),62,55,15.402305,13.419615,15.92286314516129,16.326408999999998
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10MIDDLE_EAST,1.5C (High-Ambition),7,7,44.95084,43.42762,45.68542214285714,43.88444
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10MIDDLE_EAST,2C (Medium-Ambition),62,55,55.186975000000004,43.636585,57.37351822580645,44.51902709090909
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10NORTH_AM,1.5C (High-Ambition),7,7,9.93086,8.152975,10.15979357142857,8.842272142857142
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10NORTH_AM,2C (Medium-Ambition),62,55,10.560212499999999,6.70137,10.213731693548388,7.976981
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10PAC_OECD,1.5C (High-Ambition),7,7,5.63982,5.99441,4.889583571428571,5.548974285714286
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10PAC_OECD,2C (Medium-Ambition),62,55,5.2746075,4.47825,4.845731612903226,5.010129363636364
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10REF_ECON,1.5C (High-Ambition),7,7,13.762025,13.642695,14.083036428571429,13.730641428571428
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10REF_ECON,2C (Medium-Ambition),62,55,15.954252499999999,13.29234,15.253973467741936,13.687833090909091
C,Novel CDR + Fossil/industrial CCS (land CDR excluded),top-tercile focal axis; not top-tercile opposing axis,R10REST_ASIA,1.5C (High-Ambition),7,7,57.6864,69.949085,57.932645,69.30196714285714
