approach,Region,Ambition,n_models,median_model_re_minus_cmt_mln,n_re_lower,n_re_higher
A,Aggregated R10 regions,1.5C (High-Ambition),1,-17.50529499999999,1,0
A,Aggregated R10 regions,2C (Medium-Ambition),3,-29.624612500000012,3,0
A,R10AFRICA,1.5C (High-Ambition),1,-1.1763599999999883,1,0
A,R10AFRICA,2C (Medium-Ambition),3,-1.1177250000000072,3,0
A,R10CHINA+,1.5C (High-Ambition),1,-2.4577099999999916,1,0
A,R10CHINA+,2C (Medium-Ambition),3,-3.6726149999999933,3,0
A,R10EUROPE,1.5C (High-Ambition),1,-1.0234249999999996,1,0
A,R10EUROPE,2C (Medium-Ambition),3,-0.5446024999999999,2,1
A,R10INDIA+,1.5C (High-Ambition),1,-6.788305000000008,1,0
A,R10INDIA+,2C (Medium-Ambition),3,-8.969047499999988,3,0
A,R10LATIN_AM,1.5C (High-Ambition),1,-0.164299999999999,1,0
A,R10LATIN_AM,2C (Medium-Ambition),3,0.2582399999999989,1,2
A,R10MIDDLE_EAST,1.5C (High-Ambition),1,-3.497524999999996,1,0
A,R10MIDDLE_EAST,2C (Medium-Ambition),3,-0.8619800000000026,3,0
A,R10NORTH_AM,1.5C (High-Ambition),1,-0.18112499999999976,1,0
A,R10NORTH_AM,2C (Medium-Ambition),3,0.00214999999999943,1,2
A,R10PAC_OECD,1.5C (High-Ambition),1,-0.3598600000000003,1,0
A,R10PAC_OECD,2C (Medium-Ambition),3,-0.12678000000000011,3,0
A,R10REF_ECON,1.5C (High-Ambition),1,-0.3704800000000006,1,0
A,R10REF_ECON,2C (Medium-Ambition),3,-0.2732100000000006,2,1
A,R10REST_ASIA,1.5C (High-Ambition),1,-1.4862049999999982,1,0
A,R10REST_ASIA,2C (Medium-Ambition),3,-5.426660000000005,3,0
C,Aggregated R10 regions,1.5C (High-Ambition),1,-71.75854249999998,1,0
C,Aggregated R10 regions,2C (Medium-Ambition),1,-63.5021175,1,0
C,R10AFRICA,1.5C (High-Ambition),1,-10.488317499999994,1,0
C,R10AFRICA,2C (Medium-Ambition),1,-8.817587500000016,1,0
C,R10CHINA+,1.5C (High-Ambition),1,-5.193105000000003,1,0
C,R10CHINA+,2C (Medium-Ambition),1,-8.672405000000012,1,0
C,R10EUROPE,1.5C (High-Ambition),1,2.6974124999999987,0,1
C,R10EUROPE,2C (Medium-Ambition),1,-6.284389999999998,1,0
C,R10INDIA+,1.5C (High-Ambition),1,-41.9081625,1,0
C,R10INDIA+,2C (Medium-Ambition),1,-16.692489999999964,1,0
C,R10LATIN_AM,1.5C (High-Ambition),1,-0.6068324999999994,1,0
C,R10LATIN_AM,2C (Medium-Ambition),1,-1.0531225000000006,1,0
C,R10MIDDLE_EAST,1.5C (High-Ambition),1,0.6288550000000015,0,1
C,R10MIDDLE_EAST,2C (Medium-Ambition),1,-2.0998249999999956,1,0
C,R10NORTH_AM,1.5C (High-Ambition),1,1.5759825000000003,0,1
C,R10NORTH_AM,2C (Medium-Ambition),1,-3.3024425000000015,1,0
C,R10PAC_OECD,1.5C (High-Ambition),1,-0.24722749999999927,1,0
C,R10PAC_OECD,2C (Medium-Ambition),1,-0.43129499999999954,1,0
C,R10REF_ECON,1.5C (High-Ambition),1,0.17915750000000052,0,1
C,R10REF_ECON,2C (Medium-Ambition),1,-0.9866275000000009,1,0
C,R10REST_ASIA,1.5C (High-Ambition),1,-14.739730000000009,1,0
C,R10REST_ASIA,2C (Medium-Ambition),1,-4.775694999999999,1,0
