"Model","Scenario","Category","Ambition","total_cdr","total_re","Pathway_overlap","Pathway_excl","high_cdr_only","high_re_only","approach","vetting","ambition_method","threshold_label","top_frac"
"AIM/CGE 2.0","SSP1-19","C1","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP1-26","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP1-34","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP1-45","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP1-Baseline","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP2-19","C1","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP2-26","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP2-34","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP2-45","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP2-60","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP2-Baseline","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP3-34","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP3-45","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP3-60","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP3-Baseline","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP4-26","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP4-34","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP4-45","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP4-Baseline","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
"AIM/CGE 2.0","SSP5-26","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"A","none","ar6","top_33pct",0.333333333333333
