"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","proxy"
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10AFRICA","C3","Fossil CCS",45236.105872545,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10AFRICA","C3","Renewable Capacity",264323.416844655,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10AFRICA","C3","Total CDR",45236.105872545,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10CHINA+","C3","Fossil CCS",91146.741796999,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10CHINA+","C3","Renewable Capacity",266461.952870613,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10CHINA+","C3","Total CDR",91146.741796999,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10EUROPE","C3","Fossil CCS",24516.25460235,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10EUROPE","C3","Renewable Capacity",200733.101181582,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10EUROPE","C3","Total CDR",24516.25460235,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10INDIA+","C3","Fossil CCS",50862.300381585,FALSE
"COMPASS","GCAM 5.3","NGFS Phase 2-Below 2°C","COMPASS_NGFS Phase 2-Below 2°C","R10INDIA+","C3","Renewable Capacity",199003.876562779,FALSE
