"Model","Scenario","Category","Ambition","total_cdr","total_re","Pathway_overlap","Pathway_excl","high_cdr_only","high_re_only","approach","vetting","ambition_method","threshold_label","top_frac"
"AIM/Hub-Global 2.0","SDI-2.5°C","C4","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 4.2","SSP1-19","C1","1.5C (High-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 4.2","SSP1-26","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 4.2","SSP1-34","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 4.2","SSP1-45","C3","2C (Medium-Ambition)",0,NA,"Low (both)",NA,FALSE,NA,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 5.3","NGFS Phase 2-Below 2°C","C3","2C (Medium-Ambition)",377729.131036242,1622560.92572438,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 5.3","NGFS Phase 2-Current Policies","C4","2C (Medium-Ambition)",0.041437020269,718223.047366125,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 5.3","NGFS Phase 2-Delayed Transition","C4","2C (Medium-Ambition)",227937.419779798,1853062.89833771,"High-RE only","High-RE",FALSE,TRUE,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 5.3","NGFS Phase 2-Nationally Determined Contributions (NDCs)","C3","2C (Medium-Ambition)",344077.760593715,1134962.42340978,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 6.0 NGFS","NGFS Phase 5-Below 2°C","C3","2C (Medium-Ambition)",184448.637380725,3090792.87190375,"High-RE only","High-RE",FALSE,TRUE,"C","full","ar6","top_33pct",0.333333333333333
"GCAM 6.0 NGFS","NGFS Phase 5-Current Policies","C4","2C (Medium-Ambition)",73674.8075277468,1554128.97052156,"Low (both)",NA,FALSE,FALSE,"C","full","ar6","top_33pct",0.333333333333333
