"model","scenario","Category","r10_region","year","deaths_pm25","deaths_o3","deaths_total"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2010,431975,0,431975
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2020,469853,0,469853
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2030,507767,0,507767
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2040,589938,0,589938
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2050,739251,0,739251
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2060,915653,0,915653
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2070,1121374,0,1121374
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2080,1348234,0,1348234
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2090,1594905,0,1594905
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10AFRICA",2100,1864879,0,1864879
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2010,1588024,0,1588024
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2020,1659627,0,1659627
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2030,1567662,0,1567662
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2040,1063148,0,1063148
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2050,960452,0,960452
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2060,895780,0,895780
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2070,830462,0,830462
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2080,786240,0,786240
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2090,743398,0,743398
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10CHINA+",2100,690512,0,690512
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2010,261163,0,261163
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2020,234927,0,234927
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2030,202831,0,202831
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2040,182453,0,182453
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2050,195701,0,195701
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2060,199386,0,199386
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2070,195720,0,195720
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2080,202856,0,202856
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2090,210977,0,210977
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10EUROPE",2100,219428,0,219428
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2010,1214206,0,1214206
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2020,1228980,0,1228980
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2030,1437566,0,1437566
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2040,944920,0,944920
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2050,943049,0,943049
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2060,1049166,0,1049166
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2070,1166779,0,1166779
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2080,1257906,0,1257906
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2090,1325132,0,1325132
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10INDIA+",2100,1364507,0,1364507
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2010,152861,0,152861
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2020,170610,0,170610
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2030,194168,0,194168
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2040,198869,0,198869
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2050,220794,0,220794
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2060,244116,0,244116
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2070,265037,0,265037
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2080,283708,0,283708
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2090,298999,0,298999
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10LATIN_AM",2100,310023,0,310023
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2010,209889,0,209889
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2020,258654,0,258654
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2030,282402,0,282402
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2040,312251,0,312251
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2050,402807,0,402807
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2060,514923,0,514923
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2070,635975,0,635975
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2080,740683,0,740683
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2090,836257,0,836257
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10MIDDLE_EAST",2100,944990,0,944990
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2010,122246,0,122246
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2020,119890,0,119890
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2030,106475,0,106475
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2040,106677,0,106677
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2050,119980,0,119980
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2060,127336,0,127336
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2070,137216,0,137216
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2080,155399,0,155399
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2090,174708,0,174708
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10NORTH_AM",2100,194595,0,194595
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2010,79700,0,79700
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2020,83937,0,83937
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2030,86886,0,86886
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2040,81377,0,81377
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2050,79068,0,79068
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2060,78912,0,78912
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2070,79452,0,79452
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2080,77392,0,77392
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2090,74896,0,74896
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10PAC_OECD",2100,71376,0,71376
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2010,274986,0,274986
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2020,211245,0,211245
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2030,193203,0,193203
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2040,156462,0,156462
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2050,166995,0,166995
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2060,182390,0,182390
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2070,202434,0,202434
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2080,220880,0,220880
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2090,238143,0,238143
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REF_ECON",2100,259258,0,259258
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2010,607404,0,607404
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2020,660829,0,660829
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2030,692687,0,692687
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2040,6e+05,0,6e+05
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2050,645782,0,645782
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2060,728469,0,728469
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2070,803705,0,803705
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2080,882021,0,882021
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2090,940824,0,940824
"AIM/CGE V2.2","ENGAGE-INDCi2030-1000f","C3","R10REST_ASIA",2100,993657,0,993657
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2010,431975,0,431975
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2020,469853,0,469853
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2030,507767,0,507767
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2040,590274,0,590274
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2050,739251,0,739251
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2060,915370,0,915370
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2070,1121374,0,1121374
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2080,1348234,0,1348234
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2090,1594905,0,1594905
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10AFRICA",2100,1864879,0,1864879
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2010,1588024,0,1588024
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2020,1659627,0,1659627
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2030,1567662,0,1567662
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2040,1068618,0,1068618
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2050,966665,0,966665
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2060,902061,0,902061
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2070,843644,0,843644
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2080,812892,0,812892
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2090,750379,0,750379
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10CHINA+",2100,703174,0,703174
