"Model","Scenario","arm","amb","land_share_pct"
"AIM/CGE V2.2","ENGAGE-INDCi2030-800f","High-RE","2C",0
"AIM/CGE V2.2","ENGAGE-INDCi2030-900f","High-RE","2C",0
"AIM/CGE V2.2","ENGAGE-NPi2020-700","High-RE","2C",0
"AIM/CGE V2.2","ENGAGE-NPi2020-800","High-RE","2C",0
"IMAGE 3.2","ENGAGE-Feasibility-1000/Technology","High-CDR","2C",54.3
"IMAGE 3.2","ENGAGE-Feasibility-1000/Technology & Institutional","High-CDR","2C",53.4
"IMAGE 3.2","ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional","High-CDR","2C",61
"IMAGE 3.2","ENGAGE-Feasibility-Maximum-Effort/Technology","High-CDR","2C",55.3
"IMAGE 3.2","ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional","High-CDR","2C",52.3
"IMAGE 3.2","SSP2021-SSP1-SPA1-26-Lifestyle","High-CDR","2C",63
"MESSAGEix-GLOBIOM 1.1","ENGAGE-Feasibility-Maximum-Effort/Cost-Effective","High-CDR","1.5C",61.5
"MESSAGEix-GLOBIOM 1.1","ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional [Optimistic]","High-CDR","1.5C",67.3
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-450","High-CDR","1.5C",52
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-500","High-CDR","1.5C",49.8
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-600","High-CDR","1.5C",47.6
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-600-COV","High-CDR","1.5C",47.9
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-600-DR1p","High-CDR","1.5C",59.6
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-600-DR2p","High-CDR","1.5C",58
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-600-DR3p","High-CDR","1.5C",56.6
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-600-DR4p","High-CDR","1.5C",54.4
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-700","High-CDR","1.5C",46.4
"MESSAGEix-GLOBIOM 1.1","ENGAGE-NPi2020-700-COV","High-CDR","1.5C",45.8
